JUMATR,JUCATE,JUESP,JUCIRC,JUESTA
4645,A,033,1,1
10922,A,033,1,1
10919,A,033,1,1
10455,A,033,1,1
3687,A,033,1,1
10119,A,033,1,4
7851,A,033,1,4
4071,A,033,1,1
10922,A,033,2,1
10919,A,033,2,1
10454,A,033,2,1
10922,A,033,3,1
6703,A,033,3,4
10919,A,033,3,1
10455,A,033,3,1
10119,A,033,3,4
7851,A,033,3,4
10455,A,033,4,1
4071,A,033,4,1
4718,A,098,1,1
1914,A,098,1,1
6755,A,098,1,1
7006,A,001,1,4
2653,A,001,1,4
10669,A,001,1,4
8035,A,001,1,4
6927,A,001,1,1
6176,A,001,1,1
10432,A,001,1,1
10834,A,001,1,4
6464,A,001,1,1
9828,A,001,1,4
7006,A,001,3,4
7006,A,001,4,4
5374,A,002,1,4
4024,A,002,1,4
2641,A,002,1,1
5834,A,002,1,1
10773,A,017,1,1
5598,A,017,1,4
10774,A,017,1,1
5658,A,017,1,1
6765,A,017,1,4
1796,A,017,1,4
5300,A,017,1,1
7272,A,017,1,1
4848,A,017,1,1
6609,A,017,1,1
3103,A,017,1,4
5833,A,017,1,1
2164,A,017,1,4
5765,A,017,1,1
1273,A,017,1,4
2908,A,017,1,1
6605,A,017,1,4
3594,A,017,1,4
5490,A,017,1,4
2816,A,017,1,4
4848,A,017,2,1
6609,A,017,2,1
5658,A,017,3,1
6609,A,017,3,1
10773,A,009,1,1
5598,A,009,1,4
10774,A,009,1,1
10488,A,009,1,1
5658,A,009,1,1
9275,A,009,1,4
6765,A,009,1,4
1796,A,009,1,4
5300,A,009,1,1
7272,A,009,1,1
6609,A,009,1,1
3103,A,009,1,4
5833,A,009,1,1
2164,A,009,1,4
5765,A,009,1,1
6605,A,009,1,4
3594,A,009,1,4
5490,A,009,1,4
2816,A,009,1,4
6457,A,009,1,1
6609,A,009,2,1
10446,A,009,2,4
5658,A,009,3,1
6609,A,009,3,1
10925,A,020,1,1
2045,A,020,1,4
2908,A,020,1,1
4718,A,031,1,1
10903,A,031,2,4
5658,A,083,1,1
3103,A,083,1,4
1914,A,083,1,1
3594,A,083,1,4
5490,A,083,1,4
5658,A,083,3,1
7488,A,011,1,1
10773,A,011,1,1
5598,A,011,1,4
10774,A,011,1,1
5658,A,011,1,1
6765,A,011,1,4
1796,A,011,1,4
5300,A,011,1,1
7272,A,011,1,1
4848,A,011,1,1
6609,A,011,1,1
3103,A,011,1,4
7940,A,011,1,1
5833,A,011,1,1
2164,A,011,1,4
5765,A,011,1,1
1273,A,011,1,4
6605,A,011,1,4
1733,A,011,1,1
3594,A,011,1,4
5490,A,011,1,4
4379,A,011,1,1
2816,A,011,1,4
4700,A,011,1,4
6457,A,011,1,1
4848,A,011,2,1
6609,A,011,2,1
10446,A,011,2,4
5658,A,011,3,1
6609,A,011,3,1
7488,A,011,4,1
5300,A,012,1,1
4848,A,012,1,1
6609,A,012,1,1
1273,A,012,1,4
4848,A,012,2,1
6609,A,012,2,1
10446,A,012,2,4
6609,A,012,3,1
10064,A,032,1,1
2657,A,032,1,1
1914,A,022,1,1
5300,A,014,1,1
2908,A,014,1,1
3256,A,014,1,1
5658,A,086,1,1
9275,A,086,1,4
2935,A,086,1,1
4718,A,086,1,1
3103,A,086,1,4
5833,A,086,1,1
1914,A,086,1,1
2045,A,086,1,4
3594,A,086,1,4
5490,A,086,1,4
3256,A,086,1,1
6755,A,086,1,1
2816,A,086,1,4
2657,A,086,1,1
5658,A,086,3,1
2356,A,079,1,1
2935,A,079,1,1
1914,A,079,1,1
6755,A,079,1,1
9335,A,212,1,1
9624,A,212,1,1
9001,A,212,1,4
10839,A,212,1,4
10535,A,212,1,4
9415,A,212,1,1
10106,A,212,1,1
10356,A,212,1,4
10914,A,212,1,1
9523,A,212,1,1
10779,A,212,1,1
10801,A,212,1,4
10100,A,212,1,4
10129,A,212,1,1
10178,A,212,1,4
8874,A,212,1,1
10395,A,212,1,1
10627,A,212,1,4
10448,A,212,1,4
9754,A,212,1,1
9094,A,212,1,4
10167,A,212,1,1
9130,A,212,1,1
10313,A,212,1,1
10861,A,212,1,4
10655,A,212,1,4
8940,A,212,1,1
10836,A,212,1,4
9787,A,212,1,1
10281,A,212,1,1
9361,A,212,1,1
9426,A,212,2,1
9147,A,212,2,4
10167,A,212,2,1
10685,A,212,3,4
10072,A,212,2,4
9523,A,212,3,1
10801,A,212,3,4
8874,A,212,3,1
10167,A,212,3,1
9130,A,212,3,1
10648,A,212,3,1
10167,A,212,4,1
9130,A,212,4,1
