EMPRESA,MATPROF,CATEGOR,RTINICIO,RTFINAL,RTVINCULO,RTPERIOD
1,1169,A,1962-03-16,,2,
1,3625,A,1980-05-21,2016-09-02,1,0
3,2746,A,1972-09-27,,3,
10,4587,A,,,3,
64,1752,A,,,,
66,3290,A,1981-11-18,,3,
137,4894,A,1990-09-20,,11,0
304,4363,A,1984-04-10,,2,
428,5934,A,,,3,0
470,6331,A,,,,
577,1704,A,1972-11-15,,2,
772,965,A,,,2,0
772,1266,A,,,2,0
802,728,A,1972-05-22,,8,0
971,1044,A,,,,
986,1598,A,1987-12-03,2021-02-17,11,0
1012,1185,A,,,,
1025,1953,A,1977-01-03,,2,
1141,2688,A,,,,
1163,2759,A,1980-01-01,1998-06-09,1,0
1238,1933,A,,,,
1257,1426,A,1993-06-01,2006-09-20,3,0
1257,2386,A,1993-06-01,,3,
1263,2585,A,2005-11-15,2006-11-15,7,0
1358,1933,A,,,11,0
1358,1950,A,,,11,0
1381,4601,A,,,,
1381,4821,A,,,,
1420,2658,A,,,2,0
1426,3200,A,1989-04-05,,2,
1426,4670,A,1989-04-05,,2,
1426,523,CA,1989-04-05,2005-01-01,2,0
1448,1505,A,,,,
1453,1828,A,1983-06-17,,2,0
1453,3435,A,,2001-06-05,11,0
1460,1829,A,,,,
1500,5601,A,,,,
1523,5270,A,,2009-06-24,3,0
1549,4508,A,,,,
1607,2669,A,,,2,0
1607,4417,A,1987-10-11,2007-03-26,11,0
1615,4117,A,1987-01-30,2019-01-02,2,0
1622,3097,A,1987-03-27,,2,
1622,213,CA,1987-03-27,,2,
1646,3573,A,1987-09-11,,2,
1710,4305,A,,,2,0
1755,3725,A,,,2,0
1763,5532,A,,,3,
1763,748,CA,,,3,
1793,537,CA,,,2,0
1845,4855,A,1993-04-29,,2,
1848,2389,A,1996-08-22,2002-06-01,1,0
1858,6277,A,1993-11-19,,2,
1257,3471,A,1993-06-01,,3,
1886,4176,A,,,2,
1892,5745,A,,,2,
1892,6279,A,,,2,
1816,4997,A,1992-03-12,1997-04-30,2,0
1816,5967,A,1992-03-12,,2,
1858,5913,A,1995-05-02,,2,
304,2647,A,1984-04-10,,7,0
1767,5601,A,1995-06-13,1996-06-13,1,0
919,385,CA,1986-03-18,1999-12-30,3,0
354,5601,A,1986-07-03,1988-07-03,9,1
1585,5916,A,2004-05-01,2013-06-06,3,0
137,101,CA,1990-06-05,,11,0
1363,5268,A,1994-08-08,,3,
1,3398,A,1989-03-01,2016-08-22,0,0
1765,5815,A,1990-06-28,,2,
1765,6547,A,1990-06-20,,11,0
1820,4818,A,1992-05-28,1994-08-30,3,0
898,7143,A,1994-09-27,1996-09-27,1,
1615,4116,A,1990-12-20,2007-03-28,2,0
1615,5049,A,1990-12-20,1995-07-05,1,
651,5363,A,,1998-07-27,3,0
1919,2135,A,1995-09-08,,2,
1921,4932,A,1995-09-20,1999-09-22,1,0
1835,2932,A,,,2,
1837,2163,A,1992-11-23,,2,
1655,2976,A,1990-12-27,,2,
1765,6903,A,1996-02-12,1998-02-12,1,
1771,4922,A,1990-09-25,,2,0
1771,5077,A,1990-09-25,,2,0
1602,4618,A,,,2,
1602,3103,A,,2003-01-01,3,0
772,4287,A,,1995-01-19,1,
1935,4299,A,1996-08-20,,2,
1935,566,CA,1996-08-20,,2,0
1817,4915,A,1996-10-20,1997-10-20,1,
1796,5755,A,,1992-07-29,1,
1933,7173,A,1996-06-12,1997-06-12,1,
1737,5531,A,,,2,
1737,6597,A,,,2,
1848,6150,A,1997-04-03,1997-05-03,6,0
1836,5309,A,1997-05-26,1998-05-26,7,0
1323,373,CA,,,2,0
1970,6275,A,1997-07-31,,2,
1982,6126,A,1997-11-18,1999-11-18,1,
1380,314,CA,1997-12-01,1999-07-26,3,0
1986,6862,A,,,2,0
1988,3482,A,1998-02-04,,2,0
1988,3572,A,1998-02-04,,2,0
1989,6227,A,1998-02-23,1998-05-23,1,0
1990,4019,A,,,2,0
1993,3180,A,,,2,0
1995,996,CA,1998-03-18,1998-06-18,1,0
2003,6730,A,1998-04-22,,2,0
1996,7491,A,1998-03-23,1998-07-23,1,0
1936,4311,A,1996-08-22,,2,0
3,734,CA,1998-07-02,,3,0
2013,66,CA,1998-08-05,,2,0
2019,3173,A,1998-08-31,,2,0
2024,7344,A,1998-08-28,1999-08-28,7,0
2022,2248,A,,,2,0
2021,7550,A,,,2,0
2028,507,CA,,2019-06-11,2,0
1435,77,CA,,,2,0
1435,88,CA,,,3,0
980,3973,A,1999-01-14,,6,0
2034,6456,A,1998-09-24,,2,0
2039,5309,A,1998-02-23,,2,0
2041,4497,A,1998-09-30,,2,0
898,6547,A,1998-10-30,,6,0
2053,3102,A,1998-08-13,,11,0
1146,7263,A,1998-11-18,1999-11-18,1,0
2003,1012,CA,,,6,0
1796,7100,A,1998-09-01,1999-09-01,1,0
2075,5467,A,1998-10-20,,2,0
980,4002,A,,,6,0
772,240,CA,,,2,0
1995,7532,A,1998-12-23,1999-08-23,1,0
2089,7586,A,1999-01-01,,2,0
2092,7601,A,1999-02-23,,2,0
980,7214,A,1999-11-01,,3,0
304,4932,A,1984-04-10,,2,0
2110,1379,A,1999-04-28,2008-02-04,1,0
2117,6983,A,,,2,0
2117,1098,CA,,,2,0
1025,5312,A,1999-06-16,,6,0
2034,967,CA,1999-06-22,,2,0
2034,1115,CA,1999-06-22,,2,0
2122,7198,A,,,8,0
1622,5168,A,1999-06-18,,6,0
1537,4831,A,1999-06-22,2000-12-31,1,0
1537,7008,A,1999-06-22,2000-12-31,1,0
2127,2908,A,1999-07-05,2011-04-28,1,0
1597,7417,A,,2005-01-04,3,0
2107,1379,A,1999-08-04,2000-08-04,1,1
2133,6973,A,1999-08-12,,3,0
2003,1538,A,1999-08-23,2019-06-24,1,0
2073,3435,A,1998-12-14,1999-12-14,1,0
2139,7092,A,,,2,0
2139,5417,A,,,2,0
2139,437,CA,,,2,0
2143,3179,A,1999-08-23,,2,0
2145,7109,A,1999-10-04,2000-01-04,1,0
1921,7654,A,1999-09-28,2001-07-02,1,0
1453,1364,CA,1999-10-28,2001-06-05,3,0
2133,6891,A,1999-10-04,,11,0
2153,6502,A,1999-11-26,,8,0
1767,7672,A,2001-04-26,2001-12-31,9,1
2041,2908,A,1999-11-01,2000-01-06,6,0
1597,6858,A,,2019-02-08,1,0
2090,6007,A,1988-01-01,,3,0
2161,1555,CA,,,8,0
1835,367,CA,2000-03-06,,2,0
2166,7691,A,2000-03-30,,0,3
2134,876,CA,2000-04-07,2000-12-31,6,0
2122,6212,A,2000-04-13,,11,0
2168,5695,A,2000-04-26,,2,0
2168,7441,A,2000-04-26,,2,0
2171,4997,A,2000-05-03,,3,0
2005,4515,A,2000-05-08,2000-12-31,1,0
2180,7460,A,2000-05-18,,2,0
66,3564,A,2000-05-19,2015-12-17,3,0
1597,6457,A,,,6,0
2187,6845,A,2000-02-16,,3,0
1933,6976,A,2000-08-01,2001-07-31,1,0
1959,4761,A,2000-08-04,2001-02-03,1,0
1959,7654,A,2000-08-11,2000-11-10,1,0
1865,1176,CA,2000-08-02,2008-12-22,1,0
1858,5467,A,2000-09-08,,6,0
2199,5168,A,2000-09-06,,2,0
2208,275,CA,2000-09-21,,2,0
2213,6977,A,2000-09-01,2010-07-27,1,0
2217,3038,A,2000-09-26,,8,0
1380,314,CA,2000-09-14,2001-09-14,1,0
2227,4742,A,2000-09-21,2001-09-21,7,0
2226,6137,A,2000-09-29,,2,0
2221,7167,A,2000-09-27,,2,0
2103,7677,A,2000-10-05,2000-12-05,6,0
2230,7764,A,2000-10-01,2001-10-01,7,0
2231,4280,A,2000-10-04,,8,0
2235,7346,A,2000-10-10,,2,0
2235,7411,A,2000-10-10,,2,0
2204,7080,A,,,2,0
2234,7784,A,2000-10-22,2001-04-22,1,0
2240,3671,CT,2000-10-01,2001-03-30,1,0
2237,5533,CT,,,3,0
2237,3438,CT,2000-11-01,2001-11-01,7,0
2250,5023,A,2000-12-19,,2,0
2249,3205,A,2000-12-14,2001-12-14,7,0
2247,6636,A,2000-12-05,,11,0
2253,1900,A,2001-01-04,,8,0
2262,6547,A,2001-01-22,2001-04-22,7,0
2185,1094,CA,2000-06-29,,2,0
2185,1851,A,2001-01-24,,11,0
2185,5056,A,2001-01-24,,11,0
2260,7532,A,2001-01-11,,11,0
1025,4319,A,2001-01-25,2002-01-25,7,0
2005,7787,A,2001-01-24,2001-12-31,1,0
2271,1647,CA,,2011-02-02,1,0
2268,7503,A,2001-02-01,2001-05-01,1,0
2265,7014,A,2001-01-26,,2,0
2273,1524,CA,2001-01-01,2003-08-12,1,0
2188,7808,A,2001-03-14,,3,0
2283,1647,CA,2001-03-15,2002-03-15,7,0
2280,1406,CA,2001-03-15,2002-03-15,7,0
2281,7692,A,2001-03-16,,2,0
2282,7817,A,2001-03-16,,8,0
1995,7352,A,2001-03-01,2002-03-01,7,0
2288,421,CA,2000-11-01,2001-11-01,7,0
2291,7824,A,1997-07-01,,3,0
1453,7828,A,2001-04-30,,3,0
2300,1721,CA,2001-02-01,2001-07-01,7,0
2306,7141,A,,,2,0
2306,7056,A,,,2,0
2310,397,CA,,,2,0
2315,3591,A,2001-06-19,,8,0
1076,7836,A,2001-06-06,2011-10-03,6,0
1076,7836,A,1995-11-15,2011-10-03,3,0
2107,1506,CA,2001-06-12,2002-06-12,7,0
2308,4653,A,,,2,0
2318,4914,A,2001-06-20,2001-12-20,7,0
1453,7475,A,2001-07-12,2001-12-31,3,0
2202,4280,A,2001-07-11,,6,0
2317,6840,A,2001-06-21,,2,0
2331,3974,A,2001-07-18,2002-07-18,7,0
3,735,CA,,,3,0
2332,253,CA,2001-07-23,,2,0
2328,7586,A,2001-07-05,2002-01-05,7,0
2000,7851,A,2001-08-22,2012-10-09,3,0
2341,4651,A,2001-08-24,,3,0
2107,7816,A,2001-08-23,2002-08-23,7,0
2214,5300,A,,,2,0
1922,7801,A,2001-09-20,,3,0
2354,1329,CA,2001-10-09,,4,0
2345,6557,A,2001-10-09,2001-11-09,1,0
2346,7250,A,2001-10-11,,8,0
2363,7048,A,2001-11-09,2002-11-09,1,0
2174,7791,A,2001-12-28,2002-12-28,7,0
2379,393,CA,2002-04-04,,2,0
2394,4214,A,2002-08-01,2003-08-01,7,0
2261,7854,A,2002-08-28,,3,0
2401,7916,A,2002-09-03,2018-02-28,3,0
2403,1050,A,2002-09-05,,8,0
1862,7782,A,2002-10-01,2003-02-01,1,0
2194,5634,A,2000-08-30,2010-06-11,1,0
1862,7931,A,2002-10-01,2003-02-01,1,0
2408,7946,A,2002-10-18,2014-05-12,3,0
2410,1710,CA,2002-11-10,2003-11-01,1,0
2418,6137,A,2002-11-13,,6,0
2419,4176,A,2003-02-07,,2,0
2425,6488,A,,,2,0
2429,1338,CA,2003-03-19,,2,0
2421,4917,A,2003-02-05,,2,0
