PRODNAME,ACTION,FILENAME,DISKNO,PARAMS,INST_SIZE,INST_COUNT,NOTES,INSTALLDIR,PRIORITY
Required Files,U,EXTRAS.PAK,1,, 547,   8,,,1
FoxPro/LAN,A,PROL.PAK,0,Standard Version of FoxPro/LAN,,,,,1
FoxPro/LAN,B,PROL.PAK,1,, 379,   3,,,1
FoxPro/LAN,U,PROL2.PAK,1,,1249,   1,,,1
FoxPro/LAN,K,,0,L,,,,,1
Helpfile,U,FOXHELP.PAK,1,,1553,   2,,,1
Helpfile,A,FOXHELP.PAK,0,FoxPro Help File,,,,,1
Additional Files,U,EXTRAS2.PAK,2,, 481,   6,,,2
FoxPro/LAN (X),A,PROLX.PAK,0,Extended Version of FoxPro/LAN,,,,,2
FoxPro/LAN (X),B,PROLX.PAK,2,,1597,   3,,,2
FoxPro/LAN (X),K,,,L,,,,,2
INSTALL DATABASE,C,INSTALL.DBF,1,,,,,,2
INSTALL DATABASE,C,INSTALL.FPT,1,,,,,,2
INSTALL DIRECTORY,P,,,\FOXPRO2,,,,,2
Options,O,,0,FOX -zek install.app %src%,,,,,2
Remove Files,D,GEN*.FXP,0,,,,,,2
Example Files,,COMMFUNC.PAK,3,Example Files, 130,  20,These files are used in the examples found in the Commands & Functions manual.,CommFunc,3
Foundation READ,,FNDATION.PAK,3,Foundation READ Examples, 674,  67,"Demonstrates a) how to coordinate READ with BROWSE, and b) how to create applications with event-driven interfaces like FoxPro's own.  Beta testers whimsically dubbed this approach the 'Mother Of All READs' (MOAR).",Goodies\Fndation,3
Sample Application,,SAMPLE.PAK,3,Big Sample Application,2339, 149,"This extensive sample application is the unifying thread and source of examples for the ""Putting It All Together"" section of the Developer's Guide.  It fully demonstrates use of FoxPro's new Power Tools.

You need 640K to access all the options in this application.  If you do not have 640K some options will be disabled.",Sample,3
Tutorial Examples,,TUTORIAL.PAK,4,Tutorial Examples, 195,  20,These are the examples used in the FoxPro Getting Started manual which includes a tutorial.,Tutorial,3
Demo Source,,DEMO.PAK,4,Self-Running Demo Source, 496,  49,Pieces required to build the FoxPro 2.0 self-running demo.  DEMO.APP -- the demo itself -- is located in the directory where you install FoxPro.,Goodies\Demo,4
FoxDoc,,FOXDOC.PAK,4,FoxDoc, 550,   9,"FoxDoc -- the automatic FoxPro applications documentor -- is a  powerful cross-referencing and ""pretty printing"" utility for your FoxPro source code.  If you maintain large FoxPro applications, it's a must.",,4
FoxGraph Interface,,GENGRAPH.PAK,4,FoxGraph Interface,   5,   1,"GENGRAPH.PRG interfaces between FoxPro's RQBE/SQL and the optional FoxGraph 3D graphics package.  Using RQBE, GENGRAPH, and FoxGraph you can create direct graphical output from your queries.",,4
Help File Organizer,,HELPTREE.PAK,4,Help File Organizer,  42,   3,HelpTree is an example which features the FoxPro Menu Builder in action.  The result is an index and organizer for the FoxPro Help file.,Goodies\Helptree,4
Screen Examples,,DLOG.PAK,4,Screen Examples,  29,   4,Included are examples of two screens you can include in your applications.  One is a sample field picker and the other is a sample file picker.,Goodies\Screens,4
Simple Application,,LASER.PAK,4,Simple Application, 646,  52,Concise example demonstrating how FoxPro's Power Tools can be used to create full-featured applications quickly and easily.,Goodies\Laser,4
AddUser Source,,ADDUSER.PAK,4,AddUser Program Source,  52,   4,"This is the source code for AddUser, a utility which properly sets up a workstation to use FoxPro/LAN effectively.  ADDUSER.APP will be installed where you've installed FoxPro.",Goodies\Adduser,5
FoxApp Source,,FOXAPP.PAK,4,FoxApp Source, 255,  33,"Source code, screens, menus, and projects needed to build FOXAPP.APP (sample FoxPro application generator).  FOXAPP.APP, the generator itself, will be placed in the directory where you install FoxPro.",Goodies\FoxApp,5
Printer Driver,,PDRIVERS.PAK,4,Printer Driver Source, 359,  17,"If you wish to explore in detail how the sample printer drivers have been implemented, this is for you.  All necessary projects, screens, menus, etc. are included.  The drivers themselves are installed in the FoxPro directory.",Goodies\PDrivers,5
ProColor Source,,PROCOLOR.PAK,4,ProColor Program Source, 268,  16,ProColor is a *neat* utility which permits you to edit color sets with precision and ease.  It takes all the work out of creating color sets to suit your taste and imagination.  Courtesy of C. Blaise Mitsutama.,Goodies\ProColor,5
Snippet Formatter,,SNIPFMT.PAK,4,Snippet Formatter Source,  46,   7,"Formatter for source code contained in screen and menu 'snippets'.  Capitalizes, indents, beautifies!  The formatter itself -- SNIPFMT.APP  -- is placed in the directory where you install FoxPro.  Requires FoxDoc.",Goodies\Snipfmt,5
Miscellaneous,,PIECES.PAK,4,Miscellaneous, 119,  15,"Odds and ends: files providing FoxBASE+ 2.10 compatibility, a routine to convert 1.02 FoxUser preference, and the latest mouse drivers.",Goodies\Misc,6
