TYPE,ID,UNIT
Area,5,Miles^2
Area,6,Acres
Area,7,Rods^2
Area,8,Yards^2
Area,9,Feet^2
Area,10,Inches^2
Area,24,Meters^2
Area,25,Centimeters^2
Area,26,Kilometers^2
Area,67,Hectares
Length,11,Miles
Length,12,Rods
Length,13,Yards
Length,14,Feet
Length,15,Inches
Length,18,Meters
Length,19,Centimeters
Length,20,Millimeters
Length,21,Furlongs
Length,22,Fathoms
Length,23,Fermis
Length,39,Kilometers
Length,59,Mega Parsecs
Length,60,Parsecs
Length,61,Cubits
Length,68,Ropes
Length,69,Leagues
Mass,1,Pounds
Mass,2,Ounces
Mass,3,Stones
Mass,4,Grains
Mass,16,Kilograms
Mass,17,Grams
Mass,40,Slugs
Mass,41,Tons
Mass,65,Quintals
Speed,52,Meters/sec
Speed,53,Cm./sec
Speed,54,Feet/sec
Speed,55,Kilometers/hr
Speed,56,Miles/hr
Speed,57,Knots
Speed,58,C
Temperature,36,Celsius
Temperature,37,Fahrenheit
Temperature,38,Kelvin
Time,31,Years
Time,32,Days
Time,33,Hours
Time,34,Minutes
Time,35,Seconds
Time,63,Weeks
Volume,27,Liters
Volume,28,Gallons
Volume,29,Quarts
Volume,30,Pints
Volume,42,Meters^3
Volume,43,Centimeters^3
Volume,44,Yards^3
Volume,45,Feet^3
Volume,46,Inches^3
Volume,48,Milliliters
Volume,49,Fluid Ounces
Volume,50,Tablespoons
Volume,51,Teaspoons
Volume,47,Gills
Volume,64,Cups
Volume,66,Hogsheads
