ARTICULO,ARTNOMBRE,PROVEEDOR,ARTUNIDAD,ARTASA,ARTDEC,MARGEN,COEFCOM,COEFCOMB,TRATAMIENT,UBICACION,LISTA,LISTB,LISTC,LISTD,GRUPO,SUBGRUPO,CALCULA,MAYCUENTA,ARTDESCR
01,Matriculacin Profesional,,,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,N,4106,
02,Matriculacin de Empresa,,,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,N,4107,
03,Derecho Anual de Habilitacin Profesional,,,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,N,4106,
05,Certificado de Habilitacin Profesional,,,0.0,0,0.0,0.0,0.0,,,30.0,30.0,30.0,30.0,,,N,4101,
04,Derecho Anual de Habilitacin de Empresa,,,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,N,4107,
06,Certificados Varios,,,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,N,4205,
07,Multas y/o Recargos,,,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,N,4108,
08,Ventas de Papelera,,,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,N,4104,
09,Alquiler,,,21.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,N,4110,
10,Pagos a cuenta Documentos,,,18.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,N,1203,
1,,,,18.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,N,,
2,,,,18.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,N,,
3,,,,18.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,N,,
