CONCEPTO,NOMBRE,GRUPO,ORDEN,TOTCANT1,TOTCANT2,TOTCANT3,TOTCANT4,TOTIMP1,TOTIMP2,TOTIMP3,TOTIMP4,HORASLEG,HORASEXTR,IMPRCANT,IMPUTACION
001,Horas Normales,1,1,,,,,,,,,True,False,True,
002,Horas Extras 50%,1,1,,,,,,,,,False,True,True,
003,Horas Extras 100%,1,1,,,,,,,,,False,True,True,
011,Horas Nocturnas,1,1,,,,,,,,,False,False,True,
012,Horas Adicional 15%,1,1,,,,,,,,,False,False,True,
013,Horas Adicional 25%,1,1,,,,,,,,,False,False,True,
021,Accidentes Trabajo,1,1,,,,,,,,,True,False,True,
022,Licencia Enfermedad,1,1,,,,,,,,,True,False,True,
023,Licencia Nacim.Hijos,1,1,,,,,,,,,True,False,True,
024,Licencia Fallecim.,1,1,,,,,,,,,True,False,True,
025,Licencia Matrimonio,1,1,,,,,,,,,True,False,True,
026,Licencia Examen,1,1,,,,,,,,,True,False,True,
027,Licencia Don.Sangre,1,1,,,,,,,,,True,False,True,
028,Licencia Rev.Ser.Mil.,1,1,,,,,,,,,True,False,True,
029,Licencias Especiales,1,1,,,,,,,,,True,False,True,
030,Feriados Pagos,1,1,,,,,,,,,True,False,True,
031,Vacaciones Anuales,1,1,,,,,,,,,True,False,True,
041,Bonific.Antigedad,1,2,,,,,,,,,False,False,False,
042,Presentismo,1,2,,,,,,,,,False,False,False,
051,Premios,1,1,,,,,,,,,False,False,False,
052,Comisiones,1,1,,,,,,,,,False,False,False,
061,Fallas de Caja,1,1,,,,,,,,,False,False,False,
062,Bonificacin Titulo,1,1,,,,,,,,,False,False,False,
063,Viticos sin Compbte.,1,1,,,,,,,,,False,False,False,
069,Sueldo Anual Complement.,1,3,,,,,,,,,False,False,False,
071,Indemn.Accidentes,2,1,,,,,,,,,False,False,False,
072,Indemn.Despido,2,1,,,,,,,,,False,False,False,
073,Indemn.Falta Preaviso,2,1,,,,,,,,,False,False,False,
074,Indemn.Vacac.NO Gozadas,2,1,,,,,,,,,False,False,False,
075,Aguinaldo s/Preaviso,2,1,,,,,,,,,False,False,False,
076,Aguin.s/Vac.NO Gozadas,2,1,,,,,,,,,False,False,False,
077,Integracin Sueldo,2,1,,,,,,,,,False,False,False,
081,Sal.Fliar.Hijos,3,2,,,,,,,,,False,False,False,
082,Sal.Fliar.Hijos,3,2,,,,,,,,,False,False,False,
083,Sal.Fliar.Hijos,3,2,,,,,,,,,False,False,False,
084,Sal.Fliar.Hijos Incapac.,3,2,,,,,,,,,False,False,False,
091,Sal.Fliar.Prenatal,4,2,,,,,,,,,False,False,False,
093,Sal.Fliar.Complem.Vacac.,4,2,,,,,,,,,False,False,False,
094,Ayuda Escolar,4,2,,,,,,,,,False,False,False,
098,Licencia Maternidad,4,2,,,,,,,,,True,False,True,
099,Reajustes Sal.Fliar,4,2,,,,,,,,,False,False,False,
101,Aporte Jubilacin 11%,5,4,,,,,,,,,False,False,False,210401001
102,Aporte INSSJP. 3%,5,4,,,,,,,,,False,False,False,210401002
103,Aporte Voluntario Jubil.,5,4,,,,,,,,,False,False,False,210401001
108,Ahorro de Menores,5,4,,,,,,,,,False,False,False,210415001
111,Aporte Obra Social 3%,5,4,,,,,,,,,False,False,False,210401003
112,"Aporte Adic.O.Soc. 1,5%",5,4,,,,,,,,,False,False,False,210401003
121,Aporte Cuota Sindical,5,4,,,,,,,,,False,False,False,210410001
141,Embargos,5,4,,,,,,,,,False,False,False,210415011
145,Seguro de Vida,5,4,,,,,,,,,False,False,False,210415021
151,Prestamo C.N.A.S.,5,4,,,,,,,,,False,False,False,210415031
155,Impuesto a las Ganancias,5,4,,,,,,,,,False,False,False,210415041
161,Reintegro Anticipos,6,1,,,,,,,,,False,False,False,110403
201,Contribucin Jubilacin,7,5,,,,,,,,,False,False,False,210302031
203,Contribuc. I.N.S.S.J.P.,7,5,,,,,,,,,False,False,False,210302032
205,Contrib.Asign.Familiares,7,5,,,,,,,,,False,False,False,210302051
211,Contribucin Obra Social,7,5,,,,,,,,,False,False,False,210302041
213,Contribuc.I.S.S.A.R.A.,7,5,,,,,,,,,False,False,False,210302071
215,Fdo.Desempleo Cont.8%,7,5,,,,,,,,,False,False,False,210302081
216,Fdo.Desempleo Contr.12%,7,5,,,,,,,,,False,False,False,210302081
