CONVENIO,CONCEPTO,TIPO,OBRA,SINDICATO,ADMINISTR,FORMALIQ,QUINCENA,SEXO,EDAD,ANTIGUEDAD,ENTEROS,DECIMALES,MAXIMO,FORMULA,CONDICION
00,001,,,,,,,,,,3,1,200.0,WHORA,
00,002,,,,,,,,,,3,1,100.0,WHORA*1.5,
00,003,,,,,,,,,,3,1,100.0,WHORA*2,
00,011,,,,,,,,,,3,1,200.0,WHORA*0.15,
00,012,,,,,,,,,,3,1,200.0,WHORA*0.15,
00,013,,,,,,,,,,3,1,200.0,WHORA*0.25,
00,021,,,,,,,,,,3,1,200.0,(WHORA+WPROMEXTRA),
00,022,,,,,,,,,,3,1,200.0,(WHORA+WPROMEXTRA),
00,023,,,,,,,,,,3,1,16.0,(WHORA+WPROMEXTRA),
00,024,,,,,,,,,,3,1,16.0,(WHORA+WPROMEXTRA),
00,025,,,,,,,,,,3,1,100.0,(WHORA+WPROMEXTRA),
00,026,,,,,,,,,,3,1,24.0,(WHORA+WPROMEXTRA),
00,027,,,,,,,,,,3,1,8.0,(WHORA+WPROMEXTRA),
00,028,,,,,,,,,,3,1,16.0,(WHORA+WPROMEXTRA),
00,029,,,,,,,,,,3,1,200.0,(WHORA+WPROMEXTRA),
00,030,,,,,,,,,,3,1,16.0,(WHORA+WPROMEXTRA),
00,031,,,,,,,,,,3,1,200.0,(WHORA+WPROMEXTRA),
00,042,,,,,,,,,,0,0,200.0,,
00,051,,,,,,,,,,4,1,1000.0,,
00,052,,,,,,,,,,5,1,10000.0,,
00,063,,,,,,,,,,4,1,2000.0,,
00,069,L,,,,,,,,,0,0,0.0,WBASEAGUIN*WSEMESTRE/360,
00,081,A,,,,,2,,,,0,0,0.0,WCANTIDAD*40,WHORASCTE>=80 .AND. WGANCDESC<=500
00,082,A,,,,,2,,,,0,0,0.0,WCANTIDAD*30,WGANCDESC>500 .AND. WGANCDESC<=1000
00,083,A,,,,,2,,,,0,0,0.0,WCANTIDAD*20,WGANCDESC>1000 .AND. WGANCDESC<=1500
00,084,A,,,,,2,,,,0,0,0.0,WCANTIDAD*80,WHORASCTE>=80
00,091,,,,,,,M,,,1,0,105.0,,
00,093,A,,,,,2,,,,0,0,0.0,WSUBSIDIOS,"WMESLIQ=""01"""
00,094,,,,,,,,,,3,1,500.0,,
00,098,,,,,,,M,,,3,1,24.0,(WHORA+WPROMEXTRA),
00,099,,,,,,,,,,3,1,500.0,,
00,101,A,,,,,,,>17,,0,0,0.0,WGANCDESC*0.11*((100-WREBAJA)/100),
00,102,A,,,,,,,,,0,0,0.0,WGANCDESC*0.03*((100-WREBAJA)/100),
00,108,A,,,,,,,<17,,0,0,0.0,WGANCDESC*0.1,
00,111,A,,,,,,,,,0,0,0.0,WGANCDESC*0.03,
00,112,A,,,,,,,,,0,0,0.0,WGANCDESC*0.15,WADHERENTE>0
00,121,A,,01,,,,,,,0,0,0.0,WGANCDESC*0.02,
00,141,,,,,,,,,,4,2,1000.0,,
00,145,,,,,,,,,,3,2,100.0,,
00,151,,,,,,,,,,4,2,1000.0,,
00,155,,,,,,,,,,4,2,1000.0,,
00,161,,,,,,,,,,4,2,1000.0,,
00,201,A,,,,,,,>17,,0,0,0.0,WGANCDESC*0.16*(1-(WREDUCCION/100)),
00,203,A,,,,,,,,,0,0,0.0,WGANCDESC*0.02*(1-(WREDUCCION/100)),
00,205,A,,,,,,,,,0,0,0.0,WGANCDESC*0.075*(1-(WREDUCCION/100)),
00,211,A,,,,,,,,,0,0,0.0,WGANCDESC*0.045*(1-(WREDUCCION/100)),
