MAYCUENTA,MAYNOMBRE,MAYSDOANT,MAYSDOCAJA,MAYDEBITO,MAYCREDITO,MAYREGIST,MAYRESULT,MAYAJUSTE
1,ACTIVO,0.0,,0.0,0.0,I,False,False
11,CAJA Y BANCOS,0.0,,0.0,0.0,I,False,False
12,CUENTAS POR COBRAR,0.0,,0.0,0.0,I,False,False
1201,Condminos Edificio,0.0,,0.0,0.0,R,False,False
1202,Deudores Comunes,0.0,,0.0,0.0,R,False,False
1203,Documentos a Cobrar,0.0,,0.0,0.0,R,False,False
1204,Intereses  a Cobrar,0.0,,0.0,0.0,R,False,False
13,BIENES DE CAMBIO,0.0,,0.0,0.0,I,False,False
1301,Impresos (Papalera de Reventa),0.0,,0.0,0.0,R,False,False
14,INVERSIONES,0.0,,0.0,0.0,I,False,False
1401,Bonex Serie 1.989,0.0,,0.0,0.0,R,False,False
15,BIENES DE USO,0.0,,0.0,0.0,I,False,False
1501,Inmuebles-terreno,0.0,,0.0,0.0,R,False,False
1502,Inmuebles-Construcciones,0.0,,0.0,0.0,R,False,False
1503,Menos: Deprec.Acumulada Inmuebles,0.0,,0.0,0.0,R,False,False
1504,Muebles y Utiles,0.0,,0.0,0.0,R,False,False
1505,Menos: Deprec.Acumulada M.y Utiles,0.0,,0.0,0.0,R,False,False
1506,Equipo de Mecanizacin,0.0,,0.0,0.0,R,False,False
1507,Menos: Deprec.Ac.Equipos de Mecan.,0.0,,0.0,0.0,R,False,False
1508,Equipo de Computacin,0.0,,0.0,0.0,R,False,False
1509,Menos: Deprec.Ac.Equipo de Comput.,0.0,,0.0,0.0,R,False,False
1510,Instalaciones,0.0,,0.0,0.0,R,False,False
1511,Menos: Deprec.Acumulada Instalac.,0.0,,0.0,0.0,R,False,False
2,PASIVO,0.0,,0.0,0.0,I,False,False
21,CUENTAS POR PAGAR,0.0,,0.0,0.0,I,False,False
2101,Honorarios Pendientes de Liquidar,0.0,,0.0,0.0,R,False,False
2102,Honorarios a Pagar,0.0,,0.0,0.0,R,False,False
2103,Compensacin Consejeros a Pagar,0.0,,0.0,0.0,R,False,False
2104,C.I.A.A.,0.0,,0.0,0.0,R,False,False
2105,A.T.I.M.,0.0,,0.0,0.0,R,False,False
2106,,0.0,,0.0,0.0,R,False,False
2107,,0.0,,0.0,0.0,R,False,False
2108,Honorarios Mensuales Fijos a Pagar,0.0,,0.0,0.0,R,False,False
2109,Gastos a Pagar,0.0,,0.0,0.0,R,False,False
22,REMUNERACIONES Y CARGAS SOCIALES,0.0,,0.0,0.0,I,False,False
2203,Obra Social,0.0,,0.0,0.0,R,False,False
3,PATRIMONIO NETO,0.0,,0.0,0.0,I,False,False
31,CAPITAL,0.0,,0.0,0.0,I,False,False
3101,Capital,0.0,,0.0,0.0,R,False,True
3102,Ajustes al Capital,0.0,,0.0,0.0,R,False,True
32,GANANCIAS RESERVADAS,0.0,,0.0,0.0,I,False,False
4,INGRESOS,0.0,,0.0,0.0,I,False,False
41,RECURSOS ORDINARIOS,0.0,,0.0,0.0,I,False,False
4101,Cert.Habil.Prof. Ley 5.908,0.0,,0.0,0.0,R,True,True
4102,Matriculas Profes.-(Gtos.Administ),0.0,,0.0,0.0,R,True,True
4103,Matriculas Empresas-(Gtos.Administ.),0.0,,0.0,0.0,R,True,True
4104,Ventas de Papelera,0.0,,0.0,0.0,R,True,True
4105,5% Honorarios Profesionales,0.0,,0.0,0.0,R,True,True
4106,Matrculas Profes.-Der.Anual de Habilit.,0.0,,0.0,0.0,R,True,True
4107,Matrc.Empresas-Der.Anual de Habilit.,0.0,,0.0,0.0,R,True,True
4108,"Multas, Recargos y Varios",0.0,,0.0,0.0,R,True,True
42,OTROS INGRESOS,0.0,,0.0,0.0,I,False,False
4201,,0.0,,0.0,0.0,R,True,True
4202,,0.0,,0.0,0.0,R,True,True
4203,Intereses C.Ahorro Mon.Extr.,0.0,,0.0,0.0,R,True,True
4204,Otros Intereses,0.0,,0.0,0.0,R,True,True
4205,Ingresos Varios,0.0,,0.0,0.0,R,True,True
4206,Int. Plazo Fijo Banco Suqua -ME,0.0,,0.0,0.0,R,True,False
5,EGRESOS,0.0,,0.0,0.0,I,False,False
51,GASTOS DE FUNCIONAMIENTO,0.0,,0.0,0.0,I,False,False
52,REMUNERACIONES Y CARGAS SOCIALES,0.0,,0.0,0.0,I,False,False
5201,Remuneracin Bsica,0.0,,0.0,0.0,R,True,True
5202,Sueldo Anual Complementario,0.0,,0.0,0.0,R,True,True
5203,Bonificacin por Antigedad,0.0,,0.0,0.0,R,True,True
5204,Bonificacin por Ttulo,0.0,,0.0,0.0,R,True,True
5205,Bonificacin por Presentismo,0.0,,0.0,0.0,R,True,True
5206,Adicional por Licencias,0.0,,0.0,0.0,R,True,True
5207,A.N.S.E.S.,0.0,,0.0,0.0,R,True,True
5208,Obra Social,0.0,,0.0,0.0,R,True,True
5209,Indemnizacin por Despidos,0.0,,0.0,0.0,R,True,True
53,HONORARIOS Y COMPENSACIONES,0.0,,0.0,0.0,I,False,False
5301,Honorarios Mensuales Fijos,0.0,,0.0,0.0,R,True,True
5302,Gastos Representacin Presidente,0.0,,0.0,0.0,R,True,True
5303,Gastos Representacin Vice-Presidente,0.0,,0.0,0.0,R,True,True
5304,Gastos Representacin Secretario,0.0,,0.0,0.0,R,True,True
5305,Compensacin Consejeros,0.0,,0.0,0.0,R,True,True
5306,Honorarios por Servicios de Terceros,0.0,,0.0,0.0,R,True,True
5307,Honorarios Insp. Obras y Municipios,0.0,,0.0,0.0,R,True,True
5308,Honorarios por Reg. de Juicios,0.0,,0.0,0.0,R,True,True
2110,Ret.Impuesto a las Ganancias a Depositar,0.0,,0.0,0.0,R,False,False
2204,U.T.E.D.Y.C. a Pagar,0.0,,0.0,0.0,R,False,False
23,PREVISIONES,0.0,,0.0,0.0,I,False,False
2301,Previsin para Despidos,0.0,,0.0,0.0,R,False,False
3201,Reserva Facultativa,0.0,,0.0,0.0,R,False,True
33,RESULTADOS ACUMULADOS,0.0,,0.0,0.0,I,False,False
3301,Res.Ejercicios Anteriores,0.0,,0.0,0.0,R,False,True
3302,Res.del Ejercicio,0.0,,0.0,0.0,R,True,False
5210,Compensaciones por Fallas de Caja,0.0,,0.0,0.0,R,True,True
5211,Horas Suplementarias,0.0,,0.0,0.0,R,True,True
5212,Bonificacin por Operador de Cmputos,0.0,,0.0,0.0,R,True,True
5213,Bonificacin Trimes.p/Asist.y Punt.,0.0,,0.0,0.0,R,True,True
6,CUENTAS DE ORDEN,0.0,,0.0,0.0,I,False,False
61,Cuentas de Movimiento,0.0,,0.0,0.0,I,False,False
6101,Valores pendientes,0.0,,0.0,0.0,R,True,True
6102,Cuenta puente,0.0,,0.0,0.0,R,True,True
5103,Franqueos,0.0,,0.0,0.0,R,True,True
5104,Servicio de Mensajera,0.0,,0.0,0.0,R,True,True
5105,Gas - Luz,0.0,,0.0,0.0,R,True,True
5106,Obras Sanitarias-Municipalidad,0.0,,0.0,0.0,R,True,True
5107,Telefno,0.0,,0.0,0.0,R,True,True
5108,Movilidad Tramitador,0.0,,0.0,0.0,R,True,True
