ASIENTO,FECHA,DETALLE,CONSOLID
6068,1999-10-01,PR.188-R.44399/407,True
6069,1999-10-01,PR.188-R.44408,True
6070,1999-10-01,PR.188-R.44409/412,True
6071,1999-10-01,PR.188-R.44413,True
6072,1999-10-01,PR.188-R.44414,True
6073,1999-10-01,PR.188-R.44415,True
6074,1999-10-01,DE.PR.189,True
6075,1999-10-01,DE.PR.187,True
6076,1999-10-01,DE.PR.18-SR.,True
6077,1999-10-01,DE.PR.161,True
6078,1999-10-01,DE.PR.187,True
6079,1999-10-01,N.D.p/Iva s/Deb.-Cta.9637/3 CB,True
6080,1999-10-01,N.D. p/Iva s/Deb.Cta.24/9,True
6081,1999-10-01,N.D.p/Sell.Com.Int.Desc.-Cta.24/9,True
6082,1999-10-01,Dep.Tarj.Visa-,True
6083,1999-10-01,N.D.p/Com.Sell.Desc.-Cta.644299/8 BNL,True
6084,1999-10-01,N.D.p/Mnat.Cta.-644299/8 BNL,True
6085,1999-10-04,PR.189-R.44416,True
6086,1999-10-04,PR.189-R.44417,True
6087,1999-10-04,PR.189-.R.44418/424,True
6088,1999-10-04,PR.189-R.44425,True
6089,1999-10-04,PR.189-R.44426,True
6090,1999-10-04,PR.189-R.44427,True
6091,1999-10-04,PR.189-R.44428,True
6092,1999-10-04,PR.189-R.44429,True
6093,1999-10-04,PR.189-R.44430-Ch.11/12/99 Nac.,True
6094,1999-10-04,PR.189-R.44431,True
6095,1999-10-04,PR.189-R.44432/433,True
6096,1999-10-04,PR.189-R.44434/435,True
6097,1999-10-04,PR.189-R.44436,True
6098,1999-10-04,PR.189-R.44437,True
6099,1999-10-04,PR.189-R.44438/442,True
6100,1999-10-04,PR.189-R.44443/444,True
6101,1999-10-04,PR.189-R.44445,True
6102,1999-10-04,PR.189-R.44446,True
6103,1999-10-04,PR.189-R.44447,True
6104,1999-10-04,PR.189-R.44448/449,True
6105,1999-10-04,PR.189-R.44450/451,True
6106,1999-10-04,PR.189-R.44452-Ch.29/11/99 -BNL,True
