ASIENTO,MYMORDEN,FECHA,MAYCUENTA,RUBRO,IMPORTE
6068,1,1999-10-01,1104,D,300.0
6068,2,1999-10-01,4101,H,300.0
6069,1,1999-10-01,1104,D,20.0
6069,2,1999-10-01,4205,H,20.0
6070,1,1999-10-01,1104,D,120.0
6070,2,1999-10-01,4101,H,120.0
6071,1,1999-10-01,1104,D,40.0
6071,2,1999-10-01,4205,H,40.0
6072,1,1999-10-01,1104,D,11.0
6072,2,1999-10-01,4104,H,11.0
6073,1,1999-10-01,1104,D,2800.0
6073,2,1999-10-01,4102,H,2800.0
6074,1,1999-10-01,1115,D,30.0
6074,2,1999-10-01,1104,H,30.0
6075,1,1999-10-01,1118,D,225.5
6075,2,1999-10-01,1104,H,225.5
6076,1,1999-10-01,1118,D,30.3
6076,2,1999-10-01,1104,H,30.3
6077,1,1999-10-01,1118,D,150.1
6077,2,1999-10-01,1106,H,150.1
6078,1,1999-10-01,1116,D,200.0
6078,2,1999-10-01,1104,H,200.0
6079,1,1999-10-01,5118,D,2.52
6079,2,1999-10-01,1115,H,2.52
6080,1,1999-10-01,5118,D,13.91
6080,2,1999-10-01,1118,H,13.91
6081,1,1999-10-01,5118,D,99.39
6081,2,1999-10-01,5118,D,30.0
6081,3,1999-10-01,5118,D,1.5
6081,4,1999-10-01,5118,D,6.05
6081,5,1999-10-01,5118,D,19.41
6081,6,1999-10-01,1118,H,156.35
6082,1,1999-10-01,1118,D,29.85
6082,2,1999-10-01,5135,D,3.15
6082,3,1999-10-01,1205,H,33.0
6083,1,1999-10-01,5118,D,1.29
6083,2,1999-10-01,5118,D,0.15
6083,3,1999-10-01,1116,H,1.44
6084,1,1999-10-01,5118,D,50.4
6084,2,1999-10-01,1116,H,50.4
6085,1,1999-10-04,1104,D,30.0
6085,2,1999-10-04,4101,H,30.0
6086,1,1999-10-04,1104,D,20.0
6086,2,1999-10-04,4205,H,20.0
6087,1,1999-10-04,1104,D,210.0
6087,2,1999-10-04,4101,H,210.0
6088,1,1999-10-04,1104,D,30.0
6088,2,1999-10-04,4205,H,30.0
6089,1,1999-10-04,1104,D,30.0
6089,2,1999-10-04,4101,H,30.0
6090,1,1999-10-04,1104,D,20.0
6090,2,1999-10-04,4205,H,20.0
6091,1,1999-10-04,1104,D,30.0
6091,2,1999-10-04,4101,H,30.0
6092,1,1999-10-04,1104,D,30.0
6092,2,1999-10-04,4205,H,30.0
6093,1,1999-10-04,1104,D,250.0
6093,2,1999-10-04,1106,D,250.0
6093,3,1999-10-04,4107,H,500.0
6094,1,1999-10-04,1104,D,30.0
6094,2,1999-10-04,4101,H,30.0
6095,1,1999-10-04,1104,D,40.0
6095,2,1999-10-04,4205,H,40.0
6096,1,1999-10-04,1104,D,60.0
6096,2,1999-10-04,4101,H,60.0
6097,1,1999-10-04,1104,D,20.0
6097,2,1999-10-04,4205,H,20.0
6098,1,1999-10-04,1104,D,30.0
6098,2,1999-10-04,4101,H,30.0
6099,1,1999-10-04,1104,D,110.0
6099,2,1999-10-04,4205,H,110.0
6100,1,1999-10-04,1104,D,60.0
6100,2,1999-10-04,4101,H,60.0
6101,1,1999-10-04,1104,D,20.0
6101,2,1999-10-04,4205,H,20.0
6102,1,1999-10-04,1104,D,30.0
6102,2,1999-10-04,4101,H,30.0
6103,1,1999-10-04,1104,D,40.0
6103,2,1999-10-04,4205,H,40.0
6104,1,1999-10-04,1104,D,30.0
6104,2,1999-10-04,1105,D,60.0
6104,3,1999-10-04,4101,H,90.0
6105,1,1999-10-04,1104,D,40.0
6105,2,1999-10-04,4205,H,40.0
6106,1,1999-10-04,1104,D,123.0
6106,2,1999-10-04,1106,D,177.0
6106,3,1999-10-04,4106,H,300.0
6107,1,1999-10-04,1104,D,40.0
6107,2,1999-10-04,4205,H,40.0
6108,1,1999-10-04,1104,D,10.0
6108,2,1999-10-04,4104,H,10.0
6109,1,1999-10-04,1115,D,200.0
6109,2,1999-10-04,1106,H,200.0
6110,1,1999-10-04,1118,D,2800.0
6110,2,1999-10-04,1104,H,2800.0
6111,1,1999-10-04,1118,D,104.0
6111,2,1999-10-04,1118,D,357.0
6111,3,1999-10-04,1104,H,461.0
6112,1,1999-10-04,1118,D,600.0
6112,2,1999-10-04,1118,D,153.0
6112,3,1999-10-04,1104,H,753.0
6113,1,1999-10-04,1118,D,100.0
6113,2,1999-10-04,1106,H,100.0
6114,1,1999-10-04,1116,D,250.0
6114,2,1999-10-04,1104,H,250.0
6115,1,1999-10-04,1116,D,30.0
6115,2,1999-10-04,1104,H,30.0
6116,1,1999-10-04,2109,D,130.0
6116,2,1999-10-04,1118,H,130.0
6117,1,1999-10-04,2109,D,70.4
6117,2,1999-10-04,1118,H,70.4
6118,1,1999-10-04,5306,D,88.0
6118,2,1999-10-04,5307,D,243.66
6118,3,1999-10-04,1118,H,331.66
6119,1,1999-10-04,5117,D,140.0
6119,2,1999-10-04,1118,H,140.0
6120,1,1999-10-04,5111,D,120.0
6120,2,1999-10-04,1118,H,120.0
6121,1,1999-10-05,1104,D,210.0
6121,2,1999-10-05,4101,H,210.0
6122,1,1999-10-05,1104,D,20.0
6122,2,1999-10-05,4205,H,20.0
6123,1,1999-10-05,1104,D,60.0
6123,2,1999-10-05,4101,H,60.0
6124,1,1999-10-05,1104,D,20.0
6124,2,1999-10-05,4205,H,20.0
6125,1,1999-10-05,1104,D,90.0
6125,2,1999-10-05,4101,H,90.0
6126,1,1999-10-05,1104,D,40.0
6126,2,1999-10-05,4205,H,40.0
6127,1,1999-10-05,1104,D,60.0
6127,2,1999-10-05,4101,H,60.0
6128,1,1999-10-05,1104,D,20.0
6128,2,1999-10-05,4205,H,20.0
6129,1,1999-10-05,1104,D,30.0
6129,2,1999-10-05,1105,D,120.0
6129,3,1999-10-05,4101,H,150.0
6130,1,1999-10-05,1104,D,60.0
6130,2,1999-10-05,4205,H,60.0
6131,1,1999-10-05,1104,D,90.0
6131,2,1999-10-05,4101,H,90.0
6132,1,1999-10-05,1104,D,20.0
6132,2,1999-10-05,4205,H,20.0
6133,1,1999-10-05,1104,D,30.0
6133,2,1999-10-05,4101,H,30.0
6134,1,1999-10-05,1104,D,7.0
6134,2,1999-10-05,4104,H,7.0
6135,1,1999-10-05,1118,D,500.0
6135,2,1999-10-05,1104,H,500.0
6136,1,1999-10-05,1118,D,95.0
6136,2,1999-10-05,1106,H,95.0
6137,1,1999-10-05,1116,D,30.0
6137,2,1999-10-05,1104,H,30.0
6138,1,1999-10-05,5116,D,180.35
6138,2,1999-10-05,1118,H,180.35
6139,1,1999-10-05,5118,D,6.3
6139,2,1999-10-05,1118,H,6.3
6140,1,1999-10-05,5118,D,60.0
6140,2,1999-10-05,5118,D,9.0
6140,3,1999-10-05,1118,H,69.0
6141,1,1999-10-06,1104,D,180.0
6141,2,1999-10-06,4101,H,180.0
6142,1,1999-10-06,1104,D,20.0
6142,2,1999-10-06,4205,H,20.0
6143,1,1999-10-06,1104,D,240.0
6143,2,1999-10-06,4101,H,240.0
6144,1,1999-10-06,1104,D,20.0
6144,2,1999-10-06,4205,H,20.0
6145,1,1999-10-06,1104,D,60.0
6145,2,1999-10-06,4101,H,60.0
6146,1,1999-10-06,1104,D,50.0
6146,2,1999-10-06,4205,H,50.0
6147,1,1999-10-06,1104,D,60.0
6147,2,1999-10-06,4101,H,60.0
6148,1,1999-10-06,1104,D,350.0
6148,2,1999-10-06,4107,H,350.0
6149,1,1999-10-06,1104,D,120.0
6149,2,1999-10-06,4101,H,120.0
6150,1,1999-10-06,1104,D,20.0
6150,2,1999-10-06,4205,H,20.0
6151,1,1999-10-06,1104,D,30.0
6151,2,1999-10-06,4101,H,30.0
6152,1,1999-10-06,1104,D,2.0
6152,2,1999-10-06,4104,H,2.0
6153,1,1999-10-06,1118,D,120.0
6153,2,1999-10-06,1104,H,120.0
6154,1,1999-10-06,1118,D,500.0
6154,2,1999-10-06,1104,H,500.0
6155,1,1999-10-06,1118,D,306.0
6155,2,1999-10-06,1118,D,256.0
6155,3,1999-10-06,1104,H,562.0
6156,1,1999-10-06,5107,D,84.38
6156,2,1999-10-06,5108,D,6.1
6156,3,1999-10-06,5104,D,3.5
6156,4,1999-10-06,5101,D,10.9
6156,5,1999-10-06,1118,H,104.88
6157,1,1999-10-07,1104,D,60.0
6157,2,1999-10-07,4101,H,60.0
6158,1,1999-10-07,1104,D,40.0
6158,2,1999-10-07,4205,H,40.0
6159,1,1999-10-07,1104,D,30.0
6159,2,1999-10-07,4101,H,30.0
6160,1,1999-10-07,1104,D,300.0
6160,2,1999-10-07,4106,H,300.0
6161,1,1999-10-07,1104,D,110.0
6161,2,1999-10-07,1106,D,70.0
6161,3,1999-10-07,4101,H,180.0
6162,1,1999-10-07,1104,D,300.0
6162,2,1999-10-07,4106,H,300.0
6163,1,1999-10-07,1104,D,20.0
6163,2,1999-10-07,4205,H,20.0
6164,1,1999-10-07,1104,D,210.0
6164,2,1999-10-07,4107,H,210.0
6165,1,1999-10-07,1205,D,111.0
6165,2,1999-10-07,1104,D,80.0
6165,3,1999-10-07,4106,H,180.0
6165,4,1999-10-07,4207,H,11.0
6166,1,1999-10-07,1104,D,60.0
6166,2,1999-10-07,4205,H,60.0
6167,1,1999-10-07,1104,D,10.0
6167,2,1999-10-07,4101,H,10.0
6168,1,1999-10-07,1104,D,20.0
6168,2,1999-10-07,4205,H,20.0
6169,1,1999-10-07,1104,D,150.0
6169,2,1999-10-07,4101,H,150.0
6170,1,1999-10-07,1104,D,20.0
6170,2,1999-10-07,4205,H,20.0
6171,1,1999-10-07,1106,D,60.0
6171,2,1999-10-07,1106,D,60.0
6171,3,1999-10-07,1106,D,60.0
6171,4,1999-10-07,4106,H,180.0
6172,1,1999-10-07,1104,D,40.0
6172,2,1999-10-07,4205,H,40.0
6173,1,1999-10-07,1104,D,90.0
6173,2,1999-10-07,4101,H,90.0
6174,1,1999-10-07,1104,D,300.0
6174,2,1999-10-07,4106,H,300.0
6175,1,1999-10-07,1104,D,40.0
6175,2,1999-10-07,4205,H,40.0
6176,1,1999-10-07,1205,D,346.0
6176,2,1999-10-07,4106,H,300.0
6176,3,1999-10-07,4207,H,46.0
6177,1,1999-10-07,1104,D,20.0
6177,2,1999-10-07,4205,H,20.0
6178,1,1999-10-07,1104,D,6.0
6178,2,1999-10-07,4104,H,6.0
6179,1,1999-10-07,1106,D,250.0
6179,2,1999-10-07,1106,D,250.0
6179,3,1999-10-07,1106,D,250.0
6179,4,1999-10-07,1106,D,250.0
6179,5,1999-10-07,1106,D,250.0
6179,6,1999-10-07,1106,D,250.0
6179,7,1999-10-07,1106,D,250.0
6179,8,1999-10-07,1106,D,250.0
6179,9,1999-10-07,1106,D,250.0
6179,10,1999-10-07,1106,D,250.0
6179,11,1999-10-07,4108,H,2500.0
6180,1,1999-10-07,1104,D,275.0
6180,2,1999-10-07,4205,H,275.0
6181,1,1999-10-07,1118,D,250.0
6181,2,1999-10-07,1106,H,250.0
6182,1,1999-10-07,1118,D,257.0
6182,2,1999-10-07,1104,H,257.0
6183,1,1999-10-07,1118,D,1000.0
6183,2,1999-10-07,1104,H,1000.0
6184,1,1999-10-07,2110,D,73.46
6184,2,1999-10-07,1118,H,73.46
6185,1,1999-10-07,2202,D,1117.56
6185,2,1999-10-07,2203,D,328.38
6185,3,1999-10-07,1118,H,1445.94
6186,1,1999-10-07,2204,D,91.21
6186,2,1999-10-07,1118,H,91.21
6187,1,1999-10-07,2115,D,2466.82
6187,2,1999-10-07,5134,D,438.03
6187,3,1999-10-07,1118,H,2904.85
6188,1,1999-10-07,5111,D,37.0
6188,2,1999-10-07,1118,H,37.0
6189,1,1999-10-08,1104,D,30.0
6189,2,1999-10-08,4101,H,30.0
6190,1,1999-10-08,1104,D,20.0
6190,2,1999-10-08,4205,H,20.0
6191,1,1999-10-08,1104,D,30.0
6191,2,1999-10-08,4101,H,30.0
6192,1,1999-10-08,1104,D,20.0
6192,2,1999-10-08,4205,H,20.0
6193,1,1999-10-08,1104,D,210.0
6193,2,1999-10-08,4101,H,210.0
6194,1,1999-10-08,1104,D,40.0
6194,2,1999-10-08,4205,H,40.0
6195,1,1999-10-08,1104,D,240.0
6195,2,1999-10-08,4101,H,240.0
6196,1,1999-10-08,1104,D,20.0
6196,2,1999-10-08,4205,H,20.0
6197,1,1999-10-08,1104,D,30.0
6197,2,1999-10-08,4101,H,30.0
6198,1,1999-10-08,1104,D,166.67
6198,2,1999-10-08,4108,H,166.67
6199,1,1999-10-08,1104,D,20.0
6199,2,1999-10-08,4205,H,20.0
6200,1,1999-10-08,1104,D,30.0
6200,2,1999-10-08,4101,H,30.0
6201,1,1999-10-08,1104,D,20.0
6201,2,1999-10-08,4205,H,20.0
6202,1,1999-10-08,1104,D,30.0
6202,2,1999-10-08,4101,H,30.0
6203,1,1999-10-08,1104,D,50.0
6203,2,1999-10-08,1203,D,250.0
6203,3,1999-10-08,4106,H,300.0
6204,1,1999-10-08,1104,D,30.0
6204,2,1999-10-08,4205,H,30.0
6205,1,1999-10-08,1104,D,180.0
6205,2,1999-10-08,4101,H,180.0
6206,1,1999-10-08,1104,D,6.0
6206,2,1999-10-08,4104,H,6.0
6207,1,1999-10-08,1118,D,20.0
6207,2,1999-10-08,1118,D,20.0
6207,3,1999-10-08,1118,D,330.0
6207,4,1999-10-08,1104,H,370.0
6208,1,1999-10-08,2103,D,300.0
6208,2,1999-10-08,1118,H,300.0
6209,1,1999-10-08,2103,D,300.0
6209,2,1999-10-08,1118,H,300.0
6210,1,1999-10-08,2103,D,300.0
6210,2,1999-10-08,1118,H,300.0
6211,1,1999-10-08,2103,D,300.0
6211,2,1999-10-08,1118,H,300.0
6212,1,1999-10-08,2103,D,300.0
6212,2,1999-10-08,1118,H,300.0
6213,1,1999-10-08,2103,D,300.0
6213,2,1999-10-08,1118,H,300.0
6214,1,1999-10-08,2103,D,300.0
6214,2,1999-10-08,1118,H,300.0
6215,1,1999-10-08,2103,D,300.0
6215,2,1999-10-08,1118,H,300.0
6216,1,1999-10-08,2103,D,300.0
6216,2,1999-10-08,1118,H,300.0
6217,1,1999-10-08,2103,D,300.0
6217,2,1999-10-08,1118,H,300.0
6218,1,1999-10-08,2103,D,300.0
6218,2,1999-10-08,2109,D,150.0
6218,3,1999-10-08,1118,H,450.0
6219,1,1999-10-08,2103,D,300.0
6219,2,1999-10-08,1118,H,300.0
6220,1,1999-10-08,2103,D,300.0
6220,2,1999-10-08,1118,H,300.0
6221,1,1999-10-08,2103,D,300.0
6221,2,1999-10-08,2109,D,150.0
6221,3,1999-10-08,1118,H,450.0
6222,1,1999-10-08,2103,D,300.0
6222,2,1999-10-08,1118,H,300.0
6223,1,1999-10-08,2103,D,300.0
6223,2,1999-10-08,1118,H,300.0
6224,1,1999-10-08,2103,D,300.0
6224,2,1999-10-08,2109,D,150.0
6224,3,1999-10-08,1118,H,450.0
6225,1,1999-10-08,5306,D,86.0
6225,2,1999-10-08,1118,H,86.0
6226,1,1999-10-08,5306,D,364.0
6226,2,1999-10-08,1118,H,364.0
6227,1,1999-10-08,5306,D,347.0
6227,2,1999-10-08,1118,H,347.0
6228,1,1999-10-08,5306,D,91.0
6228,2,1999-10-08,1118,H,91.0
6229,1,1999-10-08,5306,D,242.0
6229,2,1999-10-08,1118,H,242.0
6230,1,1999-10-08,5112,D,290.0
6230,2,1999-10-08,1115,H,290.0
6231,1,1999-10-11,1116,D,400.0
6231,2,1999-10-11,1106,H,400.0
6232,1,1999-10-12,1104,D,350.0
6232,2,1999-10-12,1105,D,100.0
6232,3,1999-10-12,4101,H,450.0
6233,1,1999-10-12,1104,D,500.0
6233,2,1999-10-12,4108,H,500.0
6234,1,1999-10-12,1104,D,60.0
6234,2,1999-10-12,4101,H,60.0
6235,1,1999-10-12,1104,D,4.0
6235,2,1999-10-12,4104,H,4.0
6236,1,1999-10-12,1115,D,210.0
6236,2,1999-10-12,1104,H,210.0
6237,1,1999-10-12,1118,D,250.0
6237,2,1999-10-12,1106,H,250.0
6238,1,1999-10-12,1118,D,296.0
6238,2,1999-10-12,1104,H,296.0
6239,1,1999-10-12,1118,D,60.0
6239,2,1999-10-12,1118,D,170.0
6239,3,1999-10-12,1104,H,230.0
6240,1,1999-10-12,1118,D,500.0
6240,2,1999-10-12,1104,H,500.0
6241,1,1999-10-12,1116,D,167.0
6241,2,1999-10-12,1106,H,167.0
6242,1,1999-10-12,5111,D,30.0
6242,2,1999-10-12,1118,H,30.0
6243,1,1999-10-12,5111,D,120.0
6243,2,1999-10-12,1118,H,120.0
6244,1,1999-10-12,5133,D,684.0
6244,2,1999-10-12,1118,H,684.0
6245,1,1999-10-12,2109,D,212.5
6245,2,1999-10-12,1118,H,212.5
6246,1,1999-10-12,5132,D,300.0
6246,2,1999-10-12,1118,H,300.0
6247,1,1999-10-12,2109,D,76.25
6247,2,1999-10-12,1116,H,76.25
6248,1,1999-10-12,5112,D,225.0
6248,2,1999-10-12,1116,H,225.0
6249,1,1999-10-12,2109,D,44.11
6249,2,1999-10-12,1116,H,44.11
6250,1,1999-10-12,2109,D,186.87
6250,2,1999-10-12,1116,H,186.87
6251,1,1999-10-13,1104,D,210.0
6251,2,1999-10-13,4101,H,210.0
6252,1,1999-10-13,1104,D,20.0
6252,2,1999-10-13,4205,H,20.0
6253,1,1999-10-13,1104,D,90.0
6253,2,1999-10-13,4101,H,90.0
6254,1,1999-10-13,1104,D,30.0
6254,2,1999-10-13,4205,H,30.0
6255,1,1999-10-13,1104,D,30.0
6255,2,1999-10-13,4101,H,30.0
6256,1,1999-10-13,1104,D,63.0
6256,2,1999-10-13,1106,D,237.0
6256,3,1999-10-13,4106,H,300.0
6257,1,1999-10-13,1104,D,210.0
6257,2,1999-10-13,4101,H,210.0
6258,1,1999-10-13,1104,D,120.0
6258,2,1999-10-13,4106,H,120.0
6259,1,1999-10-13,1104,D,220.0
6259,2,1999-10-13,1105,D,50.0
6259,3,1999-10-13,4101,H,270.0
6260,1,1999-10-13,1104,D,9.0
6260,2,1999-10-13,4104,H,9.0
6261,1,1999-10-13,1118,D,370.0
6261,2,1999-10-13,1106,H,370.0
6262,1,1999-10-13,1118,D,30.0
6262,2,1999-10-13,1118,D,364.0
6262,3,1999-10-13,1104,H,394.0
6263,1,1999-10-13,1118,D,700.0
6263,2,1999-10-13,1104,H,700.0
6264,1,1999-10-13,5308,D,50.0
6264,2,1999-10-13,1118,H,50.0
6265,1,1999-10-13,5308,D,50.0
6265,2,1999-10-13,1118,H,50.0
6266,1,1999-10-13,5308,D,225.0
6266,2,1999-10-13,1118,H,225.0
6267,1,1999-10-13,5308,D,100.0
6267,2,1999-10-13,1118,H,100.0
6268,1,1999-10-13,5113,D,50.0
6268,2,1999-10-13,1118,H,50.0
6269,1,1999-10-13,5129,D,82.0
6269,2,1999-10-13,1118,H,82.0
6270,1,1999-10-13,5124,D,369.4
6270,2,1999-10-13,1118,H,369.4
6271,1,1999-10-14,1104,D,77.0
6271,2,1999-10-14,1106,D,363.0
6271,3,1999-10-14,1105,D,100.0
6271,4,1999-10-14,4101,H,540.0
6272,1,1999-10-14,1104,D,60.0
6272,2,1999-10-14,4205,H,60.0
6273,1,1999-10-14,1104,D,60.0
6273,2,1999-10-14,4101,H,60.0
6274,1,1999-10-14,1104,D,50.0
6274,2,1999-10-14,4107,H,50.0
6275,1,1999-10-14,1104,D,20.0
6275,2,1999-10-14,4205,H,20.0
6276,1,1999-10-14,1104,D,30.0
6276,2,1999-10-14,4101,H,30.0
6277,1,1999-10-14,1104,D,30.0
6277,2,1999-10-14,4205,H,30.0
6278,1,1999-10-14,1104,D,30.0
6278,2,1999-10-14,4101,H,30.0
6279,1,1999-10-14,1104,D,30.0
6279,2,1999-10-14,4205,H,30.0
6280,1,1999-10-14,1104,D,60.0
6280,2,1999-10-14,4101,H,60.0
6281,1,1999-10-14,1104,D,8.0
6281,2,1999-10-14,4104,H,8.0
6282,1,1999-10-14,1104,D,60.0
6282,2,1999-10-14,4101,H,60.0
6283,1,1999-10-14,1104,D,5.0
6283,2,1999-10-14,4104,H,5.0
6284,1,1999-10-14,1118,D,250.0
6284,2,1999-10-14,1106,H,250.0
6285,1,1999-10-14,1118,D,300.0
6285,2,1999-10-14,1104,H,300.0
6286,1,1999-10-14,1118,D,400.0
6286,2,1999-10-14,1118,D,120.0
6286,3,1999-10-14,1104,H,520.0
6287,1,1999-10-14,1118,D,260.0
6287,2,1999-10-14,1106,H,260.0
6288,1,1999-10-14,5129,D,200.0
6288,2,1999-10-14,1118,H,200.0
6289,1,1999-10-14,5101,D,248.0
6289,2,1999-10-14,1115,H,248.0
6290,1,1999-10-15,1104,D,120.0
6290,2,1999-10-15,4101,H,120.0
6291,1,1999-10-15,1104,D,28.0
6291,2,1999-10-15,4104,H,28.0
6292,1,1999-10-15,1104,D,150.0
6292,2,1999-10-15,4101,H,150.0
6293,1,1999-10-15,1104,D,8500.0
6293,2,1999-10-15,4103,H,3000.0
6293,3,1999-10-15,2113,H,2500.0
6293,4,1999-10-15,2113,H,2959.62
6293,5,1999-10-15,4205,H,40.38
6294,1,1999-10-15,1104,D,120.0
6294,2,1999-10-15,4101,H,120.0
6295,1,1999-10-15,1104,D,7.5
6295,2,1999-10-15,4205,H,7.5
6296,1,1999-10-15,1104,D,360.0
6296,2,1999-10-15,4101,H,360.0
6297,1,1999-10-15,1104,D,20.0
6297,2,1999-10-15,4205,H,20.0
6298,1,1999-10-15,1104,D,60.0
6298,2,1999-10-15,4101,H,60.0
6299,1,1999-10-15,1104,D,10.0
6299,2,1999-10-15,4104,H,10.0
6300,1,1999-10-15,1104,D,270.0
6300,2,1999-10-15,4101,H,270.0
6301,1,1999-10-15,1104,D,60.0
6301,2,1999-10-15,4205,H,60.0
6302,1,1999-10-15,1104,D,30.0
