MATRIC,CATEGO,FECHA,CPTO,IMPORTE,RECIBO,ANHABIL,DETALLE
2716,EM,2006-10-03,1,430.0,11297,2007,der.insc.
2455,EM,2006-10-05,1,430.0,11325,2007,DER.INSC.
2236,EM,2006-10-05,1,430.0,11322,2007,DER.INSC.
2717,EM,2006-10-06,1,430.0,11332,2007,der.insc.
2718,EM,2006-10-11,1,430.0,11349,2007,der.insc.
2492,EM,2006-10-12,1,430.0,11361,2007,der.insc.
2721,EM,2006-10-17,1,430.0,11383,2007,der.insc.
2720,EM,2006-10-12,1,1720.0,11362,2007,der.insc.
2573,EM,2006-10-19,1,430.0,11400,2007,der.insc.
2572,EM,2006-10-19,1,430.0,11399,2007,der.insc.
2600,EM,2006-10-20,1,430.0,11415,2007,der.insc.
2719,EM,2006-10-12,1,430.0,11356,2007,DER.INSC.
721,EM,2006-10-23,1,430.0,11421,2007,DER.INSC.
1957,EM,2006-10-23,1,430.0,17774,2007,DER.INSC.
2281,EM,2006-10-24,1,430.0,11430,2007,DER.INSC.
1901,EM,2006-10-24,1,430.0,11431,2007,DER.INSC.
980,EM,2006-10-24,1,430.0,11430,2007,DER.INSC.-
1858,EM,2006-10-25,1,430.0,11438,2007,der.insc.
2425,EM,2006-10-25,1,430.0,11443,2007,der.insc.
126,EM,2006-10-25,1,430.0,11444,2007,der.insc.
1921,EM,2006-10-25,1,430.0,11446,2007,der.insc.
2294,EM,2006-10-26,1,1720.0,11472,2007,der.insc.
2185,EM,2006-10-26,1,430.0,11468,2007,der.insc.
1681,EM,2006-10-26,1,430.0,11463,2007,der.insc.
2471,EM,2006-10-26,1,430.0,11457,2007,der.insc.
428,EM,2006-10-26,1,1720.0,11455,2007,der.insc.
2691,EM,2006-10-27,1,430.0,11477,2007,der.insc.
911,EM,2006-10-27,1,430.0,11479,2007,der.insc.
2212,EM,2006-10-27,1,1720.0,11476,2007,der.insc.
2611,EM,2006-10-27,1,430.0,17828,2007,der.insc.
1763,EM,2006-10-27,1,430.0,11484,2007,der.insc.
2244,EM,2006-10-27,1,430.0,11483,2007,der.insc.
1622,EM,2006-10-30,1,430.0,11493,2007,der.insc.
2188,EM,2006-10-31,1,430.0,11506,2007,der.inscr.
2644,EM,2006-10-31,1,1720.0,11507,2007,der.ionscr.
2441,EM,2006-10-31,1,430.0,11501,2007,der.inscr.
1380,EM,2006-10-31,1,430.0,11503,2007,der.inscr.
2028,EM,2006-10-31,1,430.0,11504,2007,der.inscr
2580,EM,2006-10-31,1,430.0,11505,2007,der.inscr.
2723,EM,2006-10-31,1,430.0,11496,2007,der.inscr.
1,EM,2006-11-01,1,430.0,11522,2007,der.insc.
2365,EM,2006-11-01,1,430.0,11521,2007,der.insc.
2629,EM,2006-11-02,1,1720.0,11527,2007,der.insc.
2174,EM,2006-11-02,1,430.0,11530,2007,der.insc.
1935,EM,2006-11-03,1,430.0,11541,2007,DER.INSC.
1363,EM,2006-11-03,1,430.0,11543,2007,der.insc.
2049,EM,2006-11-03,1,1720.0,11544,2007,DER.INSC.
986,EM,2006-11-06,1,430.0,11556,2007,der.inscr.
2362,EM,2006-11-06,1,430.0,11555,2007,der.inscr.
1349,EM,2006-11-06,1,1720.0,11554,2007,der.inscr.
2029,EM,2006-11-06,1,1720.0,11553,2007,der.inscr.
2103,EM,2006-11-06,1,430.0,11551,2007,der.inscr.
10,EM,2006-11-06,1,1720.0,11549,2007,der.inscr.
2373,EM,2006-11-07,1,430.0,11572,2007,der.insc.
2605,EM,2006-11-07,1,430.0,1571,2007,der.insc.
2696,EM,2006-11-07,1,430.0,1569,2007,der.insc.
2447,EM,2006-11-07,1,430.0,1567,2007,DER.INSC.
1767,EM,2006-11-07,1,1720.0,11561,2007,der.insc.
2440,EM,2006-10-30,1,430.0,1032,2007,der.inscr.
2609,EM,2006-10-26,1,430.0,3553,2007,der.inscr.
2465,EM,2006-10-23,1,430.0,1192,2007,der.inscr.
530,EM,2006-10-27,1,430.0,1195,2007,der.inscr.
919,EM,2006-11-07,1,430.0,11564,2007,der.insc.
2021,EM,2006-11-08,1,1720.0,11579,2007,der.insc.
2050,EM,2006-11-08,1,430.0,11576,2007,der.insc.
1820,EM,2006-11-09,1,430.0,11587,2007,der.insc.
2645,EM,2006-11-09,1,430.0,11591,2007,der.insc.
2317,EM,2006-11-09,1,430.0,11590,2007,der.insc.
1816,EM,2006-11-09,1,430.0,11585,2007,der.inscr.
2677,EM,2006-11-09,1,430.0,11584,2007,der.inscr.
2370,EM,2006-11-10,1,430.0,11600,2007,der.inscr.
2528,EM,2006-11-10,1,430.0,11602,2007,der.inscr.
1649,EM,2006-11-10,1,430.0,11606,2007,der.inscr.
2269,EM,2006-11-13,1,430.0,11610,2007,der.inscr.
2618,EM,2006-11-13,1,430.0,11619,2007,der.inscr.
1990,EM,2006-11-13,1,430.0,11609,2007,der.inscr.
2494,EM,2006-11-13,1,430.0,11616,2007,der.inscr.
2497,EM,2006-11-14,1,430.0,11624,2007,der.inscr.
2725,EM,2006-11-14,1,430.0,18045,2007,der.inscr.
2453,EM,2006-11-15,1,430.0,11649,2007,der.inscr.
2377,EM,2006-11-15,1,430.0,11637,2007,der.inscr
2530,EM,2006-11-15,1,1720.0,11631,2007,der.inscr.
2261,EM,2006-11-15,1,1720.0,11642,2007,der.inscr.
2606,EM,2006-11-15,1,430.0,11647,2007,der.inscr.
2535,EM,2006-11-16,1,1720.0,11668,2007,der.inscr.
2543,EM,2006-11-16,1,430.0,11663,2007,der.inscr.
2024,EM,2006-11-16,1,430.0,11662,2007,der.inscr.
336,EM,2006-11-16,1,430.0,11658,2007,der.inscr.
1833,EM,2006-11-16,1,430.0,11656,2007,der.inscr.
1725,EM,2006-11-16,1,430.0,11654,2007,der.inscr.
2532,EM,2006-11-17,1,430.0,11669,2007,der.inscr.
2604,EM,2006-11-17,1,430.0,11675,2007,der.inscr.
2401,EM,2006-11-17,1,430.0,11677,2007,der.inscr.
2402,EM,2006-11-17,1,430.0,11678,2007,der.inscr.
2592,EM,2006-11-17,1,430.0,11680,2007,der.inscr.
2615,EM,2006-11-03,1,430.0,1033,2007,der.inscr.
1865,EM,2006-11-13,1,430.0,1034,2007,der.inscr.
1988,EM,2006-11-20,1,430.0,11685,2007,der.inscr.
2726,EM,2006-11-20,1,1720.0,11691,2007,DER.INSCR.
2727,EM,2006-11-21,1,430.0,11704,2007,der.insc.
2630,EM,2006-11-21,1,430.0,11702,2007,der.inscr.
2408,EM,2006-11-21,1,430.0,11701,2007,der.inscr.
2610,EM,2006-11-06,1,430.0,1206,2007,der.insc.
2139,EM,2006-11-22,1,430.0,11714,2007,der.inscr.
2570,EM,2006-11-22,1,430.0,11713,2007,der.inscr.
354,EM,2006-11-22,1,430.0,11708,2007,der.inscr.
2167,EM,2006-11-23,1,430.0,11721,2007,der.inscr.
1807,EM,2006-11-23,1,430.0,11723,2007,der.inscr.
2491,EM,2006-11-23,1,430.0,11726,2007,der.inscr.
2533,EM,2006-11-23,1,430.0,11727,2007,der.inscr.
2165,EM,2006-11-24,1,430.0,11737,2007,der. inscr.
2689,EM,2006-11-27,1,430.0,11748,2007,DER.INSC.
2724,EM,2006-11-07,1,430.0,11562,2007,der.insc.
1856,EM,2006-11-27,1,430.0,11740,2007,der.insc.
2013,EM,2006-11-28,1,430.0,11755,2007,der.insc.
898,EM,2006-11-28,1,430.0,11760,2007,der.insc.
2536,EM,2006-11-28,1,1720.0,11764,2007,DER.INSC.
2288,EM,2006-11-29,1,430.0,11770,2007,der.insc.
2598,EM,2006-11-29,1,430.0,11771,2007,DER.INSC.
1916,EM,2006-11-29,1,430.0,18245,2007,DER.INSC.
1958,EM,2006-12-01,1,430.0,11795,2007,der.insc.
2004,EM,2006-11-30,1,430.0,11781,2007,der.insc.
1607,EM,2006-11-30,1,430.0,11782,2007,der.insc.
2636,EM,2006-11-30,1,430.0,18275,2007,der.insc.
2297,EM,2006-11-30,1,430.0,11785,2007,der.insc.
1755,EM,2006-11-30,1,430.0,11786,2007,der.insc.
2559,EM,2006-11-30,1,430.0,11788,2007,der.insc.-
2513,EM,2006-11-30,1,1720.0,11790,2007,DER.INSC.
2410,EM,2006-11-30,1,430.0,11792,2007,DER.INSC.
2710,EM,2006-12-04,1,1720.0,11239,2007,DER.INSC.
2350,EM,2006-11-20,1,430.0,1217,2007,der.inscr.
2511,EM,2006-11-27,1,430.0,1222,2007,der.inscr.
2110,EM,2006-11-27,1,430.0,1225,2007,der.inscr.
2379,EM,2006-11-28,1,430.0,1227,2007,der.inscr.
2325,EM,2006-12-06,1,430.0,11838,2007,DER.INSCR.
2199,EM,2006-12-05,1,430.0,11823,2007,der.inscr.
2708,EM,2006-12-05,1,430.0,11829,2007,der.inscr.
2593,EM,2006-12-05,1,430.0,11830,2007,der.inscr.
2728,EM,2006-12-05,1,430.0,11818,2007,der.insc.
1420,EM,2006-12-07,1,430.0,11842,2007,der.insc.
2586,EM,2006-12-11,1,430.0,11854,2007,der.insc.
2443,EM,2006-11-30,1,430.0,1040,2007,der.insc.
2589,EM,2006-11-30,1,430.0,1042,2007,der.insc.
2560,EM,2006-12-12,1,430.0,11862,2007,der.insc.
1585,EM,2006-12-12,1,430.0,11867,2007,der.insc.
1837,EM,2006-12-15,1,430.0,11895,2007,der.inscr.
