MATRIC,CATEGO,FECHA,CPTO,IMPORTE,RECIBO,ANHABIL,DETALLE
7017,A,2007-06-01,1,160.0,13012,2007,der.inscr.
6987,A,2007-06-01,1,160.0,20784,2007,der.inscr.
1929,A,2007-06-01,1,160.0,20787,2007,der.inscr.
6981,A,2007-06-01,1,160.0,20789,2007,der.inscr.
7329,A,2007-06-04,1,160.0,20801,2007,der.insc.
3017,A,2007-06-04,1,160.0,13019,2007,der.insc.
6977,A,2007-06-05,1,160.0,20824,2007,der.insc.
8373,A,2007-06-05,1,160.0,20829,2007,der.insc.
8474,A,2007-06-05,1,160.0,20841,2007,der.insc.
8666,A,2007-06-05,1,160.0,20831,2007,DER.INSC.
7765,A,2007-06-06,1,160.0,20851,2007,DER.INSC.
7169,A,2007-06-06,1,160.0,20855,2007,DER.INSC.
7980,A,2007-06-06,1,160.0,13048,2007,DER.INSC.
2835,A,2007-06-06,1,160.0,13050,2007,DER.INSC.
1578,A,2007-06-06,1,160.0,20869,2007,DER.INSC.
7970,A,2007-06-06,1,160.0,20860,2007,DER.INSC.-
6388,A,2007-06-07,1,160.0,20870,2007,der.insc.
6749,A,2007-06-07,1,160.0,20872,2007,der.insc.
8343,A,2007-06-07,1,160.0,20873,2007,der.insc.
8293,A,2007-06-07,1,160.0,20878,2007,der.insc.
8475,A,2007-06-07,1,700.0,20882,2007,der.insc.
4610,A,2007-06-07,1,160.0,20885,2007,der.insc.
8664,A,2007-06-05,1,700.0,13030,2007,der.insc.
5559,A,2007-06-08,1,160.0,13070,2007,der.inscr.
8670,A,2007-06-08,1,160.0,13071,2007,der.insc
8667,A,2007-06-05,1,160.0,20838,2007,der.insc.
6937,A,2007-06-11,1,160.0,20921,2007,der.insc.
3183,A,2007-06-12,1,120.0,13091,2007,cancela
7428,A,2007-06-12,1,160.0,13093,2007,der.inscr.
8391,A,2007-06-13,1,160.0,20936,2007,DER.INSCR.
6885,A,2007-06-13,1,160.0,20945,2007,der.inscr
7955,A,2007-06-15,1,160.0,20970,2007,der.insc.
8073,A,2007-06-14,1,160.0,20953,2007,der.insc.
1869,A,2007-06-19,1,160.0,20979,2007,der.insc.
4065,A,2007-06-20,1,160.0,20991,2007,der.insc.
4614,A,2007-06-20,1,160.0,20995,2007,der.insc.
7457,A,2007-06-20,1,160.0,20996,2007,der.insc.
6932,A,2007-06-21,1,160.0,13144,2007,der.insc.
7200,A,2007-06-21,1,160.0,21017,2007,der.insc.
8132,A,2007-06-21,1,160.0,21011,2007,der.insc.
8251,A,2007-06-22,1,160.0,21037,2007,DER.INSC.
7109,A,2007-06-22,1,160.0,21025,2007,DER.INSC.
7047,A,2007-06-22,1,160.0,21029,2007,DER.INSC.
6212,A,2007-06-25,1,120.0,13164,2007,der.insc.
4922,A,2007-06-25,1,160.0,21062,2007,der.insc.
7630,A,2007-06-25,1,160.0,21051,2007,der.insc.
8354,A,2007-06-25,1,160.0,13154,2007,der.insc.
4640,A,2007-06-26,1,160.0,21085,2007,der.insc.
5154,A,2007-06-26,1,160.0,13175,2007,der.insc.
8679,A,2007-06-27,1,160.0,21109,2007,der.insc.
8675,A,2007-06-20,1,160.0,20994,2007,DER.INSC.-
8673,A,2007-06-14,1,160.0,20951,2007,der.insc.
8672,A,2007-06-14,1,160.0,20948,2007,DER.INSC.
7419,A,2007-06-27,1,160.0,21101,2007,der.insc.
6686,A,2007-06-27,1,160.0,21107,2007,der.insc-.
3142,A,2007-06-27,1,160.0,13178,2007,der.insc.
8678,A,2007-06-26,1,40.0,21079,2007,1/4 cuotas
8663,A,2007-06-01,1,160.0,4067,2007,DER.INSC.
8665,A,2007-06-05,1,160.0,4072,2007,DER.INSC.
8409,A,2007-06-28,1,160.0,21120,2007,der.insc.
5163,A,2007-06-28,1,160.0,21131,2007,der.insc.
7927,A,2007-06-11,1,160.0,4086,2007,der.inscr.
5442,A,2007-06-12,1,160.0,4091,2007,der.inscr.
7091,A,2007-06-12,1,160.0,1403,2007,der.inscr.
6247,A,2007-06-29,1,160.0,21144,2007,DER.INSC.
5717,A,2007-06-29,1,160.0,13190,2007,DER.INSC.
2933,A,2007-07-02,1,160.0,13195,2007,der.insc.
8511,A,2007-07-02,1,160.0,21164,2007,der.insc.
7185,A,2007-07-02,1,160.0,13196,2007,der.insc.
3992,A,2007-07-02,1,160.0,13193,2007,der.insc.
7284,A,2007-07-02,1,160.0,21150,2007,der.insc.
8684,A,2007-07-03,1,160.0,21181,2007,der.insc.
8312,A,2007-06-21,1,160.0,4111,2007,der.inscr.
7711,A,2007-06-27,1,160.0,4124,2007,der.inscr.
6751,A,2007-07-03,1,160.0,21167,2007,der.insc.-
8361,A,2007-07-03,1,160.0,21177,2007,DER.INSC.
7761,A,2007-07-03,1,160.0,21184,2007,der.insc.
7612,A,2007-07-03,1,0.0,21188,2007,der.insc.
6010,A,2007-07-03,1,160.0,21190,2007,der.insc.
5934,A,2007-07-03,1,700.0,13210,2007,der.insc.
7555,A,2007-06-11,1,160.0,3004,2007,der.inscr.
4116,A,2007-06-20,1,160.0,3009,2007,der.inscr.
5713,A,2007-06-26,1,160.0,3018,2007,der.inscr.
6163,A,2007-06-29,1,160.0,3027,2007,der.inscr.
7216,A,2007-06-08,1,700.0,1143,2007,der.inscr.
7848,A,2007-07-04,1,160.0,21197,2007,der.inscr.
5322,A,2007-07-04,1,120.0,21204,2007,cancela
2737,A,2007-07-04,1,160.0,21207,2007,der.inscr.
6246,A,2007-07-04,1,160.0,13212,2007,der.inscr.
2767,A,2007-07-04,1,160.0,13222,2007,der.inscr.
5251,A,2007-07-05,8,0.0,0,2007,s/habilitac.
5251,A,2007-07-05,1,160.0,21217,2007,der.insc
8295,A,2007-07-05,1,160.0,21219,2007,der.insc.
7434,A,2007-07-05,1,160.0,21220,2007,der.insc.
7896,A,2007-07-06,1,160.0,21242,2007,DER.INSC.
4306,A,2007-07-10,1,160.0,21259,2007,der.inscr
7230,A,2007-07-10,1,160.0,21256,2007,der.inscr.
8668,A,2007-06-06,1,40.0,2997,2007,1/4 cuotas
8676,A,2007-06-22,1,40.0,3013,2007,1/4 CUOTAS
6655,A,2007-07-11,1,160.0,21272,2007,DER.INSC.
4648,A,2007-07-11,1,160.0,21278,2007,der.insc.
2753,A,2007-07-11,1,160.0,13261,2007,der.insc.
3573,A,2007-07-11,1,160.0,13261,2007,der.insc.
6166,A,2007-07-12,1,160.0,13267,2007,der.insc.
7056,A,2007-07-12,1,160.0,21289,2007,der.inscr.
7692,A,2007-07-12,1,120.0,13268,2007,a cuenta
8514,A,2007-07-12,1,160.0,21293,2007,der.inscr.
8396,A,2007-07-12,1,160.0,21295,2007,der.inscr.
4972,A,2007-07-13,1,160.0,21297,2007,der.inscr.
8329,A,2007-07-13,1,160.0,21298,2007,der.inscr
7877,A,2007-07-13,1,160.0,13275,2007,der.inscr.
8690,A,2007-07-13,1,700.0,21307,2007,der.inscr.
8677,A,2007-06-25,1,160.0,21050,2007,der.insc.
8682,A,2007-07-03,1,40.0,21170,2007,1/4 CUOTAS
8685,A,2007-07-04,1,160.0,21191,2007,der.insc
8681,A,2007-07-02,1,160.0,21161,2007,der.insc.
8683,A,2007-07-03,1,160.0,21175,2007,der.insc .
7619,A,2007-07-16,1,160.0,21318,2007,der.inscr.
4742,A,2007-07-16,1,160.0,21319,2007,der.inscr.
7175,A,2007-07-16,1,160.0,21324,2007,der.inscr.
7684,A,2007-07-16,1,160.0,21333,2007,der.inscr.
8033,A,2007-07-16,1,160.0,21335,2007,der.inscr.
7107,A,2007-07-16,1,160.0,21326,2007,der.insc.
8411,A,2007-07-17,1,160.0,21340,2007,der.inscr.
4419,A,2007-07-17,1,160.0,21336,2007,der.inscr.
7617,A,2007-07-18,1,160.0,13309,2007,der.insc.
8691,A,2007-07-18,1,40.0,21352,2007,1/4 CUOTAS
7797,A,2007-07-18,1,160.0,21361,2007,der.inscr.
8000,A,2007-07-19,1,160.0,21383,2007,der.inscr.
7078,A,2007-07-19,1,160.0,21366,2007,der.inscr.
7738,A,2007-07-23,1,160.0,0,2007,eximicin
5362,A,2007-07-23,1,160.0,21411,2007,der.inscr.
7971,A,2007-07-24,1,160.0,21440,2007,der.inscr.
5951,A,2007-07-24,1,160.0,21431,2007,der.inscr.
8692,A,2007-07-24,1,160.0,13345,2007,der.inscr.
8520,A,2007-07-02,1,160.0,3032,2007,der.inscr.
6217,A,2007-07-02,1,160.0,1155,2007,der.inscr.
8257,A,2007-07-03,1,160.0,1156,2007,der.inscr.
8686,A,2007-07-06,1,160.0,3040,2007,der.inscr.
8687,A,2007-07-06,1,40.0,3041,2007,1/4 cuota
6575,A,2007-07-05,1,160.0,1157,2007,der.inscr.
7271,A,2007-07-05,1,160.0,1157,2007,der.inscr.
6092,A,2007-07-06,1,160.0,4143,2007,der.inscr.
7559,A,2007-07-13,1,160.0,4161,2007,der.inscr.
7858,A,2007-07-26,1,160.0,21447,2007,der.inscr.
3744,A,2007-07-26,1,160.0,21449,2007,der.inscr.
8460,A,2007-07-26,1,160.0,21452,2007,der.incr.
8693,A,2007-07-27,1,160.0,21477,2007,der.inscr.
8509,A,2007-07-27,1,80.0,21478,2007,1-2/4 cuota
3532,A,2007-07-27,1,160.0,21483,2007,der.inscr.
8688,A,2007-07-11,1,160.0,4153,2007,der.inscr.
8689,A,2007-07-12,1,160.0,4158,2007,der.inscr.
8671,A,2007-06-19,1,160.0,4105,2007,der.insc.
8674,A,2007-06-19,1,160.0,4105,2007,der.insc.
5908,A,2007-07-30,1,160.0,21490,2007,DER.INSC.
5856,A,2007-07-30,1,160.0,13381,2007,der.insc.
8529,A,2007-07-30,1,160.0,21502,2007,der.insc.
7531,A,2007-07-30,1,160.0,13379,2007,der.insc.
3145,A,2007-07-31,1,160.0,13388,2007,der.insc.
8694,A,2007-07-31,1,160.0,21518,2007,der.insc.
8695,A,2007-07-31,1,160.0,21517,2007,der.insc.
6106,A,2007-08-01,1,160.0,21534,2007,der.inscr.
8211,A,2007-08-01,1,160.0,21533,2007,der.inscr.
7437,A,2007-08-02,1,160.0,21555,2007,der.inscr.
2750,A,2007-08-02,1,160.0,21559,2007,der.inscr.
4821,A,2007-08-06,1,160.0,13442,2007,der.insc.
2414,A,2007-08-06,1,160.0,13446,2007,der.insc.
7616,A,2007-08-07,1,700.0,13464,2007,idem
7885,A,2007-07-19,1,160.0,4167,2007,der.insc.
4206,A,2007-07-23,1,160.0,4180,2007,der.insc.
8415,A,2007-08-08,1,150.0,21617,2007,a cta.d.insc
5134,A,2007-08-08,1,120.0,21622,2007,cancela
7788,A,2007-08-08,1,160.0,21624,2007,der.inscr.
7449,A,2007-08-08,1,160.0,21628,2007,der.inscr.
7226,A,2007-08-08,1,160.0,21629,2007,der.inscr.
7255,A,2007-08-08,1,160.0,21631,2007,der.inscr.
7940,A,2007-08-08,1,160.0,21636,2007,der.inscr.
7837,A,2007-08-09,1,160.0,21648,2007,der.inscr.
8349,A,2007-08-09,1,160.0,21649,2007,der.inscr.
6588,A,2007-08-09,1,160.0,21651,2007,der.inscr.
7876,A,2007-08-09,1,160.0,21653,2007,der.ionscr.
4509,A,2007-08-09,1,160.0,13485,2007,der.inscr.
6117,A,2007-08-09,1,160.0,21657,2007,der.inscr.
6740,A,2007-08-09,1,160.0,13489,2007,der.inscr.
8703,A,2007-08-09,1,160.0,21659,2007,der.insc.
5531,A,2007-08-10,1,160.0,13494,2007,der.inscr.
6597,A,2007-08-10,1,160.0,13494,2007,der.inscr.
8205,A,2007-08-10,1,160.0,13496,2007,der.inscr.
8484,A,2007-08-10,1,160.0,21667,2007,der.inscr.
8053,A,2007-08-10,1,160.0,21668,2007,der.inscr.
7334,A,2007-08-10,1,160.0,21678,2007,der.inscr.
6719,A,2007-08-13,1,160.0,13500,2007,der.inscr.
3241,A,2007-08-13,1,160.0,21685,2007,der.inscr.
3782,A,2007-08-13,1,60.0,21687,2007,a cuenta
7832,A,2007-08-13,1,160.0,13501,2007,der.inscr.
6538,A,2007-08-13,1,160.0,21692,2007,der.inscr.
7032,A,2007-08-13,1,160.0,21693,2007,der.inscr.
5439,A,2007-08-13,1,160.0,21695,2007,der.incr.
8069,A,2007-08-13,1,60.0,21703,2007,a cuenta
7236,A,2007-08-13,1,160.0,21704,2007,der.inscr.
7956,A,2007-08-13,1,160.0,21706,2007,der.inscr.
7894,A,2007-08-13,1,160.0,21708,2007,der.inscr.
4002,A,2007-08-13,1,160.0,13511,2007,der.inscr.
8294,A,2007-08-13,1,160.0,21709,2007,der.inscr.
6789,A,2007-08-13,1,160.0,21710,2007,der.inscr.
4066,A,2007-08-13,1,160.0,21711,2007,der.inscr.
4481,A,2007-08-13,1,160.0,21712,2007,der.inscr.
2791,A,2007-08-13,1,160.0,13513,2007,der.inscr.
7770,A,2007-08-13,1,160.0,21684,2007,der.insc.
7368,A,2007-07-16,1,160.0,3046,2007,der.inscr.
8697,A,2007-08-02,1,40.0,3069,2007,1/4 cuota
8480,A,2007-08-14,1,160.0,21714,2007,der.insc.
6605,A,2007-08-14,1,160.0,21720,2007,der.insc.
5829,A,2007-08-14,1,160.0,21717,2007,der.insc.
8071,A,2007-08-14,1,160.0,21718,2007,der.insc.
7451,A,2007-08-14,1,160.0,21730,2007,der.insc.
7750,A,2007-08-14,1,160.0,21734,2007,der.insc.
6840,A,2007-08-14,1,160.0,21735,2007,der.insc.
8210,A,2007-08-14,1,160.0,21737,2007,der.insc.
5350,A,2007-08-14,1,160.0,21739,2007,der.insc.
7685,A,2007-08-14,1,160.0,13519,2007,der.insc.
