MATRIC,CATEGO,FECHA,CPTO,IMPORTE,RECIBO,ANHABIL,DETALLE
2348,EM,2001-10-16,1,0.0,0,2002,DER.INSC.
2347,EM,2001-10-15,1,0.0,0,2002,DER.INSC.
2351,EM,2001-10-17,1,0.0,0,2002,der.insc.
2354,EM,2001-10-22,1,0.0,0,2002,DER.INSC.
2353,EM,2001-10-19,1,0.0,0,2002,DER.INSC.
2357,EM,2001-10-26,1,0.0,0,2002,DER.INSC.
2356,EM,2001-10-25,1,0.0,0,2002,der.insc.
2355,EM,2001-10-24,1,0.0,0,2002,DER.INSC.
2345,EM,2001-10-09,1,0.0,0,2002,der.insc.
2346,EM,2001-10-11,1,0.0,0,2002,der.insc.
2349,EM,2001-10-16,1,0.0,0,2002,der.insc.
2358,EM,2001-10-29,1,0.0,419,2002,der.insc.
2360,EM,2001-11-05,1,0.0,444,2002,der.insc.
2139,EM,2001-11-06,1,300.0,447,2002,DER.INSC.
2359,EM,2001-11-05,1,0.0,0,2002,DER.INSC.
336,EM,2001-11-08,1,300.0,455,2002,DER.INSC.
2167,EM,2001-11-08,1,250.0,456,2002,a cuenta
2167,EM,2001-11-08,1,50.0,0,2002,saldo
898,EM,2001-11-07,1,300.0,449,2002,der.insc.
1911,EM,2001-11-12,1,300.0,467,2002,DER.INSC.
2132,EM,2001-11-12,1,300.0,473,2002,DER.INSC.
2287,EM,2001-11-12,1,300.0,471,2002,DER.INSC.
1921,EM,2001-11-09,1,300.0,459,2002,DER.INSC.
1585,EM,2001-11-13,1,300.0,478,2002,DER.INSC.
3,EM,2001-11-14,1,300.0,481,2002,DER.INSC.
2281,EM,2001-11-14,1,300.0,482,2002,DER.INSC.
2185,EM,2001-11-15,1,300.0,485,2002,DER.INSC.
2005,EM,2001-11-19,1,300.0,496,2002,der.insc.
2296,EM,2001-11-20,1,600.0,503,2002,der.insc.
2126,EM,2001-11-20,1,300.0,505,2002,DER.INSC.
1218,EM,2001-11-21,1,600.0,506,2002,DER.INSC.
2252,EM,2001-11-21,1,600.0,508,2002,DER.INSC.
2252,EM,2001-11-21,1,0.0,0,2002,CDO+DOCUM.
2188,EM,2001-11-22,1,600.0,519,2002,DER.INSC.
1622,EM,2001-11-23,1,300.0,520,2002,DER.INSC.
1405,EM,2001-11-23,1,300.0,521,2002,DER.INSC.
2048,EM,2001-11-23,1,600.0,523,2002,DER.INSC.
