NUMIND,CODTIT,NOMTIT,INSCRI,HABILI,CARNDE,FALLEC,PADRON,BAJAS
245, 96,ING. EN TECNOLOGIA DE ALIMENTOS,1,1,0,0,3,
1,001,INGENIEROS CIVILES,1250,616,198,0,1,
225,002,INGENIEROS EN CONSTRUCCIONES,445,260,79,0,1,
2,003,INGS. EN CONSTRUCCION DE OBRAS,6,3,3,0,1,
3,004,INGS.EN VIAS DE COMUNICACION,13,5,1,0,1,
4,005,INGENIEROS HIDRAULICOS,9,1,2,0,1,
5,006,INGS.EN TELECOMUNICACIONES,0,0,0,0,2,
6,007,INGS.EN CONSTRUCCIONES MECANICAS,1,0,0,0,2,
7,008,INGS.EN CONSTR.ELECTROMECANICAS,0,0,0,0,2,
8,009,INGENIEROS ELECTROMECANICOS,422,188,74,0,2,
9,010,INGS.EN ELECTROMECANICA,2,2,0,0,2,
10,011,INGENIEROS MECANICOS,50,17,7,0,2,
11,012,INGS.MECANICOS ELECTRICISTAS,8,4,2,0,2,
12,013,INGS.MECANICOS Y ELECTRICISTAS,4,0,4,0,2,
13,014,INGS.EN ELECTRONICA Y ELECTRICIDAD,100,30,28,0,2,
14,015,INGS.EN INSTALACIONES ELECTRICAS,2,1,1,0,2,
15,016,INGS.ELECTRICISTAS OR.INST.ELECTR.,2,1,1,0,2,
16,017,INGENIEROS ELECTRICISTAS,29,13,9,0,2,
17,018,INGS.ELECTRICISTAS ELECTRONICOS,9,4,2,0,2,
18,019,INGS.EN ELECTRICIDAD Y ELECTRONICA,1,0,0,0,2,
19,020,INGENIEROS ELECTRONICOS,5,1,0,0,2,
20,021,INGENIEROS EN ELECTRONICA,70,19,18,0,2,
21,022,INGENIEROS SANITARIOS,1,0,1,0,2,
22,023,INGENIEROS METALURGICOS,0,0,0,0,2,
23,024,INGS.EN PETROQUIMICA Y MINERALOGIA,6,3,1,0,2,
24,025,INGS.ESPEC.EN PROD. DE PETROLEO,0,0,0,0,2,
25,026,INGS.DE PETROLEO OR.INDUSTRIALIZ.,5,3,2,0,2,
