MATRIC,CATEGO,FECHA,CPTO,IMPORTE,RECIBO,ANHABIL,DETALLE
8293,A,2020-01-01,8,0.0,0,2020,inact.temp.
10646,A,2020-01-01,8,0.0,0,2020,BAJA DEFINIT
10584,A,2020-01-01,8,0.0,0,2020,INACT.TEMP.
10038,A,2020-01-01,8,0.0,0,2020,RENOV.INACT.
10283,A,2020-01-01,8,0.0,0,2020,RENOV.INACT.
10652,A,2020-01-01,8,0.0,0,2020,INACT.TEMP.
9362,A,2020-01-01,8,0.0,0,2020,BAJA DEFINIT
9777,A,2020-01-02,1,6000.0,23389,2020,der.insc.
9172,A,2020-01-02,1,6000.0,23395,2020,der.inscr.
7140,A,2020-01-02,1,3000.0,23391,2020,CANCEL.TOTAL
4138,A,2020-01-02,4,6000.0,0,2020,RESOL.92/04
3844,A,2020-01-02,1,6000.0,17306,2020,der.isnc.
10757,A,2020-01-02,1,6000.0,17293,2020,der.inscr.
2801,EM,2020-01-02,1,13300.0,17296,2020,der.inscr.
9458,A,2020-01-02,1,5000.0,17297,2020,der.inscr.
8634,A,2020-01-02,1,5000.0,17300,2020,der.inscr.
9763,A,2020-01-02,1,6000.0,17301,2020,der.inscr.
6174,A,2020-01-02,1,5000.0,17303,2020,der.inscr.
8667,A,2020-01-02,1,5000.0,17303,2020,der.inscr.
1848,EM,2020-01-02,1,12200.0,17303,2020,der.inscr.
8968,A,2020-01-02,1,6000.0,17308,2020,der.inscr.
10907,A,2020-01-02,1,2100.0,23390,2020,3-4/4 canc.
10112,A,2020-01-02,1,6000.0,23393,2020,der.inscr.
9474,A,2020-01-02,1,3600.0,23397,2016,4/7 cuota
9474,A,2020-01-02,1,3600.0,23397,2017,5/7 cota
9474,A,2020-01-02,1,3600.0,23397,2018,6/7 cuota
9967,A,2020-01-02,1,5000.0,23400,2020,der.inscr.
10595,A,2020-01-02,1,5000.0,23401,2020,der.inscr.
7230,A,2020-01-02,1,5000.0,23402,2020,der.inscr.
10731,A,2020-01-02,1,6000.0,23403,2020,der.inscr.
7522,A,2020-01-02,1,5000.0,23404,2019,der.inscr.
9968,A,2020-01-02,1,5000.0,23405,2020,der.inscr.
10771,A,2020-01-02,1,6000.0,23406,2020,der.inscr.
9663,A,2020-01-02,1,1500.0,23408,2020,2/3 cuota
10695,A,2020-01-02,1,6000.0,23410,2020,der.inscr.
3507,A,2020-01-03,4,6000.0,0,2020,RESOL.92/04
3677,A,2020-01-03,4,6000.0,0,2020,RESOL.92/04
6911,A,2020-01-03,1,6000.0,17312,2020,DER.INSC.
6600,A,2020-01-03,1,6000.0,23422,2020,DER.INSC.-
6831,A,2020-01-03,1,6000.0,23423,2020,DER.INSC
9730,A,2020-01-03,1,3000.0,23427,2019,1/4 CUOTAS
3702,A,2020-01-03,4,6000.0,0,2020,RESOL 92/04
6117,A,2020-01-03,4,6000.0,0,2020,RESOL.92/04
4875,A,2020-01-03,1,6000.0,17320,2020,DER.INSC.
3648,A,2020-01-03,4,6000.0,0,2020,RESOL.92/04
10195,A,2020-01-03,1,5000.0,23435,2020,DER.INSC.
1615,EM,2020-01-03,1,13300.0,17310,2020,der.inscr.
9785,A,2020-01-03,1,6000.0,17310,2020,der.inscr.
3380,EM,2020-01-03,1,12200.0,17313,2020,der.inscr.
5467,A,2020-01-03,1,5000.0,17314,2020,der.inscr.
8313,A,2020-01-03,1,5000.0,23413,2020,der.inscr.
8815,A,2020-01-03,1,5000.0,23414,2020,der.inscr.
5374,A,2020-01-03,1,5000.0,23415,2020,der.inscr.
7453,A,2020-01-03,1,6000.0,23416,2020,der.inscr.
8293,A,2020-01-03,8,0.0,0,2020,com.activid
8293,A,2020-01-03,1,5000.0,23418,2020,der.inscr.
8286,A,2020-01-03,1,1500.0,23420,2020,3/3 cuota
8384,A,2020-01-03,1,2000.0,23421,2020,3/3 cancela
10296,A,2020-01-03,1,5000.0,23424,2020,der.inscr.
9906,A,2020-01-03,1,6000.0,23433,2020,der.inscr.
5425,A,2020-01-06,4,6000.0,0,2020,RESOL.92/04
3103,A,2020-01-06,4,6000.0,0,2020,RESOL.92/04
1791,A,2020-01-06,4,6000.0,0,2020,RESOL.92/04
10332,A,2020-01-06,1,6000.0,23439,2020,der.insc.
7974,A,2020-01-06,1,6000.0,17322,2020,der.insc
5512,A,2020-01-06,4,6000.0,0,2020,RES.92/04
10952,A,2020-01-02,1,1050.0,23396,2020,1/4 matricul
7613,A,2020-01-06,1,6000.0,23450,2020,der.insc
6998,A,2020-01-06,1,5000.0,17323,2020,der.inscr.
7004,A,2020-01-06,1,5000.0,17324,2020,der.inscr.
10742,A,2020-01-06,1,5000.0,23437,2020,der.inscr.
10232,A,2020-01-06,1,6000.0,23438,2020,der.inscr.
7222,A,2020-01-06,1,6000.0,23442,2020,der.inscr.
