MATRIC,CATEGO,FECHA,CPTO,IMPORTE,RECIBO,ANHABIL,DETALLE
9743,A,2050-02-07,,0.0,0,0,
8975,A,2021-01-01,,0.0,0,0,
7017,A,2020-12-27,,0.0,0,0,
8004,A,5202-08-18,0,0.0,0,0,
9510,A,2020-10-01,1,6000.0,25949,2020,der.inscr.
9273,A,2020-10-01,1,6000.0,25948,2020,der.inscr.
9188,A,2020-10-01,1,6000.0,25952,2020,der.inscr.
9563,A,2020-10-01,1,6000.0,25953,2020,der.inscr.
10679,A,2020-10-01,1,6000.0,25954,2020,der.inscr.
4570,A,2020-10-05,4,6600.0,0,2021,RESOL.92-04
4593,A,2020-10-05,4,6600.0,0,2021,RESOL.92-04
1745,A,2020-10-05,4,6600.0,0,2021,RESOL.92-04
1213,A,2020-10-05,4,6000.0,0,2020,RESOL.92-04
1213,A,2020-10-05,4,6600.0,0,2021,RESOL.92-04
3538,EM,2020-10-02,8,13300.0,0,2020,der.inscr.
2505,EM,2020-10-02,1,5320.0,19287,2019,2/5 cuota
6926,A,2020-10-02,1,6000.0,25955,2018,der.inscr.
6926,A,2020-10-02,1,6000.0,25955,2019,der.inscr.
6926,A,2020-10-02,1,6000.0,25955,2020,der.inscr.
10131,A,2020-10-02,1,6000.0,25956,2020,der.inscr.
9941,A,2020-10-02,1,6000.0,25966,2020,der.inscr.
8989,A,2020-10-02,1,6000.0,25967,2020,der.inscr.
10173,A,2020-10-02,1,6000.0,25971,2020,der.inscr.
4680,A,2020-10-02,1,6000.0,25973,2020,der.inscr.
10334,A,2020-10-05,1,6000.0,25987,2020,der.inscr.
9359,A,2020-10-05,1,1500.0,25991,2020,8/8 cancela
7119,A,2020-10-05,1,6000.0,25992,2020,der.inscr.
8347,A,2020-10-05,1,6600.0,19305,2021,der.inscr.
6466,A,2020-10-05,1,6000.0,25994,2016,der.inscr.
6466,A,2020-10-05,1,6000.0,25994,2017,der.inscr.
6466,A,2020-10-05,1,6000.0,25994,2018,der.inscr.
6466,A,2020-10-05,1,6000.0,25994,2019,der.inscr.
6466,A,2020-10-05,1,6000.0,25994,2020,der.inscr.
1953,A,2020-10-07,4,6000.0,0,2020,RESOL.92/04
3164,EM,2020-10-07,1,0.0,0,2020,REINSC+2020
3164,EM,2020-10-07,8,19950.0,19319,2020,1/4 PLAN
10683,A,2020-10-06,1,6000.0,26007,2020,der.inscr.
8503,A,2020-10-06,1,6000.0,26009,2020,der.inscr.
8189,A,2020-10-06,1,6000.0,26010,2020,der.inscr.
10952,A,2020-10-06,1,1050.0,26012,2020,4/4 cancela
2746,EM,2020-10-06,1,13300.0,19311,2020,der.inscr.
2797,EM,2020-10-06,1,44500.0,19315,2020,der.inscr.
1953,A,2020-10-07,4,6600.0,0,2021,RESOL.92/04
3694,EM,2020-10-07,1,0.0,7102020,0,
3694,EM,2020-10-07,1,12600.0,19320,2021,INSC.EMP.
