MATRIC,CATEGO,FECHA,CPTO,IMPORTE,RECIBO,ANHABIL,DETALLE
5437,A,1997-04-11,8,0.0,0,1997,inact.temp.
4103,A,1982-10-08,8,0.0,0,1982,dep.carnet
4093,A,1982-12-30,8,0.0,0,1982,DEP.CARNET
4202,A,1985-05-05,8,0.0,0,0,FALLECIDO
4642,A,1985-11-14,8,0.0,0,1985,carnet dep.
4396,A,1987-09-10,8,0.0,0,1987,COMUN.INACT.
368,EM,1991-07-19,8,0.0,0,1991,BAJA MATR.
1437,A,1993-01-01,8,0.0,0,1993,com.inact.
4396,A,1993-10-06,8,0.0,0,1993,COMUN.ACTIV.
6886,A,1994-01-17,8,0.0,0,1994,dep.carnet
6981,A,1994-12-31,8,0.0,0,1994,dep.carnet
7187,A,1995-01-10,8,0.0,0,1995,com.inact.
3983,A,1995-12-26,8,0.0,0,1995,CARNET DEP.
5025,A,1996-01-23,8,0.0,0,1996,dep.carnet.
4764,A,1996-02-26,8,0.0,0,1996,DEP.CARNET
4431,A,1996-03-14,8,0.0,0,1996,comun.inact.
4103,A,1996-07-07,8,0.0,0,0,fallece
4104,A,1996-08-29,8,0.0,0,0,com.inact.
3897,A,1999-02-03,8,0.0,0,1993,DEP. CARNET.
1940,EM,1999-10-14,8,700.0,0,1999,RESTO CUOTAS
766,A,2000-01-09,8,0.0,0,2000,com inact
7649,A,2000-02-04,8,0.0,0,2000,COM.INACT.
735,A,2000-05-01,8,0.0,0,2000,comun.inact.
4945,A,2000-12-29,8,0.0,0,2000,comun.inact.
7085,A,2000-12-30,8,0.0,0,2000,COM.inactiv.
1807,EM,2001-01-01,8,0.0,0,2001,INACT. TEMP.
7184,A,2001-03-26,8,0.0,0,2001,inact.temp.
2127,EM,2001-08-13,8,0.0,0,2001,Inact.tempor
819,A,2001-12-05,8,0.0,0,2002,COMUN.INACT.
2262,EM,2001-12-13,8,0.0,0,2002,com-inactiv.
6691,A,2001-12-28,8,0.0,0,2002,com.inactiv.
6017,A,2002-01-01,8,0.0,0,2002,comun.inact.
4181,A,2002-01-01,8,0.0,0,2002,inact.temp.
1886,EM,2002-01-01,8,0.0,0,2002,inactiv.temp
6266,A,2002-01-01,8,0.0,0,2002,inact.tempor
7169,A,2002-01-01,8,0.0,0,2002,INACT.TEMP.
5251,A,2002-01-01,8,0.0,0,2002,inact.temp
4683,A,2002-01-01,8,0.0,0,2002,INACT.TEMP.
5029,A,2002-01-01,8,0.0,0,2002,inact.temp
1172,A,2002-01-01,8,0.0,0,2002,inact.temp.
7342,A,2002-01-01,8,0.0,0,2002,inact.temp.
6991,A,2002-01-01,8,0.0,0,2002,inact.temp.
7861,A,2002-01-01,8,0.0,0,2002,inact.tempor
707,A,2002-01-01,8,0.0,0,2002,INACTIV.TEMP
1352,A,2002-01-01,8,0.0,0,2002,com.inact.
7598,A,2002-01-01,8,0.0,0,2002,inact.temp.
4841,A,2002-01-01,8,0.0,0,2002,INACT. TEMP.
7861,A,2002-01-01,8,0.0,0,2003,inact.temp.
7598,A,2002-01-01,8,0.0,0,2003,inact.temp.
5029,A,2002-01-01,8,0.0,0,2003,inact.temp
5029,A,2002-01-01,8,0.0,0,2004,inact.temp
7598,A,2002-01-01,8,0.0,0,2004,inact.temp.
2341,EM,2002-01-02,8,0.0,0,2002,inact.temp.
6356,A,2002-01-02,8,0.0,0,2002,INACT.TEMP.
4343,A,2002-01-02,8,0.0,0,2002,COM.INACT.
6640,A,2002-01-03,8,0.0,0,2002,inact.temp.
7380,A,2002-01-03,8,0.0,0,2002,COM.INACTIV.
1831,A,2002-01-03,8,0.0,0,2002,comun.inact.
3430,A,2002-01-03,8,0.0,0,2002,Com.inactiv.
7438,A,2002-01-03,8,0.0,0,2002,comun.inact.
7257,A,2002-01-04,8,0.0,0,2002,ver nota
7257,A,2002-01-04,8,0.0,0,2002,com.inact.
6752,A,2002-01-08,8,0.0,0,2002,INACT.TEMP.
786,A,2002-01-09,8,0.0,0,2002,inact.temp.-
3021,A,2002-01-09,8,0.0,0,2002,comun.inact.
5991,A,2002-01-10,8,0.0,0,2002,comun.inact.
7660,A,2002-01-10,8,0.0,0,2002,com.inactiv.
7399,A,2002-01-10,8,0.0,0,2002,comun.inact.
7098,A,2002-01-10,8,0.0,0,2002,dep.carnet
846,A,2002-01-11,8,0.0,0,2002,inact.temp.
7669,A,2002-01-15,8,0.0,0,2002,inact.temp.
7196,A,2002-01-17,8,0.0,0,2002,comun.inact.
2084,EM,2002-01-17,8,0.0,0,2002,inact. temp.
7668,A,2002-01-18,8,0.0,0,2002,dep.carnet
7645,A,2002-01-18,8,0.0,0,2002,carn.dep
7663,A,2002-01-22,8,0.0,0,2002,com.inactiv.
6740,A,2002-01-23,8,0.0,0,2002,Depos.carnet
1258,A,2002-01-24,8,0.0,0,2002,com.inact.
7005,A,2002-01-25,8,0.0,0,2002,DEP.CARNET.
2501,A,2002-01-28,8,0.0,0,2002,COMUN.INACT.
5363,A,2002-01-29,8,0.0,0,2002,INACT.TEMP.
7567,A,2002-01-30,8,0.0,0,2002,Comun.inact.
5239,A,2002-01-31,8,0.0,0,2002,INACT.TEMP.
2672,A,2002-01-31,8,0.0,0,2002,inact.temp.
7766,A,2002-02-04,8,20.0,223,2003,a cuenta
4170,A,2002-02-06,8,0.0,0,2002,inact.temp.
2187,EM,2002-02-21,8,0.0,0,2002,INACT.TEMP.
7863,A,2002-02-25,8,0.0,0,2002,com.inact.
