MATRIC,CATEGO,FECHA,CPTO,IMPORTE,RECIBO,ANHABIL,DETALLE
334,EM,1978-12-28,1,266740.0,2958,1975,DER.INSC.
5437,A,1997-04-11,8,0.0,0,1997,inact.temp.
5258,A,1988-10-31,7,15.0,5790,1987,1MUL.R.74/84
6397,A,1989-10-19,0,6000.0,1494,1990,1DER.INSC.
2315,A,1976-11-27,1,300.0,2588,1976,DER.INSC.
268,A,1950-10-09,1,0.0,0,1950,DER.MATRIC.
268,A,1951-06-14,1,0.0,0,1951,DER.INSC.
268,A,1952-07-05,1,0.0,0,1952,DER.INSC.
457,A,1954-08-20,1,0.0,0,1954,MATRIC.
457,A,1954-08-20,1,0.0,0,1955,DER.INSC.
460,A,1954-10-01,1,0.0,0,1954,DER.INSC.
268,A,1954-10-09,1,0.0,0,1953,DER.INSC.
268,A,1954-10-09,1,0.0,0,1954,DER.INSC.
268,A,1955-10-17,1,150.0,0,1955,DER.INSC.
268,A,1956-01-01,1,150.0,0,1956,DER.INSC.
563,A,1956-08-21,,100.0,0,1956,DER.HAB.
268,A,1957-01-01,1,150.0,0,1957,DER.INSC.
563,A,1957-07-08,,100.0,632,1957,DER.INSC.
268,A,1958-01-01,1,0.0,0,1958,EX.R.7 58-61
642,A,1958-01-17,,100.0,0,1958,DER.INSC.
626,A,1958-02-11,1,100.0,0,1958,DER.MATRIC.
553,A,1958-02-13,,100.0,0,1958,DER.INSC.
707,A,1958-02-20,1,100.0,0,1958,
558,A,1958-02-20,1,100.0,0,1958,DER.MATR.
613,A,1958-02-24,,100.0,0,1958,DER.INSC.
597,A,1958-02-24,1,100.0,0,1958,DER.MATR.
637,A,1958-02-28,1,100.0,0,1958,
123,A,1958-03-03,1,100.0,0,1958,DER.MATR.
306,A,1958-03-04,,100.0,0,1958,DER.INSC.
392,A,1958-03-06,1,100.0,0,1958,DER.MATR.
514,A,1958-03-07,1,100.0,0,1958,DER.MATR.
267,A,1958-03-10,,100.0,0,1958,DER.INSC.
97,A,1958-03-10,,130.0,0,1958,DER.INSC.
155,A,1958-03-10,1,100.0,0,1958,DER.MATR.
209,A,1958-03-14,,100.0,0,1958,DER.INSC.
453,A,1958-03-17,,100.0,0,1958,DER.INSC.
169,A,1958-03-17,,100.0,0,1958,DER.MATR.
492,A,1958-03-17,,100.0,0,1958,DER.INSC.
647,A,1958-03-17,1,110.0,0,1958,DER.MATRIC.
160,A,1958-03-17,1,100.0,0,1958,DER.MATRIC.
190,A,1958-03-18,1,300.0,0,1959,DER.INSC.
1,A,1958-03-20,1,100.0,0,1958,DER.MATR.
445,A,1958-03-21,1,100.0,0,1958,DER.MATRIC.
162,A,1958-03-24,,100.0,0,1958,DER.INSC.
305,A,1958-03-24,1,100.0,0,1958,DER.MATRIC.
573,A,1958-03-24,1,100.0,0,1958,DER.MATR.
