SECC,NOM
1,REGISTRO PROFESIONAL
2,CERTIF.HABIL.PROFESIONAL
3,DPTO CONTABLE
4,DPTO TECNICO
5,DPTO ADMINISTRATIVO
6,SECRETARIA
7,PRESIDENCIA
8,CENTRO DE COMPUTOS
9,ASESORIA LETRADA
10,ENCARGADO EDIFICIO
11,COMIS.INTERP.Y SANCIONES
12,COMIS.RELAC.INSTITUCION.
13,COMIS.DE HACIENDA
14,REUNION DE CONSEJO
15,ARCHIVO
16,PENDIENTE
17,TRAMITE CEDULA
18,NOTIFICACION
19,INSPECTOR
20,PRENSA Y DIFUSION
21,JURADO DE ETICA
22,VENCIMIENTO DE TERMINO
23,DELEGACION SAN RAFAEL
24,DELEGACION GRAL.ALVEAR
25,OF.RECEPTORA SAN MARTIN
26,TRAMITADOR
27,"AREA MEDIO AMB.,HIG.Y SEG"
29,Creacion Mutual
28,Junta Electoral
30,Obra a real.Terrenos FFCC
31,Presupuesto
50,Estudio Func.Caja Previs.
51,Estudio Creac.Circ.Region
32,MATRICULA
33,SubCom.Anl.Hon.Ley 8171
34,PATRIMONIO DEL CONSEJO
35,LAS COMPUERTAS
36,Asesora Caja Prof.Tcnica
37,Sub.Com.Modif.Cgo.Etica
