DSPCOD,DSPNRO,DSPANO,DSPHORA,DSPFECHA,DSPSECC,DSPOBS
J,1,1999,21:25:56,1999-01-22,11,
J,1,1999,21:26:18,1999-02-10,15,
J,2,1999,21:26:36,1999-01-22,11,
J,2,1999,21:26:48,1999-02-10,15,
J,3,1999,08:07:28,1999-02-03,11,
J,3,1999,08:07:48,1999-02-22,15,
J,4,1999,08:12:22,1999-02-11,11,
J,4,1999,08:12:37,1999-02-22,15,
J,5,1999,08:17:12,1999-02-12,11,
J,5,1999,08:17:32,1999-02-23,15,
J,6,1999,08:41:52,1999-02-26,11,
J,6,1999,08:42:09,1999-03-10,15,
J,7,1999,08:44:29,1999-03-11,11,
J,7,1999,08:44:58,1999-03-26,15,
J,8,1999,08:49:20,1999-03-15,11,
J,8,1999,08:49:33,1999-03-30,15,
J,9,1999,08:52:02,1999-04-06,11,
J,9,1999,08:52:14,1999-04-27,15,
J,10,1999,08:54:17,1999-04-07,11,
J,10,1999,08:54:32,1999-04-20,15,
J,11,1999,09:08:30,1999-04-07,11,
J,11,1999,09:08:53,1999-04-20,15,
J,12,1999,09:11:09,1999-04-09,11,
J,12,1999,09:11:27,1999-04-22,15,
J,13,1999,09:14:05,1999-04-14,11,
J,13,1999,09:14:18,1999-04-27,15,
J,14,1999,09:16:59,1999-05-06,11,
J,14,1999,09:17:20,1999-05-20,15,
J,15,1999,09:19:33,1999-05-26,11,
J,15,1999,09:19:56,1999-06-02,15,
J,16,1999,09:24:03,1999-05-26,11,
J,16,1999,09:24:16,1999-06-02,15,
J,17,1999,09:26:33,1999-06-04,11,
J,18,1999,09:30:53,1999-06-07,11,
J,18,1999,09:31:16,1999-06-18,15,
J,19,1999,09:34:00,1999-06-16,11,
J,20,1999,09:37:19,1999-06-16,11,
J,17,1999,08:28:58,1999-06-24,15,
J,20,1999,11:19:31,1999-06-23,5,
J,20,1999,11:19:56,1999-06-24,11,p/rever despacho.-
J,19,1999,12:05:50,1999-06-29,15,
J,20,1999,12:06:25,1999-06-28,5,
J,20,1999,12:06:44,1999-06-29,11,p/conversar c/Dra. Ferrer.-
J,20,1999,12:17:57,1999-07-20,15,
J,21,1999,11:46:41,1999-08-04,6,FIRMA.-
J,21,1999,08:39:46,1999-08-05,11,
J,22,1999,12:41:18,1999-08-11,6,FIRMA.-
J,22,1999,11:23:37,1999-08-12,11,
J,23,1999,12:39:05,1999-08-12,11,
J,24,1999,12:39:18,1999-08-12,11,
J,22,1999,08:16:25,1999-08-24,5,
J,22,1999,08:16:48,1999-08-24,6,firma y de presidencia
J,22,1999,08:17:23,1999-08-25,15,se remiten Autos Ia.y IIa.Pieza c/deter
J,25,1999,11:13:08,1999-08-12,11,
J,25,1999,11:13:25,1999-08-14,5,
J,23,1999,11:29:30,1999-08-24,5,
J,24,1999,11:29:53,1999-08-24,5,
J,24,1999,08:49:08,1999-08-27,15,Bibliorato.-
J,23,1999,08:37:42,1999-08-30,15,Bibliorato.-
J,25,1999,08:37:56,1999-08-30,15,Bibliorato.-
J,26,1999,12:22:56,1999-09-02,11,
J,21,1999,12:21:55,1999-09-03,5,entr de Comisin.-
J,21,1999,12:22:23,1999-09-08,15,Bibliorato. Entregada en Juzg. determ.
J,27,1999,08:31:00,1999-09-23,11,
J,28,1999,12:07:06,1999-09-24,11,
J,26,1999,09:59:32,1999-09-29,15,en Bibliorato.- (devuelto)
J,29,1999,09:41:30,1999-10-04,11,
J,27,1999,08:24:37,1999-10-01,5,(firma)
J,28,1999,08:24:52,1999-10-01,5,(firma)
J,27,1999,10:03:39,1999-10-08,15,Bibliorato
J,28,1999,10:03:56,1999-10-08,15,Bibliorato.-
J,30,1999,10:19:36,1999-10-13,6,firma
J,30,1999,10:32:29,1999-10-14,11,
J,29,1999,08:31:04,1999-10-20,15,Bibliorato.-
