JUMATR,JUCATE,JUESP,JUCIRC,JUESTA
1842,A,205,1,4
2132,A,033,1,4
8569,A,033,1,4
4071,A,033,1,4
4698,A,098,1,4
7873,A,098,1,4
792,A,001,1,4
792,A,002,1,4
4015,A,002,1,4
7488,A,017,1,4
5598,A,017,1,4
7272,A,017,1,4
4848,A,017,1,4
4698,A,017,1,4
8086,A,017,1,4
7057,A,017,1,4
7488,A,009,1,4
5598,A,009,1,4
7272,A,009,1,4
8086,A,009,1,4
7057,A,009,1,4
7873,A,020,1,4
7947,A,004,1,4
2036,A,031,1,4
4718,A,031,1,4
7488,A,011,1,4
5598,A,011,1,4
7272,A,011,1,4
4848,A,011,1,4
7473,A,011,1,4
8086,A,011,1,4
7057,A,011,1,4
4848,A,012,1,4
792,A,022,1,4
2036,A,086,1,4
4718,A,086,1,4
6609,A,086,1,4
4015,A,086,1,4
4848,A,017,2,4
4848,A,011,2,4
4848,A,012,2,4
6609,A,086,2,4
8569,A,033,2,4
4071,A,033,3,4
2132,A,033,3,4
8086,A,017,3,4
8086,A,009,3,4
2036,A,031,3,4
8086,A,011,3,4
2036,A,086,3,4
6609,A,086,3,4
4071,A,033,4,4
2132,A,033,4,4
4848,A,017,4,4
2036,A,031,4,4
4848,A,011,4,4
4848,A,012,4,4
2036,A,086,4,4
6609,A,086,4,4
