MATRIC,CATEGO,FECHA,CPTO,IMPORTE,RECIBO,ANHABIL,DETALLE
4991,A,2018-03-06,1,500.0,55486,2009,plan facil.
9643,A,2017-01-17,1,1800.0,8552,2017,DER.INSC.
10164,A,2017-01-16,1,1800.0,8537,2017,DER.INSC.
7453,A,2017-01-27,1,1800.0,8717,2017,DER.INSCR.
8396,A,2017-01-19,1,1800.0,3785,2017,DER.INSC.
1914,A,2017-01-26,4,1800.0,0,2017,RESOL.92/04
8879,A,2019-11-30,1,1500.0,7732,2016,der.insc.
3821,A,2017-12-05,4,1800.0,0,2017,RESOL.92/04
10411,A,2017-12-23,1,1800.0,8054,2017,DER.INSC.
10308,A,2017-01-02,1,1800.0,8275,2017,der.insc.
10196,A,2017-01-02,1,1800.0,8276,2017,DER.INSC.
6903,A,2017-01-02,1,1800.0,3587,2017,DER.INSC.
9374,A,2017-01-02,1,1800.0,8293,2017,DER.INSC.
8630,A,2017-01-02,1,1800.0,8301,2017,DER.INSC.
8863,A,2017-01-02,1,1800.0,8299,2017,DER.INSC.
9763,A,2017-01-02,1,1800.0,3584,2017,der.inscr.
3363,EM,2017-01-02,1,4300.0,3586,2017,der.inscr.
2642,EM,2017-01-02,1,4300.0,3588,2017,der.inscr.
8477,A,2017-01-02,1,1800.0,3593,2017,der.inscr.
2583,EM,2017-02-01,1,4300.0,3595,2017,der.inscr.
1655,EM,2017-02-01,1,4300.0,3597,2017,der.inscr.
7018,A,2017-01-02,1,900.0,8280,2017,3-4/4 canc.
4301,A,2017-01-02,1,450.0,8283,2017,3/4 cuota
8285,A,2017-01-02,1,450.0,8284,2017,3/4 cuota
10195,A,2017-01-02,1,1800.0,8285,2017,der.inscr.
7044,A,2017-01-02,1,450.0,8287,2017,4/4 cuota
6847,A,2017-01-02,1,1800.0,8289,2017,der.inscr.
7090,A,2017-01-02,1,1800.0,8290,2017,der.inscr.
6944,A,2017-01-02,8,1100.0,8291,2016,8/8 cuota
9603,A,2017-01-02,1,1800.0,8292,2017,der.inscr.
10310,A,2017-01-02,1,1800.0,8294,2017,der.inscr.
8730,A,2017-01-02,1,1800.0,8295,2017,der.inscr.
4700,A,2017-01-02,1,1800.0,8296,2017,der.inscr.
9130,A,2017-01-02,1,1800.0,8297,2017,der.inscr.
8876,A,2017-01-02,1,1800.0,8302,2017,der.inscr.
2976,A,2017-01-02,1,1800.0,8305,2017,der.inscr.
3930,A,2017-01-02,1,1800.0,8306,2017,der.inscr.
7612,A,2017-01-03,1,1800.0,8310,2017,der.insc.
4745,A,2017-01-03,4,1800.0,0,2017,RESOL.92/04
9016,A,2017-01-03,1,1800.0,8313,2017,der.insc.
3501,EM,2017-01-03,1,3800.0,3599,2017,INSCRIPC.
8819,A,2017-01-03,1,1800.0,8321,2017,der.insc.
3529,A,2017-01-03,1,1800.0,8322,2017,der.insc.
9386,A,2017-01-03,1,1800.0,8320,2017,der.insc.
6932,A,2017-01-03,1,1800.0,8319,2017,der.insc.
3009,EM,2017-01-03,1,4300.0,3601,2017,der.insc.
9113,A,2017-01-03,1,0.0,0,2017,solic.alta
9113,A,2017-01-03,1,1800.0,8324,2017,der.insc.
4497,A,2017-01-03,4,1800.0,0,2017,RESOL.92/04
7277,A,2017-01-03,1,1800.0,8327,2017,DER.INSC.
9892,A,2017-01-03,1,1800.0,8330,2017,DER.INSC.
8022,A,2017-01-03,1,1800.0,8336,2017,DER.INSC.
9531,A,2017-01-03,1,1800.0,8328,2017,der.insc.
4817,A,2017-01-03,4,1800.0,0,2017,RESOL.92/04
1585,EM,2017-01-03,1,4300.0,3608,2017,der.inscr.
8981,A,2017-01-03,1,1800.0,3608,2017,der.inscr.
7443,A,2017-01-03,1,1800.0,3608,2017,der.inscr.
8194,A,2017-01-03,1,1800.0,3608,2017,der.inscr.
6217,A,2017-01-03,1,1800.0,3608,2017,der.inscr.
9455,A,2017-01-03,1,1800.0,8307,2017,der.inscr.
9877,A,2017-01-03,1,1800.0,8309,2017,der.inscr.
9552,A,2017-01-03,1,450.0,8311,2017,3/4 cuota
7184,A,2017-01-03,1,1800.0,8312,2017,der.inscr.
9604,A,2017-01-03,1,1800.0,8314,2017,der.inscr.
8940,A,2017-01-03,1,1800.0,8315,2017,der.inscr.
