CODIGO,NOMBRE,UNIVER
   3,FAC.DE INGENIERIA L.PLATA,1
   4,FAC.DE INGENIERIA S.LUIS,1
 101,ESC.4-077 V.M.CIVIT,2
 102,UNIV.TECNOLOGICA NACIONAL,1
   5,UNIVERSIDAD DE MENDOZA.,1
   6,ENET N.1 EJ.DE LOS ANDES,2
   7,E.N.E.T NRO. 1 PABLO NOGUES,2
   8,E.N.E.T N.2 ALVAREZ CONDARCO,2
   9,FAC.DE INGENIERIA U.B.A.,1
  10,FAC.DE INGENIERIA M.D.PL.,1
  11,FAC.DE INGENIERIA U.N.S.,1
  12,E.B.T/QCO.4/219 CAP.I.VAZQUEZ,2
  13,E.N.E.T. N.5,2
  14,U.T.N.FAC.REG. BS.AS.,1
  15,UNIVERSIDAD OBRERA NACIONAL,1
  17,E.N.E.T. N.63,2
  18,ENET N.1. DE LAS HERAS,2
  19,E.N.E.T. N.3 BAHIA BLANCA,2
  20,ESC.INDUSTR.DE LA NACION SGO.E,2
  21,ESC.IND.DE LA NACION.- MENDOZA,2
  22,ESC. 4/121 CIUDAD MENDOZA,2
  23,MUNICIPALIDAD DE TUNUYAN,3
  24,MUNICIPALIDAD DE SAN MARTIN,3
  25,ESC/TCO.IND.EMILIO CIVIT 4/303,2
  26,INST.TCO.IND.SAN PABLO,2
  27,FAC.CIENCIAS F.Y NATURALES UBA,1
  28,U.T.N.FAC.REG.DE MENDOZA,1
  29,ESC.IND.N.1 OTTO KRAUSE,2
  30,INST.DE CULTURA POPULAR DE MZA,2
  31,ESC.TCA.ELECTR.GRAL.MOSCONI,2
  32,ESC.IND.J.F.SARMIENTO,2
  33,ESC.DE BACH.TCO.QUIMICO N.16,2
  34,ENET N.1 EJ.DE LOS ANDES TYAN.,2
  35,ENET.N.1 EJ.DE LOS ANDES S.R.,2
  36,ENET.N.1 GRAL VILLEGAS BS.AS.,2
  37,FAC.DE INGENIERIA DE PETROL.,1
  38,ACAD.PCIAL DE BELLAS ARTES,2
  39,MUNICIP.DE SAN RAFAEL,3
  40,ESC.4-524 BELLAS ARTES,2
  41,ESC.PCIAL DE BELLAS ARTES N.24,2
  42,ESC.PROV.DE E.TEC.N2 LA PAMPA.,2
  43,ESC.TEC.N5 DE ELEC.Y ELECTRON,2
 104,UNIV.NACIONAL DE CORDOBA,1
  44,ENET N 1 - SAN JOSE.,2
  45,ESC.TEC.IND.N1-EMILIO CIVIT,2
 105,UNIV.NACIONAL DEL LITORAL.,1
 106,ESC.N4-329-GRAL J.DE S.MARTIN,2
 107,UNIV.JUAN A.MAZA.-,1
 108,ENET N4 DE MZA.,2
 109,UNIV.CATOLICA ARGENTINA.,1
 110,ENET N1 DE PARANA-ENTRE RIOS.,2
 111,UNIV.NACIONAL DE ROSARIO.,1
 112,ESC.DE CAPAC.OBRERA N75,2
 113,UNIVERSIDAD POPULAR DE MENDOZA,1
 114,ENET N1 DE SAN MARTIN.,2
 115,ENET N1-SAN JUAN,2
 116,ING.GABRIEL DEL MAZO N 4-020.,2
 117,UNIV.NACIONAL DE LA PATAGONIA.,1
 118,ENET N 1.STA.M.DE ORO.RDVIA.,2
 119,E.TCA.GRAL.J.DE S.MARTIN 4-029,2
 120,DELPINI.ENET N13 DE BS.AS.,2
 121,UNIV.NACIONAL DE RIO CUARTO.,1
 122,ENET N1 DE SAN LUIS.,2
 123,ESC.TCO.IND.N3.EMILIO CIVIT,2
 124,UNIV.NACIONAL DE SALTA.,1
 125,U.T.N.FAC.REG.DE SAN RAFAEL.,1
 126,EPET.R.G.CARRANZA-CORRIENTES.,2
