NUMIND,CODTIT,NOMTIT,INSCRI,HABILI,CARNDE,FALLEC,PADRON,BAJAS
1,001,INGENIEROS CIVILES,0,0,0,0,,
225,002,INGENIEROS EN CONSTRUCCIONES,0,0,0,0,,
2,003,INGS. EN CONSTRUCCION DE OBRAS,0,0,0,0,,
3,004,INGS.EN VIAS DE COMUNICACION,0,0,0,0,,
4,005,INGENIEROS HIDRAULICOS,0,0,0,0,,
5,006,INGS.EN TELECOMUNICACIONES,0,0,0,0,,
6,007,INGS.EN CONSTRUCCIONES MECANICAS,0,0,0,0,,
7,008,INGS.EN CONSTR.ELECTROMECANICAS,0,0,0,0,,
8,009,INGENIEROS ELECTROMECANICOS,0,0,0,0,,
9,010,INGS.EN ELECTROMECANICA,0,0,0,0,,
10,011,INGENIEROS MECANICOS,0,0,0,0,,
11,012,INGS.MECANICOS ELECTRICISTAS,0,0,0,0,,
12,013,INGS.MECANICOS Y ELECTRICISTAS,0,0,0,0,,
13,014,INGS.EN ELECTRONICA Y ELECTRICIDAD,0,0,0,0,,
14,015,INGS.EN INSTALACIONES ELECTRICAS,0,0,0,0,,
15,016,INGS.ELECTRICISTAS OR.INST.ELECTR.,0,0,0,0,,
16,017,INGENIEROS ELECTRICISTAS,0,0,0,0,,
17,018,INGS.ELECTRICISTAS ELECTRONICOS,0,0,0,0,,
18,019,INGS.EN ELECTRICIDAD Y ELECTRONICA,0,0,0,0,,
19,020,INGENIEROS ELECTRONICOS,0,0,0,0,,
20,021,INGENIEROS EN ELECTRONICA,0,0,0,0,,
21,022,INGENIEROS SANITARIOS,0,0,0,0,,
22,023,INGENIEROS METALURGICOS,0,0,0,0,,
23,024,INGS.EN PETROQUIMICA Y MINERALOGIA,0,0,0,0,,
24,025,INGS.ESPEC.EN PROD. DE PETROLEO,0,0,0,0,,
25,026,INGS.DE PETROLEO OR.INDUSTRIALIZ.,0,0,0,0,,
26,027,INGS.DE PETROLEO OR. EXPLOTACION,0,0,0,0,,
193,028,INGENIEROS DE PETRLEO,0,0,0,0,,
27,029,INGENIEROS EN COMBUSTIBLES,0,0,0,0,,
30,030,INGS.EN IND.DE LA ALIMENTACION,0,0,0,0,,
31,031,INGENIEROS INDUSTRIALES,0,0,0,0,,
32,032,INGENIEROS QUIMICOS,0,0,0,0,,
33,033,INGENIEROS AGRONOMOS,0,0,0,0,,
34,034,INGENIEROS AGROMECANICOS,0,0,0,0,,
35,035,INGENIEROS GEOLOGOS,0,0,0,0,,
36,036,INGENIEROS DE MINAS,0,0,0,0,,
37,037,INGENIEROS GEOGRAFOS,0,0,0,0,,
38,038,INGENIEROS AGRIMENSORES,0,0,0,0,,
39,039,INGENIEROS EN RECURSOS HIDRICOS,0,0,0,0,,
40,040,INGENIEROS EN INDUSTRIAS QUIMICAS,0,0,0,0,,
41,041,INGENIEROS FORESTALES,0,0,0,0,,
42,042,INGENIEROS CIVILES E HIDRAULICOS,0,0,0,0,,
43,043,INGS.EN PETROLEO ESP. GEOLOGIA,0,0,0,0,,
44,044,INGENIEROS EN AUTOMOTORES,0,0,0,0,,
45,045,INGS.EN DIRECCION DE EMPRESAS,0,0,0,0,,
46,046,INGS. ELECTRICOS ELECTRONICOS,0,0,0,0,,
47,047,INGENIEROS NAVALES Y MECANICOS,0,0,0,0,,
48,048,INGS.MCOS.ESP.EN VEHS.DE COMBATE,0,0,0,0,,
195,049,INGENIEROS MILITARES,0,0,0,0,,
