PROV,NOMBRE,CPOST,NOM
1,MENDOZA,5500,MZA.
2,SAN JUAN,5400,SJUAN
3,SAN LUIS,5700,SLUIS
4,C.A.BS.AS.,,CABA.
5,Buenos Aires,,BS.AS
6,CORDOBA,5000,CBA.
7,CORRIENTES,3400,CTES.
8,CHUBUT,9000,CHUB.
9,JUJUY,4600,JUJUY
10,SALTA,4400,SALTA
11,CATAMARCA,4700,CATAM
12,LA RIOJA,5300,L.R.
13,TUCUMAN,4000,TUCUM
14,SANTA FE,3000,STAFE
15,ENTRE RIOS,3100,ERIOS
16,CHACO,3500,CHACO
17,FORMOSA,3600,FORM.
18,MISIONES,3300,MISIO
19,Sgo.del Estero,4200,STGO.
20,RIO NEGRO,8500,R.NEG
21,LA PAMPA,6300,LAPAM
22,SANTA CRUZ,9400,SCRUZ
23,NEUQUEN,8300,NEUQU
0,,,
24,Tierra del fueg,,TRRFG
