TOPIC,DETAILS
 Account Manager,"
          Account Manager        

The Account Manager module allows you to display and edit information about your accounts.

Information about a specific account is displayed in the Account Manager window.  A control panel allows you to move through the database or bring forward a dialog to locate records that meet specified criteria.  

In addition, a Browse window is displayed.  The Details Browse window displays information about specific transactions.

Moving Through the Database

In the control panel, choose Next, Prior, Top or Bottom to move through   the database.  Choose the Locate push button to locate records that meet specified criteria.

Editing Data

To edit a record in the Account Manager window, position the cursor on the a field and enter the desired changes.  

Adding a New Record

Choose the New push button to add a new record.  An empty Account Manager window is displayed.

Choose the account type from the Type popup, then enter the desired information in the Account Manager window.  

Saving/Cancelling Changes

When you make changes or add a new record, you can choose the Save push button to save the information.  Choose the Cancel push button to abandon all changes to the record. 

Balance

The Balance push button displays the Balance dialog so you can update the current balance.  For more information, see the Balance topic.

Menu System

The Account Manager uses the standard menu system used for most ORGANIZER modules.  For more information, see the Menu System topic in online Help. 



See Also:  Organizer: General Help, Locate, Menu System, Report Dialog, Label Dialog, Balance 

"
 Add/Modify Card Users,"
      Add/Modify Card Users      

This dialog allows you to edit the users for a specific credit card and add new users to the card users database.  The names in the Authorized Users list in this dialog appear in the Authorized Users list in the Credit Card Manager window.

Adding an Authorized User

Double-click on the name you wish to add in the Selection list or select the name you wish to add and choose Move.  The selected name appears in the Authorized users list.  Duplicate entries are not permitted.

Removing an Authorized User

Double-click on the name you wish to remove in the Authorized Users list or select the name you wish to remove and choose Remove.  The selected name is removed from the Authorized users list.

Choose Remove All to remove all names from the Authorized Users list.

Adding a New User

Choose New Name to add a new name to the Selection List.

Enter a last name in the Last text box and a first name in the First text box.  Press Enter.  The new name appears in the Authorized Users list.  Repeat the process to add more new names.

When you choose OK, the new names appear in the Authorized Users list in the Credit Card Manager window.  When you choose the Save push button, the new names are saved in the card users database.  They will appear in the Selection list the next time the Add/Modify Card Users dialog is displayed.



See Also: Organizer: General Help, Credit Card Manager

"
 Balance,"
              Balance            

This dialog allows you to update a balance on a single record or perform batch processing to update the balance of all records.

To update the balance for the current record:

	Choose the Current Record Radio button.

	Choose the desired month in the popup in this dialog, then choose OK.  

The update operation is performed from the time of the last update to the month selected in the Balance dialog.  

The balance is displayed in the upper right corner of the monitor.  That balance is then added to the current balance for the record.

Choose the Save push button save this amount as the current balance.  Choose the Cancel push button to cancel the operation and restore the previous balance.

To update the balance of all records:

	Choose the All Records radio button.

	Choose the desired month in the popup in this dialog, then choose OK.  

The update operation is performed from the time of the last update to the month selected in the Balance dialog.  

When you update all records, the new  balance is automatically added to the current balance for every record in the database.  This balance is then automatically saved.  

There is no way to cancel the operation and restore the previous balance once this batch operation begins.

If you have previously updated the balance for the current month, a message is displayed stating that the account is balanced as of the last day of the month.



See Also:  Organizer: General Help, Account Manager, Credit Card Manager, Client Manager


"
 Calculator,"
           Calculator            

When you choose Calculator from the System menu popup, the Calculator desk accessory appears.  This calculator is used like a standard pocket calculator.

Calculations can be performed using the keyboard or the mouse.  

With the keyboard, you can type the equation as it would be written.  Most Calculator keys have the same keyboard equivalents, with the following exceptions:

Key		Equivalent

Q 		

R		MR

N  		

A		M+

Z		MC

S		M-


"
 Calendar/Diary,"
         Calendar/Diary          

The Calendar panel appears with the current month displayed and today's date selected.

Changing Current Date

Change selected day:
	Use arrow keys or click on desired day.

Change Month
	Press PgUp/PgDn or choose <-M or M-> push button.

Change Year
	Press Shift+PgUp/Shift+PgDn or choose <-Y or Y-> push button.

You can select today's date by pressing T on the keyboard or by choosing the Today push button.

The Diary menu popup contains options that correspond to all of these actions.

You can have a diary entry for each day. Activate the Diary panel by pressing Tab or clicking on the panel with the mouse.  The cursor flashes in the Diary panel, indicating that it is active.

Choose Delete... from the Diary menu popup to display the Delete Diary dialog."
 Client Manager,"
          Client Manager         

The Client Manager allows you to display and edit information about clients.  Information about a specific client is displayed in the Client Manager window.  A control panel allows you to move through the database or bring forward a dialog to locate records that meet specified criteria.  

In addition, two Browse windows are displayed.  The Client List Browse window displays all clients in the database.  The Account Details Browse window displays transaction information for the displayed client.

Moving Through the Database

In the control panel, choose Next, Prior, Top or Bottom to move through   the database.  Choose the Locate push button to locate records that meet specified criteria.

Alternately, you can scroll through the records in the Client List Browse window.  When you position the record pointer on a record in the Client List Browse window, corresponding data is displayed in the Client Manager window and in the Account Details window.

Editing Data

You can edit data in the Client Manager window.  The Client List and Account Details Browse windows are for display purposes only and cannot be edited.

	To edit a record, position the cursor on the a field and enter the desired changes.  

	To change the Cuisine preference, choose the desired option from the Cuisine Preference popup.

	To change the Client Type, choose the desired radio button.

Adding a New Record

Choose the New push button to add a new record.  An empty Client Manager window is displayed.  Enter the desired information in the Client Manager window.  

Saving/Cancelling Changes

When you make changes or add a new record, you can choose the Save push button to save the information.  Choose the Cancel push button to abandon all changes to the record. 

Balance

The Balance push button displays the Balance dialog so you can update the current balance.  For more information, see the Balance topic.

Menu System

The Client Manager uses the standard menu system used for most ORGANIZER modules.  For information, see the Menu System topic.



See Also: Organizer: General Help, Report Dialog, Label Dialog, Letters Dialog, Locate, Controls, Menu System, Balance 

"
 Controls,"
         Control Panel           

The control panel is a utility screen that is used throughout the ORGANIZER application.  The push buttons in this window perform the following actions:

	Next	Positions the pointer on the next record.

	Prior	Positions the pointer on the previous record.

	Top		Positions the pointer on the first record.

	Bottom	Positions the pointer on the last record.

	Locate 	Brings forward the Locate dialog allowing you to locate records that meet specific criteria.

Push buttons in the control panel are enabled and disabled depending on the position of the record pointer in the database. 



See Also:  Organizer: General Help, Locate, Menu System

"
 Conversions,"
           Conversions           

The Conversions module acts like a FoxPro desk accessory and allows you to convert from one unit of measurement to another. 

To perform conversions:

Choose the desired Measurement Type radio button.  Options on the From and To popups reflect units of the selected type.

Choose the unit of measurement from the From popup and Enter the number you would like to convert from in the From text box.

Press Tab or click in the To text box.  The number is converted to the unit of measurement displayed in the To popup.

To convert to a different unit of measurement, choose the desired option from the To popup.

This process also works in reverse.  You can enter a number in the To text box and choose a unit of measurement on the From popup to perform a conversion.

The Menu System

The Conversions module adds a Conversions menu pad to the FoxPro system menu.  The Conversions menu popup contains options with control key shortcuts for the radio buttons in the Conversions window.



See Also:  Organizer: General Help, Menu System

"
 Credit Card Manager,"
      Credit Card Manager        

The Credit Card Manager allows you to display and edit information about your credit cards.  Information about a specific credit card is displayed in the Credit Card Manager window.  A control panel allows you to move through the database or bring forward a dialog to locate records that meet specified criteria.

Moving Through the Database

In the control panel, choose Next, Prior, Top or Bottom to move through   the database.  Choose the Locate push button to locate records that meet specified criteria.

Editing Data

You can edit data in the Credit Card Manager window.

	To edit a record, position the cursor on the a field and enter the desired changes.  

	To change names in the Authorized Users list, choose the Edit users push button.  The Add/Modify Users dialog appears.

Adding a New Record

Choose the New push button to add a new record.  An empty Credit Card Manager window is displayed.

You must enter a card number in the Card ID text box before you are permitted to enter data in any other field.

Enter the desired information in the remaining fields in the Credit Card Manager window. 

Saving/Cancelling Changes

When you make changes or add a new record, you can choose the Save push button to save the information.  Choose the Cancel push button to abandon all changes to the record. 

View Charges

Choose the View charges push button to view all charges for the displayed credit card.

A Browse window appears.  Charges are displayed in descending date order.  This Browse window is for display purposes only.  Records cannot be edited.  To edit charges, choose the Transactions option on the Money Manager submenu.

Balance

The Balance push button displays the Balance dialog so you can update the current balance.  For more information, see the Balance topic.

The Menu System

The menu system displayed with the Credit Card module is the standard ORGANIZER menu system.  A Card Info menu pad is appended to this menu system.

The Card Info menu popup contains the following options:

	View Charges	Displays Browse window with all charges for the current credit card.

	View Payments	Displays Browse window with all payments for the current credit card.

	View Users		Displays Browse window with names of users for all credit cards.



See Also:  Organizer: General Help, Controls, Add/Modify Card Users, Locate, Balance, Menu System, Report Dialog, Label Dialog      

"
 Family / Friends,"
         Family / Friends        

The Family/Friends module allows you to display and edit information about your family and friends.  Information about a specific person is displayed in the Family/Friends Manager window.  A control panel allows you to move through the database or bring forward a dialog to locate records that meet specified criteria.

Moving Through the Database

In the control panel, choose Next, Prior, Top or Bottom to move through   the database.  Choose the Locate push button to locate records that meet specified criteria.

Editing Data

You can edit data in the Family/Friends Manager window.

	To edit a record, position the cursor on the a field and enter the desired changes.  

	Three check box options -- Send Holiday Cards, Special Diet Needs and Exchange Gifts -- allow you to specify attributes for a record.

Adding a New Record

Choose the New push button to add a new record.  An empty Family/Friends window is displayed.  Enter the desired information in the Family/Friends window.  

Saving/Cancelling Changes

When you make changes or add a new record, you can choose the Save push button to save the information.  Choose the Cancel push button to abandon all changes to the record. 


Menu System

The Family and Friends Manager uses the standard menu system used for most ORGANIZER modules.  For information, see the Menu System topic.




See Also: Organizer: General Help, Report Dialog, Label Dialog, Letters Dialog, Locate, Controls, Menu System 

"
