MATRIC,CATEGO,FECHA,CPTO,IMPORTE,RECIBO,ANHABIL,DETALLE
6176,A,2019-11-22,1,5000.0,0,2021,1premiofoto
6176,A,2019-11-22,1,5000.0,0,2022,1premiofoto
6176,A,2019-11-22,1,5000.0,0,2023,3premiofoto
8689,A,2019-11-22,1,5000.0,0,2021,2PREMIOFOTO
7904,A,2020-07-06,1,6000.0,24939,2021,a cuenta
9027,A,2020-08-20,1,300.0,6590,2021,a cuenta
3979,A,2020-09-08,4,6600.0,0,2021,RESOL92-04
1929,A,2020-09-09,4,6000.0,0,2021,RESOL.92-04
747,A,2020-09-18,4,6600.0,0,2021,RESOL.92-04
4570,A,2020-10-05,4,6600.0,0,2021,RESOL.92-04
4593,A,2020-10-05,4,6600.0,0,2021,RESOL.92-04
1745,A,2020-10-05,4,6600.0,0,2021,RESOL.92-04
1213,A,2020-10-05,4,6600.0,0,2021,RESOL.92-04
8347,A,2020-10-05,1,6600.0,19305,2021,der.inscr.
1953,A,2020-10-07,4,6600.0,0,2021,RESOL.92/04
11011,A,2020-10-07,1,5000.0,26024,2021,matriculac.
11009,A,2020-10-05,1,5000.0,25997,2021,matriculac.
11010,A,2020-10-05,1,5000.0,25978,2021,MATRICULAC.
9784,A,2020-10-07,1,2200.0,26025,2021,1/3 cuota
8479,A,2020-10-07,1,6600.0,26027,2021,der.inscr.
6449,A,2020-10-08,1,6600.0,26062,2021,der.inscr.
7534,A,2020-10-08,1,6600.0,26068,2021,der.inscr.
10307,A,2021-01-01,8,0.0,0,2021,inact.temp.
10038,A,2020-10-06,8,0.0,0,2021,INACT.TEMP.
3180,A,2020-01-01,8,0.0,0,2021,INACT.TEMP.
10618,A,2020-10-15,1,6600.0,26135,2021,der.inscr.
8925,A,2020-10-15,1,6600.0,26137,2021,der.inscr.
8716,A,2020-10-15,1,6600.0,26138,2021,der.inscr.
8565,A,2020-10-16,1,6600.0,26159,2021,der.inscr.
6118,A,2020-10-16,1,6600.0,26160,2021,der.inscr.
9249,A,2020-10-16,1,2200.0,26161,2021,1/3 cuota
6927,A,2020-10-19,1,2200.0,26187,2021,1/3 cuota
9431,A,2020-10-19,1,6600.0,26188,2021,der.inscr.
2356,A,2020-10-20,4,6600.0,0,2021,RESOL.92/04
7174,A,2020-10-16,1,600.0,26162,2021,a cuenta
7170,A,2020-10-16,1,600.0,26163,2021,a cuenta
9566,A,2020-10-19,1,600.0,19411,2021,a cuenta
6755,A,2020-10-20,1,2200.0,26193,2021,1/3 cuota
8351,A,2020-10-20,1,3300.0,26195,2021,1/2 cuota
8351,A,2020-10-20,1,3300.0,26196,2021,2/2 cancela
9569,A,2020-10-20,1,6600.0,26201,2021,der.inscr.
8908,A,2020-10-20,1,2200.0,26202,2021,1/3 cuota
8036,A,2020-10-20,1,6600.0,26203,2021,der.inscr.
9114,A,2020-10-20,1,600.0,26204,2021,a cuenta
6611,A,2020-10-20,1,600.0,26206,2021,a cuenta
9146,A,2020-10-20,1,2200.0,26207,2021,1/3 cuota
8233,A,2020-10-20,1,6600.0,26208,2021,der.inscr.
4821,A,2020-10-22,4,6600.0,0,2021,RESOL.92/04
11012,A,2020-10-16,1,2000.0,26165,2021,MATRIC.1/3
2935,A,2020-10-22,4,6600.0,0,2021,RESOL.92/04
6967,A,2020-10-22,1,6600.0,26228,2021,der.inscr.
6389,A,2020-10-22,1,6600.0,26238,2021,der.inscr.
10762,A,2020-10-23,1,6600.0,26255,2021,der.inscr.
7089,A,2020-10-23,1,6600.0,26259,2021,der.inscr.
8078,A,2020-10-23,1,2200.0,26261,2021,1/3 cuota
2641,A,2020-10-26,4,6600.0,0,2021,RESOL.92/04
9176,A,2020-10-26,1,6600.0,6806,2021,der.insc.
5300,A,2020-10-27,1,6600.0,19488,2021,der.inscr.
8106,A,2020-10-27,1,6600.0,26291,2021,der.inscr.
8334,A,2020-10-27,1,2200.0,26292,2021,1/3 cuota
10774,A,2020-10-28,1,6600.0,26296,2021,der.inscr.
11017,A,2020-10-23,1,5000.0,26258,2021,matriculac.
5323,A,2020-10-29,4,6600.0,0,2021,RESOL.92/04
11015,A,2020-10-21,1,5000.0,6793,2021,MATRICULAC.
11014,A,2020-10-21,1,5000.0,6794,2021,MATRICULAC.
6915,A,2020-10-30,1,6100.0,26344,2021,1/6 plan
7800,A,2020-10-29,1,2200.0,26315,2021,1/3 cuota
8908,A,2020-10-29,1,2200.0,26316,2021,2/3 cuota
5224,A,2020-10-29,1,6600.0,26318,2021,der.inscr.
7498,A,2020-10-29,1,2200.0,26320,2021,1/3 cuota
6477,A,2020-10-29,1,2200.0,26321,2021,1/3 cuota
6071,A,2020-11-02,4,6600.0,0,2021,RESOL.92/04
8612,A,2020-10-30,1,2200.0,26334,2021,1/3 cuota
9787,A,2020-10-30,1,6600.0,26341,2021,der.inscr.
8725,A,2020-10-30,1,2200.0,26342,2021,1/3 cuota
9359,A,2020-10-30,1,3300.0,26343,2021,1/2 cuota
8153,A,2020-10-05,1,1650.0,6733,2021,a cuenta
7639,A,2020-10-05,1,2200.0,6736,2021,1/3 cuota
10369,A,2020-10-06,1,500.0,6741,2021,a cuenta
8894,A,2020-10-06,1,6600.0,2907,2021,der.inscr.
6710,A,2020-10-07,1,6600.0,2908,2021,der.inscr.
5653,A,2020-10-07,1,6600.0,6751,2021,der.inscr.
8991,A,2020-10-09,1,2200.0,6762,2021,13 cuota
10434,A,2020-10-15,1,2200.0,6771,2021,1/3 cuota
8881,A,2020-10-16,1,2200.0,6779,2021,1/3 cuota
9845,A,2020-10-22,1,2200.0,2923,2021,1/3 cuota
6148,A,2020-10-27,1,6600.0,6807,2021,der.inscr.
10836,A,2020-11-02,1,6600.0,26361,2021,der.inscr.
9828,A,2020-11-02,1,2200.0,26362,2021,1/ cuota
3792,A,2020-11-04,4,6600.0,0,2021,RESOL.92/04
11016,A,2020-10-30,1,5000.0,26345,2021,MATRICULAC.
11018,A,2020-11-02,1,5000.0,26366,2021,MATRICULAC.
11019,A,2020-11-02,1,5000.0,26367,2021,MATRICULAC.
8286,A,2020-11-04,1,6600.0,26394,2021,der.inscr.
9290,A,2020-11-04,1,6600.0,26402,2021,der.inscr.
7013,A,2020-11-04,1,6600.0,19588,2021,der.inscr.
7062,A,2020-11-04,1,6600.0,19588,2021,der.inscr.
7980,A,2020-11-04,1,6600.0,19588,2021,der.inscr.
10034,A,2020-11-04,1,6600.0,19588,2021,der.inscr.
9679,A,2020-11-04,1,6600.0,26403,2021,der.inscr.
8011,A,2020-11-04,1,6600.0,26406,2021,der.inscr.
11013,A,2020-10-20,1,5000.0,19419,2021,matric
3033,A,2020-11-06,4,6600.0,0,2021,RESOL.92/04
10877,A,2020-11-05,1,6600.0,26413,2021,der.inscr.
10030,A,2020-11-05,1,20700.0,19599,2021,der.inscr.
11020,A,2020-11-06,8,0.0,0,2021,PLAN REINSCE
11020,A,2020-11-06,3,6600.0,0,2021,CONVENIO
2669,A,2020-11-06,4,6600.0,0,2021,RESOL.92/04
7008,A,2020-10-19,1,2200.0,2906,2021,1/3
8259,A,2020-10-21,1,2200.0,2914,2021,1/3
6001,A,2020-10-21,1,2200.0,2915,2021,1/3
10153,A,2020-10-26,1,2250.0,2924,2021,1/3
10308,A,2020-10-26,1,2200.0,2928,2021,1/3
8259,A,2020-10-27,1,2200.0,2930,2021,2/3
10942,A,2020-10-29,1,2200.0,2937,2021,1/3
6927,A,2020-11-06,1,2200.0,26437,2021,2/3 cuota
9784,A,2020-11-06,1,2200.0,26438,2021,2/3 cuota
5054,A,2020-11-10,4,6600.0,0,2021,RESOL.92/04
10908,A,2020-11-10,1,6600.0,26451,2021,der.inscr.
9146,A,2020-11-10,1,2200.0,26452,2021,2/3 cuota
3179,A,2020-11-11,4,6600.0,0,2021,RESOL.92/04
10922,A,2020-11-11,1,3300.0,26463,2021,1/2cuota
8334,A,2020-11-12,1,2200.0,26484,2021,2/3 cuota
10845,A,2020-11-13,1,6600.0,26487,2021,der.inscr.
9062,A,2020-11-13,1,6600.0,26488,2021,der.inscr.
9774,A,2020-11-13,1,6600.0,19665,2021,der.inscr.
7800,A,2020-11-13,1,2200.0,26497,2021,2/3 cuota
8611,A,2020-11-13,1,6600.0,26498,2021,der.inscr.
7092,A,2020-11-13,1,6600.0,19682,2021,der.inscr.
11022,A,2020-11-16,1,5000.0,26521,2021,matriculac.
8158,A,2020-11-16,1,6600.0,26520,2021,der.inscr.
6858,A,2020-11-16,1,6600.0,19708,2021,der.inscr.
9828,A,2020-11-16,1,2200.0,26541,2021,2/3 cuota
8908,A,2020-11-18,1,2200.0,26546,2021,3/3 cuota
10871,A,2020-11-18,1,6600.0,26548,2021,der.inscr.
11021,A,2020-11-16,1,5000.0,19686,2021,MATRIC.
5928,A,2020-11-18,1,6600.0,19721,2021,der.inscr.
8055,A,2020-11-18,1,6600.0,26553,2021,der.inscr.
6196,A,2020-11-18,1,6600.0,26555,2021,der.inscr.
10967,A,2020-11-18,1,3300.0,26556,2021,1/2 cuota
7779,A,2020-11-18,1,6600.0,19733,2021,der.inscr.
7479,A,2020-11-18,1,6600.0,26570,2021,der.inscr.
7398,A,2020-11-19,1,2200.0,26583,2021,1/3 cuota
5729,A,2020-11-19,8,0.0,0,2021,actividad
5729,A,2020-11-19,1,2200.0,26584,2021,1/3 cuota
11023,A,2020-11-20,1,5000.0,19750,2021,MATRICULAC.
11024,A,2020-11-20,1,5000.0,26621,2021,matriculac.
5742,A,2020-11-25,4,6600.0,0,2021,RESOL.92/04
7284,A,2020-11-20,1,3300.0,26594,2021,1/2 cuota
8677,A,2020-11-20,1,6600.0,19747,2021,der.inscr.
7140,A,2020-11-20,1,3300.0,26604,2021,1/2 cuota
7209,A,2020-11-20,1,3300.0,26605,2021,der.inscr.
10432,A,2020-11-20,1,6600.0,26616,2021,der.inscr.
8496,A,2020-11-20,1,6600.0,26617,2021,der.inscr.
9471,A,2020-11-20,1,20700.0,11977,2021,der.inscr.
10391,A,2020-11-20,1,6600.0,26626,2021,der.inscr.
10196,A,2020-11-20,1,6600.0,26630,2021,der.inscr.
8078,A,2020-11-24,1,2200.0,26631,2021,2/3 cuota
6254,A,2020-11-24,1,6600.0,26632,2021,der.inscr.
9521,A,2020-12-31,8,0.0,0,2021,SOLIC.BAJA
8122,A,2020-12-31,8,0.0,0,2021,SOLIC.BAJA
6091,A,2020-11-25,1,3300.0,26638,2021,1/2 cuota
6596,A,2020-11-25,1,6600.0,26651,2021,der.inscr.
1817,A,2020-11-26,4,6600.0,0,2021,RESOL.92/04
3573,A,2020-11-25,4,6600.0,0,2021,RESOL.92/04
10213,A,2020-11-26,1,6600.0,26662,2021,der.inscr.
9786,A,2020-11-26,1,6600.0,26679,2021,der.inscr.
8612,A,2020-11-26,1,2200.0,26680,2021,2/3 cuota
10847,A,2020-11-27,1,6600.0,19842,2021,der.inscr.
8287,A,2020-11-27,1,6600.0,26689,2021,der.inscr.
11027,A,2020-11-27,1,5000.0,26681,2021,MATRICULAC.
4696,A,2020-11-30,1,6600.0,26691,2021,der.inscr.
9828,A,2020-11-30,1,2200.0,26698,2021,3/3 cuota
7653,A,2020-11-30,1,6600.0,26699,2021,der.inscr.
8927,A,2020-11-30,1,6600.0,26700,2021,der.inscr.
8725,A,2020-11-30,1,4400.0,26703,2021,2-3/3 canc.
9403,A,2020-11-30,1,6600.0,26708,2021,der.inscr.
8276,A,2020-11-30,1,6600.0,19848,2021,der.inscr.
7517,A,2020-10-05,1,3300.0,2884,2021,1/2 cuotas
10368,A,2020-11-06,1,3300.0,6850,2021,1/2 cuota
8153,A,2020-11-09,1,3000.0,6857,2021,a cuenta
7626,A,2020-11-09,1,6600.0,6858,2021,der.inscr.
8991,A,2020-11-10,1,2200.0,6864,2021,2/3 cuota
10434,A,2020-11-11,1,2500.0,6868,2021,a cuenta
8913,A,2020-11-16,1,6600.0,6876,2021,der.inscr.
7760,A,2020-11-16,1,6600.0,6877,2021,der.inscr.
9845,A,2020-11-24,1,2200.0,2953,2021,2/3 cuota
7949,A,2020-11-25,1,3300.0,2956,2021,1/2 cuota
7639,A,2020-11-30,1,4400.0,6920,2021,2-3/3 cancel
