MATRIC,CATEGO,FECHA,CPTO,IMPORTE,RECIBO,ANHABIL,DETALLE
1752,A,2007-02-01,1,80.0,19199,2007,1-2/4 ctas.
7585,A,2007-02-01,1,160.0,19200,2007,der.inscr.
2323,A,2007-02-01,1,160.0,19202,2007,der.inscr
6633,A,2007-02-01,1,160.0,12183,2007,der.inscr.
8078,A,2007-02-01,1,160.0,19207,2007,der.inscr.
7456,A,2007-02-02,1,160.0,19209,2007,DER.INSCR.
7972,A,2007-02-02,1,160.0,19210,2007,der.inscr.
6887,A,2007-02-02,1,160.0,19215,2007,der.inscr.
7986,A,2007-02-02,1,160.0,19217,2007,der.inscr.
7312,A,2007-02-02,1,160.0,19220,2007,der.inscr.
5023,A,2007-02-02,1,160.0,12193,2007,der.inscr.
7268,A,2007-02-02,1,160.0,19222,2007,der.inscr.
2297,A,2007-02-02,1,160.0,19223,2007,der.inscr.
4499,A,2007-02-02,1,160.0,19224,2007,der.inscr.
7313,A,2007-02-02,1,40.0,19226,2007,1/4 cuota
8263,A,2007-02-02,1,160.0,19228,2007,der.inscr.
7459,A,2007-02-02,1,160.0,19229,2007,der.inscr
8455,A,2007-02-02,1,160.0,19230,2007,der.inscr.
7669,A,2007-02-05,1,160.0,19233,2007,der.inscr.
4373,A,2007-02-05,1,160.0,19235,2007,der.inscr.
4370,A,2007-02-05,1,160.0,19236,2007,der.inscr.
7516,A,2007-02-05,1,160.0,19238,2007,der.inscr.
7110,A,2007-02-05,1,80.0,19241,2007,1-2/4 cuotas
2248,A,2007-02-05,1,160.0,12199,2007,der.inscr.
7985,A,2007-02-05,1,160.0,12199,2007,der.inscr.
6017,A,2007-02-05,1,160.0,19243,2007,der.inscr.
7849,A,2007-02-05,1,160.0,19249,2007,der.inscr.
8261,A,2007-02-05,1,80.0,12203,2007,1-2/4 cuotas
7944,A,2007-02-06,1,160.0,19250,2007,der.inscr.
7180,A,2007-02-06,1,160.0,19251,2007,der.inscr.
8459,A,2007-02-06,1,160.0,19253,2007,der.inscr.
6918,A,2007-02-06,1,80.0,19259,2007,1-2/4 cuotas
6855,A,2007-02-06,1,40.0,19263,2007,1/4 cuota
1733,A,2007-02-06,1,160.0,19265,2007,der.inscr.
7846,A,2007-02-06,1,160.0,19266,2007,der.inscr.
8439,A,2007-02-06,1,160.0,12211,2007,der.inscr.
7603,A,2007-02-06,1,160.0,12217,2007,der.inscr.
6863,A,2007-02-06,1,160.0,19272,2007,der.inscr.
7606,A,2007-02-06,1,160.0,19273,2007,der.inscr.
5056,A,2007-02-07,1,160.0,19276,2007,der.inscr.
8476,A,2007-02-07,1,40.0,19279,2007,1/4 cuota
3729,A,2007-02-07,1,160.0,12222,2007,der.inscr.
7614,A,2007-02-07,1,80.0,19286,2007,1-2/4 ctas.
6764,A,2007-02-07,1,160.0,12226,2007,der.inscr.
5454,A,2007-02-07,1,120.0,12227,2007,der.inscr.
7285,A,2007-02-07,1,40.0,19291,2007,1/4 cuota
1837,A,2007-02-08,1,160.0,12229,2007,DER.INSCR.
7044,A,2007-02-08,1,160.0,19299,2007,der.inscr.
6487,A,2007-02-08,1,160.0,12231,2007,der.inscr.
7742,A,2007-02-08,1,160.0,19314,2007,der.inscr.
7130,A,2007-02-08,1,40.0,19315,2007,1/4 cuota
5597,A,2007-02-08,1,160.0,19318,2007,der.inscr.
7242,A,2007-02-08,1,160.0,19321,2007,der.inscr.
8602,A,2007-02-07,1,40.0,19285,2007,1/4 cuota
8477,A,2007-02-09,1,160.0,19342,2007,der.inscr.
4194,A,2007-02-09,1,40.0,12233,2007,1/4 cuota
6567,A,2007-02-09,1,160.0,19328,2007,der.inscr.
4698,A,2007-02-09,1,160.0,19329,2007,der.inscr.
7536,A,2007-02-09,1,160.0,19331,2007,der.inscr.
4745,A,2007-02-09,1,40.0,19334,2007,1/4 cuota
8290,A,2007-02-12,1,160.0,19347,2007,der.inscr.
2674,A,2007-02-12,1,160.0,19349,2007,der.inscr.
2670,A,2007-02-12,1,160.0,12246,2007,der.inscr.
7140,A,2007-02-12,1,160.0,12247,2007,DER.INSCR.
8505,A,2007-02-13,1,160.0,19362,2007,der.inscr.
4658,A,2007-02-13,1,40.0,19368,2007,1/4 cuota
1840,A,2007-02-13,1,160.0,12252,2007,der.inscr.
7613,A,2007-02-13,1,40.0,19372,2007,1/4 cuota
7833,A,2007-02-13,1,160.0,19374,2007,der.inscr.
7077,A,2007-02-13,1,40.0,19375,2007,1/4 cuota
