MATRIC,CATEGO,FECHA,CPTO,IMPORTE,RECIBO,ANHABIL,DETALLE
2556,EM,2007-02-01,1,430.0,12183,2007,DER.INSCR.
2250,EM,2007-02-02,1,430.0,12193,2007,der.inscr.
2635,EM,2007-02-05,1,430.0,19240,2007,der.inscr.
2022,EM,2007-02-05,1,430.0,12199,2007,der.inscr.
2739,EM,2007-02-05,1,430.0,12202,2007,der.inscr.
2738,EM,2007-02-05,1,430.0,12201,2007,der.inscr.
2658,EM,2007-02-06,1,430.0,12216,2007,der.inscr.
1933,EM,2007-02-07,1,430.0,12226,2007,der.inscr.
2740,EM,2007-02-07,1,430.0,12220,2007,der.inscr.
2542,EM,2007-02-08,1,430.0,12229,2007,der.inscr.
2523,EM,2007-02-08,1,430.0,12230,2007,der.inscr.
2688,EM,2007-02-09,1,430.0,19331,2007,der.inscr.
2354,EM,2007-02-13,1,430.0,12248,2007,der.inscr.
2742,EM,2007-02-14,1,430.0,12259,2007,der.inscr.
2743,EM,2007-02-14,1,430.0,12268,2007,der.inscr.
2707,EM,2007-02-14,1,430.0,12255,2007,der.inscr.
1941,EM,2007-02-14,1,430.0,12256,2007,der.inscr.
2268,EM,2007-02-14,1,430.0,12262,2007,der.inscr.
2685,EM,2007-02-14,1,1720.0,12265,2007,der.inscr.
2330,EM,2007-02-15,1,200.0,19406,2007,a cuenta
1993,EM,2007-02-15,1,430.0,12271,2007,der.inscr.
2741,EM,2007-02-13,1,430.0,12251,2007,DER.INSCR.
137,EM,2007-02-16,1,430.0,12278,2007,der.inscr.
2650,EM,2007-02-16,1,430.0,19436,2007,der.inscr.
1100,EM,2007-02-19,1,430.0,12285,2007,der.inscr.
2613,EM,2007-02-19,1,430.0,12287,2007,der.inscr.
2575,EM,2007-02-20,1,430.0,12290,2007,der.inscr.
2620,EM,2007-02-20,1,430.0,12295,2007,der.inscr.
2744,EM,2007-02-21,1,430.0,12303,2007,der.insc.
2204,EM,2007-02-01,1,430.0,1264,2007,der.inscr.
