MATRIC,CATEGO,FECHA,CPTO,IMPORTE,RECIBO,ANHABIL,DETALLE
7464,A,2007-10-01,1,95.0,13924,2005,5/8 a cta.
6013,A,2007-10-01,3,0.0,0,2005,eximido
7464,A,2007-10-01,9,42.0,13924,2005,5/8 int
6013,A,2007-10-01,3,0.0,0,2006,eximido
8105,A,2007-10-01,1,160.0,22465,2007,der.inscr.
5009,A,2007-10-01,1,200.0,22467,2007,der.inscr.
7085,A,2007-10-01,1,45.0,22479,2007,2/4 cuota
6013,A,2007-10-01,1,160.0,22492,2007,der.inscr.
8105,A,2007-10-01,9,19.0,22465,2007,int.
4651,A,2007-10-02,1,86.0,22513,2006,cancel.total
3261,A,2007-10-02,1,160.0,13935,2007,der.insc.
3261,A,2007-10-02,9,22.0,13935,2007,recargo
8719,A,2007-10-02,1,0.0,13936,2007,der.insc.
8196,A,2007-10-03,1,160.0,22545,2007,der.insc.
8196,A,2007-10-03,9,22.0,22545,2007,recargo
8183,A,2007-10-05,1,90.0,22589,2004,cancela
8183,A,2007-10-05,2,75.0,22589,2004,gastos
8183,A,2007-10-05,1,120.0,22589,2005,der.inscr.
8183,A,2007-10-05,1,120.0,22589,2006,der.inscr.
8183,A,2007-10-05,9,93.0,22589,2006,int.
3416,A,2007-10-05,1,160.0,22568,2007,DER.INSCR.
6453,A,2007-10-05,1,160.0,22579,2007,der.inscr.
7816,A,2007-10-05,1,160.0,22588,2007,der.inscr.
8183,A,2007-10-05,1,160.0,22589,2007,der.inscr.
3416,A,2007-10-05,9,22.0,22568,2007,int.
6453,A,2007-10-05,9,22.0,22579,2007,int.
7816,A,2007-10-05,9,22.0,22588,2007,int.
8183,A,2007-10-05,9,22.0,22589,2007,int.
5910,A,2007-10-09,1,120.0,22613,2007,cancel.total
5910,A,2007-10-09,9,15.0,22613,2007,recargo
2477,EM,2007-12-19,9,6.5,1274,2007,int.
1222,A,2007-10-05,3,120.0,0,2002,eximicin
1222,A,2007-10-05,3,120.0,0,2003,eximicin
1222,A,2007-10-05,3,120.0,0,2004,eximicin
1222,A,2007-10-05,3,120.0,0,2005,eximicin
1222,A,2007-10-05,3,120.0,0,2006,eximicin
1222,A,2007-10-05,4,160.0,0,2007,resol.92/04
8159,A,2007-10-08,1,120.0,13970,2005,der.inscr.
8159,A,2007-10-08,1,120.0,13970,2006,der.inscr.
8159,A,2007-10-08,9,100.0,13970,2006,int.
8159,A,2007-10-08,1,160.0,13970,2007,der.inscr.
8159,A,2007-10-08,9,22.0,13970,2007,int.
8133,A,2007-10-08,1,160.0,22604,2007,der.inscr.
8133,A,2007-10-08,9,22.0,22604,2007,int.
6780,A,2007-10-08,1,160.0,22594,2007,der.inscr.
6780,A,2007-10-08,9,22.0,22594,2007,int.
2521,EM,2007-10-08,1,330.0,13970,2006,der.inscr.
2521,EM,2007-10-08,1,430.0,13970,2007,der.inscr.
2521,EM,2007-10-08,9,167.0,13970,2007,int.
7464,A,2007-10-10,1,95.0,14000,2006,6/8 cuotas
