MATRIC,CATEGO,FECHA,CPTO,IMPORTE,RECIBO,ANHABIL,DETALLE
8004,A,5202-08-18,0,0.0,0,0,
10607,A,2211-03-17,a,0.0,0,0,
6766,A,2302-04-05,1,0.0,0,0,
7432,A,2202-09-16,2,0.0,0,0,
8361,A,2221-10-12,1,4067.0,35607,2022,6/6 cancel.
10762,A,2023-12-14,1,19800.0,36754,2023,der.inscr.
9452,A,2023-12-28,1,0.0,0,0,
7993,A,2023-12-29,1,19800.0,28528,2023,der.inscr.
3794,EM,2031-05-05,1,109000.0,4750,2023,INSC.+HABIL.
8512,A,2023-12-12,1,19800.0,4245,2023,der.inscr.
8025,A,2023-11-17,1,19800.0,4208,2023,der.inscr.
2325,EM,2023-10-03,1,43900.0,32035,2023,der.insc.
11428,A,2023-10-02,1,24600.0,40569,2023,MATR.+HAB.
11428,A,2023-10-02,1,24600.0,40569,2024,DER.INSC.
7536,A,2023-10-03,1,19800.0,40579,2023,der.inscr.
11429,A,2023-10-04,1,24600.0,40584,2023,MATR.+HAB.
11429,A,2023-10-04,1,24600.0,40584,2024,DER.INSC.
7279,A,2023-10-04,1,13000.0,40592,2024,1/3 cuota
6118,A,2023-10-04,1,13000.0,40595,2024,1/3 cuota
6776,A,2023-10-01,1,19800.0,32018,2022,der.inscr.
6776,A,2023-10-01,1,19800.0,32018,2023,der.inscr.
10714,A,2023-10-04,1,19800.0,40593,2023,der.inscr.
7919,A,2023-10-04,1,19800.0,40582,2023,der.inscr.
10988,A,2023-10-04,1,19800.0,40560,2023,der.inscr.
8179,A,2023-10-03,1,19800.0,40567,2023,der.inscr.
6654,A,2023-10-02,8,0.0,40559,2023, plan 20-23
6654,A,2023-10-02,1,13200.0,40559,2020,1/6 cuota
10794,A,2023-10-04,1,39000.0,40588,2024,der.inscr.
8721,A,2023-10-04,1,5500.0,40583,2023,9/11 cuota
8596,A,2023-10-06,8,99000.0,32103,2023,REINSCRIPC.
8596,A,2023-10-06,1,39000.0,32103,2024,DER.INSC.
10057,A,2023-10-05,1,39000.0,40608,2024,der.inscr.
8286,A,2023-10-05,1,39000.0,40619,2024,der.inscr.
10476,A,2023-10-05,1,19800.0,32081,2022,der.inscr.
10476,A,2023-10-05,1,19800.0,32081,2023,der.inscr.
3507,EM,2023-10-05,1,43900.0,32081,2022,der.inscr.
3507,EM,2023-10-05,1,43900.0,32081,2023,der.inscr.
8296,A,2023-10-06,1,19800.0,40626,2023,der.insc.
7821,A,2023-10-06,1,19800.0,40646,2023,der.insc.
3560,EM,2023-10-06,1,21950.0,40620,2021,der.insc.
3560,EM,2031-10-06,1,21950.0,40620,2022,der.insc.
3560,EM,2023-10-06,1,21950.0,40620,2023,"der.insc,"
6802,A,2023-10-06,1,19800.0,40629,2021,der.insc.
6802,A,2023-10-06,1,19800.0,40629,2022,der.insc.
6802,A,2023-10-06,1,19800.0,40629,2023,der.insc.
8504,A,2023-10-06,1,19800.0,40625,2023,der.insc.
6176,A,2023-10-06,1,39000.0,40645,2024,DER.INSC.
7980,A,2023-10-06,1,19800.0,40623,2023,DER.INSC.
7099,A,2023-10-09,1,0.0,0,2024,REINSC+2024
7099,A,2023-10-09,1,27600.0,40661,2024,1/5 PLAN
7304,A,2023-10-10,1,9900.0,40676,2023,4/4 Cancelac
7170,A,2023-10-09,1,19800.0,40657,2022,DER.INSC.
7170,A,2023-10-09,1,19800.0,40657,2023,DER.INSC.
6912,A,2023-10-09,1,39000.0,40656,2024,DER.INSC.
10805,A,2023-10-09,1,9900.0,40658,2023,5/6 cuotas
3816,EM,2023-10-10,1,0.0,0,0,
3816,EM,2023-10-06,1,61800.0,32099,2024,INSC.+ HABIL
3116,EM,2023-10-06,1,43900.0,32101,2021,der.insc.
3116,EM,2023-10-06,1,43900.0,32101,2022,der.insc.
3116,EM,2023-10-06,1,43900.0,32101,2023,der.insc.
9202,A,2023-10-06,1,19800.0,32101,2021,der.insc.
9202,A,2023-10-06,1,19800.0,32101,2022,der.insc.
9202,A,2023-10-06,1,19800.0,32101,2023,der.isnc.
4878,A,2023-10-10,8,0.0,0,2020,RENOV.INACT.
4878,A,2023-10-10,8,0.0,0,2021,RENOV.INACT.
4878,A,2023-10-10,8,0.0,0,2022,RENOV.INACT.
4878,A,2023-10-10,8,0.0,0,2023,RENOV.INACT.
4878,A,2023-10-10,8,0.0,0,2024,RENOV.INACT.
4093,A,2023-10-06,1,19800.0,40631,2023,der.inscr.
6538,A,2023-10-06,1,6600.0,40652,2021,4/6 cuota
6538,A,2023-10-06,1,6600.0,40653,2021,5/6 cuota
8725,A,2023-10-10,1,13000.0,40680,2024,der.insc.1/4
448,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
651,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
663,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
696,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
728,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
733,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
747,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
766,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
802,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
813,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
851,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
852,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
862,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
965,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
981,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1044,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1093,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1113,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1169,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1185,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1187,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1193,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1213,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1222,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1228,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1266,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1267,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1273,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1277,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1352,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1379,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1426,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1449,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1474,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1505,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1538,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1578,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1609,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1634,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1635,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1667,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1672,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1675,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1733,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1757,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1760,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1778,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1791,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1792,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1796,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1817,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1828,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1840,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1841,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1845,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1849,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1852,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1861,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1869,A,2023-10-01,3,39000.0,0,2023,FALLECIDO
1900,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1914,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1929,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1933,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1935,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1946,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1953,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
1955,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2025,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2036,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2045,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2062,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2076,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2091,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2128,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2132,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2157,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2161,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2163,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2164,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2210,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2222,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2233,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2237,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2248,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2293,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2323,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2326,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2345,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2348,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2356,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2375,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2386,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2395,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2405,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2424,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2441,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2470,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2485,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2486,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2527,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2552,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2585,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2586,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2600,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2641,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2646,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2647,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2653,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2657,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2658,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2666,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2669,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2670,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2674,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2678,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2680,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2688,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2728,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2732,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2737,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2746,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2752,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2753,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2759,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2762,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2767,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2774,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2797,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2816,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2821,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2831,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2833,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2834,A,2023-10-01,3,39000.0,0,2024,FALLECIDO
2835,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2888,A,2023-10-01,3,0.0,0,2023,FALLECIDO
2908,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2914,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2932,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2935,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2976,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2985,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
2988,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3033,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3038,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3044,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3058,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3097,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3102,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3103,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3124,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3125,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3162,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3173,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3179,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3180,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3182,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3191,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3200,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3205,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3256,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3274,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3290,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3307,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3321,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3326,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3336,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3359,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3386,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3388,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3416,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3429,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3435,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3436,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3471,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3482,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3507,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3529,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3530,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
3532,A,2023-10-01,4,39000.0,,2024,Resol.92/04.
