NUMIND,CODTIT,NOMTIT,INSCRI,HABILI,CARNDE,FALLEC,PADRON,BAJAS
247,OLE,,0,0,0,0,,
124,F03,AGRICULTORES ENOLOGOS NACIONALES,0,0,0,0,A,
66,701,AGRIMENSORES,0,0,0,0,Z,
67,702,AGRIMENSORES NACIONALES,0,0,0,0,Z,
137,F01,AGRONOMO,0,0,0,0,8,
202,302,ANALISTAS UNIV.EN GESTION AMBIENTAL,0,0,0,0,2,
61,301,ARQUITECTOS,0,0,0,0,Z,
150,K01,AUXILIARES TECNICOS ELECTRICISTAS,0,0,0,0,Z,
174,A22,BACH.TCO.IND.MINEROS,0,0,0,0,7,
113,A15,BACHS. AGRICULTORES ENOLOGOS,0,0,0,0,A,
107,A09,BACHS. AGRICULTORES Y ENOLOGOS,0,0,0,0,A,
100,A02,BACHS. ELECTROTECNICOS,0,0,0,0,7,
110,A12,BACHS. ENOLOGOS,0,0,0,0,A,
108,A10,BACHS. ENOTECNICOS,0,0,0,0,A,
105,A07,BACHS. TECNICOS AGRARIOS,0,0,0,0,A,
103,A05,BACHS. Y AGRICULTORES ENOLOGOS,0,0,0,0,A,
101,A03,BACHS. Y ELECTROTECNICOS,0,0,0,0,7,
112,A14,BACHS. Y ENOLOGOS NACIONALES,0,0,0,0,A,
102,A04,BACHS. Y TECNICOS ELECTRICISTAS,0,0,0,0,7,
118,A20,BACHS.AGRS.Y TCOS.AGRS. ENOLOGOS,0,0,0,0,A,
111,A13,BACHS.ENOLOGOS FRUTIOLIVICULTORES,0,0,0,0,A,
115,A17,BACHS.ENOLOGOS OLIVICULTORES,0,0,0,0,A,
166,A21,BACHS.TCOS.VIT.FR.HORT.AP.AUX.QCOS.,0,0,0,0,A,
114,A16,BACHS.TECNICOS AGRARIOS ENOLOGOS,0,0,0,0,A,
99,A01,BACHS.TECNICOS ELECTRICISTAS,0,0,0,0,7,
117,A19,BACHS.Y AGRICULTORES NACIONALES,0,0,0,0,A,
109,A11,BACHS.Y TECNICOS AGRARIOS ENOLOGOS,0,0,0,0,A,
106,A08,BACHS.Y TECNICOS AGRIC. ENOLOGOS,0,0,0,0,A,
116,A18,BACHS.Y TECNICOS EN MOTORES,0,0,0,0,7,
104,A06,BACHS.Y TECNICOS QUIMICOS INDUSTR.,0,0,0,0,7,
203,150,BIOINGENIEROS,40,18,0,0,2,
62,401,BROMATOLOGOS,7,1,5,0,3,
145,H07,CONSTRUCTORES,0,0,0,0,9,
70,705,CONSTRUCTORES  'A',1,0,0,0,1,
156,N04,CONSTRUCTORES 2da. CATEGORIA,0,0,0,0,9,
154,N02,"CONSTRUCTORES 3ra. CAT. ""D""",0,0,0,0,9,
153,N01,"CONSTRUCTORES CAT. ""D""",0,0,0,0,9,
162,Q01,"CONSTRUCTORES CAT. ""E""",0,0,0,0,9,
141,H03,"CONSTRUCTORES CATEGORIA ""C""",0,0,0,0,9,
142,H04,CONSTRUCTORES DE 3ra. CATEGORIA,0,0,0,0,9,
139,H01,CONSTRUCTORES DE EDIFICIOS,0,0,0,0,9,
140,H02,CONSTRUCTORES DE O.S.DE 1a.CATEG.,0,0,0,0,9,
157,N05,CONSTRUCTORES DE O.S.DE 1ra. CAT.,0,0,0,0,Z,
158,N06,CONSTRUCTORES DE O.S.DE 2da. CAT.,0,0,0,0,Z,
144,H06,CONSTRUCTORES DE O.S.DE 2da.CAT.,0,0,0,0,Z,
143,H05,CONSTRUCTORES DE OBRAS,0,0,0,0,9,
138,G01,DIBUJANTES CONTRUCTORES,0,0,0,0,9,
161,P01,DIBUJANTES TECNICOS,0,0,0,0,9,
65,602,DOCTORES EN CIENCIAS GEOLOGICAS,0,0,0,0,5,
64,601,DOCTORES EN CIENCIAS NATURALES,0,0,0,0,5,
155,N03,"ELECTRICISTAS CAT. ""D""",0,0,0,0,Z,
163,R01,"ELECTRICISTAS CAT. ""E""",0,0,0,0,Z,
119,B01,ELECTROTECNICOS,0,0,0,0,7,
133,E09,ENOLOGOS,0,0,0,0,A,
125,E01,ENOLOGOS FRUTIOLIV. Y BACHS.,0,0,0,0,A,
130,E06,ENOLOGOS IDONEOS,0,0,0,0,A,
129,E05,ENOLOGOS VITIVINICULTORES,0,0,0,0,A,
135,E11,ENOTECNICOS,0,0,0,0,A,
147,I02,"EXPERTOS ELECTRICISTAS ""C""",0,0,0,0,Z,
160,O02,"EXPERTOS ELECTRICISTAS ""D""",0,0,0,0,Z,
146,I01,EXPERTOS ELECTROMECANICOS,0,0,0,0,Z,
159,O01,EXPERTOS EN ELECTRICIDAD,0,0,0,0,Z,
148,I03,EXPERTOS EN INSTALAC.ELECTRICAS,0,0,0,0,Z,
127,E03,FRUTICULTORES ENOLOGOS,0,0,0,0,A,
63,501,GEOLOGOS,15,2,0,0,5,
243,096,ING. EN TECNOLOGIA DE ALIMENTOS,1,1,0,0,3,
37,038,INGENIEROS AGRIMENSORES,0,0,0,0,6,
227,068,INGENIEROS AGROINDUSTRIALES,0,0,0,0,3,
33,034,INGENIEROS AGROMECANICOS,0,0,0,0,3,
32,033,INGENIEROS AGRONOMOS,754,198,104,0,3,
217,074,INGENIEROS AMBIENTALES,1,0,0,0,2,
233,094,INGENIEROS BIOMEDICOS,2,1,0,0,2,
232,093,INGENIEROS BIOQUIMICOS,0,0,0,0,2,
248,001,INGENIEROS CIVILES,1297,629,199,0,1,
41,042,INGENIEROS CIVILES E HIDRAULICOS,6,3,2,0,1,
35,036,INGENIEROS DE MINAS,2,0,1,0,5,
192,028,INGENIEROS DE PETRLEO,37,13,7,0,2,
15,017,INGENIEROS ELECTRICISTAS,31,14,9,0,2,
211,052,INGENIEROS ELECTRICOS,2,0,1,0,2,
7,009,INGENIEROS ELECTROMECANICOS,441,196,78,0,2,
18,020,INGENIEROS ELECTRONICOS,5,2,0,0,2,
235,055,INGENIEROS ELECTRONICOS OR. TELECOMUNICACIONES,0,0,0,0,2,
228,054,INGENIEROS EN ALIMENTOS,2,1,0,0,3,
43,044,INGENIEROS EN AUTOMOTORES,0,0,0,0,2,
26,029,INGENIEROS EN COMBUSTIBLES,1,0,1,0,2,
197,061,INGENIEROS EN COMPUTACION,1,1,0,0,2,
224,002,INGENIEROS EN CONSTRUCCIONES,438,271,78,0,1,
19,021,INGENIEROS EN ELECTRONICA,68,22,19,0,2,
39,040,INGENIEROS EN INDUSTRIAS QUIMICAS,0,0,0,0,2,
223,062,INGENIEROS EN INFORMATICA,2,1,0,0,2,
167,084,INGENIEROS EN MINERIA.,0,0,0,0,5,
173,079,INGENIEROS EN PETROLEOS.,3,0,1,0,2,
191,077,INGENIEROS EN QUIMICA INDUSTRIAL,2,0,0,0,2,
38,039,INGENIEROS EN RECURSOS HIDRICOS,5,1,0,0,1,
226,069,INGENIEROS EN RECURSOS NATURALES Y MEDIO AMBIENTE,3,1,0,0,3,
40,041,INGENIEROS FORESTALES,1,0,1,0,3,
36,037,INGENIEROS GEOGRAFOS,0,0,0,0,6,
34,035,INGENIEROS GEOLOGOS,0,0,0,0,5,
3,005,INGENIEROS HIDRAULICOS,9,1,2,0,1,
30,031,INGENIEROS INDUSTRIALES,189,45,43,0,2,
240,057,INGENIEROS INDUSTRIALES ORIENTACION MECANICA,1,0,0,0,2,
165,083,INGENIEROS LABORALES.,2,1,0,0,2,
9,011,INGENIEROS MECANICOS,51,20,7,0,2,
49,081,INGENIEROS MECANICOS AERONAUTICOS,1,1,0,0,2,
21,023,INGENIEROS METALURGICOS,0,0,0,0,2,
194,049,INGENIEROS MILITARES,1,0,1,0,2,
168,085,INGENIEROS MILITARES EN ARSENALES,1,0,0,0,2,
212,053,INGENIEROS NAVALES,1,0,1,0,2,
46,047,INGENIEROS NAVALES Y MECANICOS,2,0,2,0,2,
31,032,INGENIEROS QUIMICOS,134,49,23,0,2,
50,082,INGENIEROS QUIMICOS LABORALES,0,0,0,0,2,
208,072,INGENIEROS RURALES,1,0,0,0,3,
20,022,INGENIEROS SANITARIOS,1,0,1,0,2,
230,092,INGENIEROS TECNICOS EN ELECTRONICA Y ELECTRICIDAD,6,2,0,0,2,
199,071,INGENIEROS ZOOTECNISTAS,1,0,0,0,3,
239,056,INGS. ELECTRICISTAS (OR. INDUSTRIAL),1,0,0,0,2,
