DPTO,NOMBRE,CPOST,PROV
1,CAPITAL,5500,1
2,LAS HERAS,5539,1
3,LAVALLE,5533,1
4,GUAYMALLEN,5519,1
5,GODOY CRUZ,5501,1
6,LUJAN,5507,1
7,MAIPU,5515,1
8,SAN MARTIN,5570,1
9,JUNIN,5573,1
10,RIVADAVIA,5577,1
11,SANTA ROSA,5596,1
12,LA PAZ,5590,1
13,TUNUYAN,5560,1
14,TUPUNGATO,5561,1
15,SAN CARLOS,5569,1
16,MALARGUE,5613,1
17,SAN RAFAEL,5600,1
18,GRAL.ALVEAR,5620,1
19,BAHIA BLANCA,8000,5
20,ROSARIO,2000,14
21,LA PLATA,1900,5
22,BUENOS AIRES,,5
23,CAPITAL FEDERAL,,4
24,SAN JUAN,,2
25,MAR DEL PLATA.,7600,5
26,RIO CUARTO,5800,6
27,MARTINEZ,1640,5
0,,,
28,ALTO VERDE,5205,6
29,GRAL.PICO,6360,21
30,CIPOLLETTI,8324,20
31,VOLCAN,5701,3
32,CATRIEL,8307,20
33,PUERTO MADRYN,9120,8
34,SANTA LUCIA,5411,2
35,BOULOGNE,1609,5
36,ARGUELLO,5147,6
37,FLORIDA,1602,5
38,CHIMBAS,5413,2
39,VICENTE LOPEZ,1638,5
40,LOMASDELMIRADOR,1752,5
41,VILLA MERCEDES,5730,3
42,BECCAR,1643,5
43,SAN ISIDRO,1642,5
44,LOMAS DE ZAMORA,1832,5
45,HURLINGHAM,1686,5
46,MERLO,5881,3
47,TEMPERLEY,1834,5
48,MORENO,1744,5
49,OLAVARRIA,7400,5
50,OLIVOS,1636,5
51,MARCOS JUAREZ,2580,6
52,VILLA REGINA,8336,20
53,RIVADAVIA,5400,2
54,DESAMPARADOS,5400,2
55,EL AGUILAR,4634,9
56,VILLA ALLENDE,5105,6
57,VENADO TUERTO,2600,14
58,BERNAL,1876,5
59,BANFIELD,1828,5
60,GARIN,1619,5
61,FLORENC.VARELA,1888,5
62,CERRO D.L.ROSAS,5009,6
63,BERAZATEGUI,1884,5
64,ADROGUE,1846,5
65,SAN MARTIN,1650,5
66,SAN NICOLAS,2900,5
67,SAN MIGUEL,1663,5
68,SANTA ROSA (LP),6300,21
69,SAN JAVIER,5875,6
70,LAGO PUELO,9211,8
71,MORON,1708,5
72,TAPIALES,1770,5
73,ZAPALA,8340,23
74,RAMOS MEJIA,1704,5
75,ING.MASCHWITZ,1623,5
76,DON TORCUATO,1611,5
77,CITY BELL,1896,5
78,ITUZAINGO,1714,5
79,QUILMES,1878,5
80,WILDE,1875,5
81,PERGMINO,2700,5
82,RANELAGH,1886,5
83,MARCOS PAZ,1727,4
84,PILAR,1629,5
85,RAMALLO,2915,5
86,EL PALOMAR,1684,5
87,ESCOBAR,1625,5
88,VIEDMA,8500,20
