CODIGO,NOMBRE,UNIVER
   5,UNIV.DE MENDOZA.,1
   9,FAC.DE INGENIERIA U.B.A.,1
  10,FAC.DE INGENIERIA M.D.PL.,1
  11,FAC.DE INGENIERIA U.N.S.,1
  14,U.T.N.FAC.REG.BS.AS.,1
  15,UNIV.OBRERA NACIONAL,1
  27,FAC.CIENCIAS F.Y NATURALES UBA,1
  28,U.T.N.FAC.REG.MENDOZA,1
  37,FAC.DE INGENIERIA DE PETROL.,1
 104,UNIV.NAC.DE CORDOBA,1
 105,UNIV.NAC.DEL LITORAL.,1
 107,UNIV.JUAN A.MAZA.-,1
 109,UNIV.CATOLICA ARGENTINA.,1
 111,UNIV.NAC.DE ROSARIO.,1
 113,UNIV.POPULAR DE MENDOZA.,1
 117,UNIV.NAC.DE LA PATAGONIA,1
 121,UNIV.NAC.DE RIO CUARTO.,1
 124,UNIV.NAC.DE SALTA.,1
 125,U.T.N.FAC.REG.SAN RAFAEL.,1
 131,UNIV.NAC.DE TUCUMAN.,1
 134,UNIV.NAC.DE NORDESTE.,1
 140,UNIV.CATOLICA DE SALTA.,1
 154,UNIV.NAC.DE BUENOS AIRES,1
 155,UNIV.NAC.DEL SUR,1
 163,ESC.SUP.TCA.GRAL.MANUEL SAVIO.,1
 166,UNIV.NAC.DE BELGRANO,1
 174,UNIV.CATOLICA DE CORDOBA.,1
 180,UNIV.NAC.DE MORON.,1
 184,UNIV.NAC.DE LA PAMPA,1
 201,UNIV.NAC.DE LA PLATA.,1
 203,UNIV.CATOLICA SANTA FE,1
 221,U.T.N.FAC.REG.ROSARIO.,1
 232,UNIV.NAC.DE SAN JUAN.,1
 239,UNIV.CATOLICA ARG.BS.AS.,1
 240,UNIV.NAC.DE LA RIOJA,1
   0,,1
  16,FAC.CIENCIAS AGRARIAS U.N.C,1
   1,FAC.DE INGENIERIA U.N.CU.,1
 249,FACULTAD SAN FRANCISCO U.C.A.,1
 261,UNIV.NAC.DE COMAHUE-NEUQUEN,1
 265,UNIV.DE LA MARINA MERCANTE,1
 267,UNIV.NAC.DE LA PATAG.S.JUAN B.,1
 268,UNIV.NAC.DE SAN LUIS,1
 269,FAC.CCIAS APLIC.A LA IND.U.N.C,1
 270,INST.UNIV. AERONAUTICO,1
 103,UNIV.DEL ACONCAGUA,1
 271,U.T.N.FAC.REG.AVELLANEDA,1
 272,UNIV.NAC.DE LOMAS DE ZAMORA,1
 273,U.T.N.FAC.REG.HAEDO,1
 274,UNIV.DE BARCELONA (ESP,1
 275,ESC.TCA.SUP.ING.DE MINAS-MADRI,1
 276,UNIV.COMPLUTENSE DE MADRID,1
 277,U.T.N.FAC.REG.SANTA FE,1
 278,U.T.N.FAC.REG.LA PLATA,1
 279,UNIV.CHAMPAGNAT,1
 280,UNIVIVERSIDAD DE FLORES,1
 281,INST.UNIV.POLICIA FEDERAL ARG.,1
 282,INST.TECNOLOGICO DE BS.AS.,1
 283,UNIV.DE LA REP.URUGUAY,1
 284,UNIV.ARGENTINA DE LA EMPRESA,1
 288,UNIV.DE CONGRESO,1
 285,UNIV.NAC.DE FORMOSA,1
 286,UNIV.CATOLICA DE CUYO,1
 289,UNIV.NAC.DE LA MATANZA,1
 290,UNIV.NAC.DE MISIONES,1
 291,U.N.DEL CENTRO DE LA P.BS.AS.,1
 292,UNIV.NAC.DE MAR DEL PLATA,1
 293,U.T.N.FAC.REG.BAHIA BLANCA,1
   2,FAC.DE INGENIERIA S.JUAN,1
 294,UNIV.FASTA,1
 295,UNIV.NAC.DE LANUS,1
 296,U.T.N.FAC.REG.CORDOBA,1
 297,UNIV.DE MEDELLIN (CBIA,1
 298,FAC.CCIAS.MEDICAS U.N.CUYO,1
 299,U.DELNORTE.STO.TOMAS DE AQUINO,1
 300,U.T.N.FAC.REG.TUCUMAN,1
 301,UNIV.NAC.DE ENTRE RIOS,1
 302,U.T.N.F.REG.RESISTENCIA(CHACO,1
 303,U.T.N.F.REG.CONCEPCION URUGUAY,1
 304,UNIV.NAC.DE LA PATAG.-AUSTRAL,1
 305,UNIV.DEL SALVADOR,1
 306,UNIV.NAC.DE CATAMARCA,1
 307,UNIV.NAC.DE STGO.DEL ESTERO,1
   4,FAC.INGENIERIA DE S.LUIS,1
   3,FAC. INGENIERIA DE LA PLATA,1
 148,UNIV.NACIONAL DE ROSARIO,1
 231,UNIV.NACIONAL DE TUCUMAN,1
 266,UNIV.NACIONAL DE SAN JUAN,1
 308,UNIV.EMPRESARIAL SIGLO 21,1
 309,UNIVERSIDAD BLAS PASCAL,1
 310,UNIV.NAC.DE VILLA MARIA,1
 114,UNIV.NAC.DE QILMES,1
 102,UNIV. TECNOLOGICA NACIONAL,1
 312,UNIVERSIDAD DEL ESTE (LA PLATA,1
 313,INST.PROFES. INACAP (CHILE),1
